,Out-of-plane chord rotation [rad],Out-of-plane Moment [kN.m]
0,1.88e-07,3.065931124
1,-3.03e-07,3.065340789
2,-2.01e-07,3.082339203
3,6.37e-07,3.065829759
4,-9.79e-07,2.96993176
5,7.58e-07,3.044436877
6,2.13e-07,3.087693626
7,5.43e-07,3.175885124
8,-8.24e-07,3.148838831
9,6.69e-09,3.196880604
10,-1.5e-07,3.182426738
11,4.92e-08,3.298190972
12,-8.43e-07,3.311176851
13,-1.63e-07,3.288255596
14,1.95e-08,3.347811393
15,-5.42e-07,3.32032558
16,-5.52e-07,3.411771104
17,-1.37e-06,3.454349163
18,9.39e-08,3.508685669
19,-9.25e-07,3.481131403
20,-6.26e-07,3.460166584
21,3.4e-07,3.574418293
22,8.68e-07,3.61591779
23,-1.27e-06,3.597714946
24,-6.74e-07,3.594936122
25,2.3e-07,3.649471896
26,-5.85e-07,3.642132802
27,1.57e-07,3.7410969
28,8.77e-07,3.714351936
29,1.72e-07,3.786549592
30,5.95e-07,3.785450275
31,1.3e-06,3.763578868
32,4.59e-07,3.791749783
33,5.32e-07,3.784882845
34,3.73e-07,3.838568214
35,-3.38e-07,3.793089524
36,-4.89e-07,3.832487557
37,1.31e-07,3.78564718
38,-2.65e-07,3.849843592
39,1.93e-07,3.835390704
40,5.88e-07,3.853291566
41,6.33e-07,3.854476968
42,1.73e-07,3.838612996
43,-2.99e-07,3.906960077
44,-4.38e-07,3.843885341
45,3.14e-07,3.88373214
46,7.99e-07,3.906167243
47,1.65e-06,3.976860786
48,-3.42e-07,3.951895598
49,-6.42e-08,3.991227261
50,1.63e-07,4.004640097
51,9.62e-07,4.060669992
52,-1.12e-07,4.031907067
53,9.53e-07,4.070223411
54,-3.41e-07,4.146349378
55,1.01e-06,4.066129031
56,4.29e-08,4.088545733
57,8.78e-07,4.077740788
58,3.53e-08,4.178321169
59,6.16e-07,4.16251415
60,-1.57e-07,4.16752012
61,3.98e-07,4.272036666
62,2.1e-07,4.253634125
63,2.22e-07,4.29642017
64,1.42e-07,4.258838723
65,4.16e-07,4.315427095
66,6.36e-07,4.407201184
67,-5.21e-07,4.38947966
68,-2.51e-08,4.394884352
69,7.48e-07,4.488654869
70,1.04e-06,4.508294918
71,1.62e-06,4.509132972
72,2.03e-07,4.591967608
73,6.99e-07,4.630340078
74,-3.37e-07,4.575567335
75,7.68e-07,4.678053038
76,4.81e-07,4.734574296
77,4.6e-07,4.645555205
78,-2.84e-07,4.69976991
79,2.75e-07,4.70683644
80,-6.18e-07,4.722776533
81,-2.78e-07,4.76690555
82,-1.58e-08,4.822776775
83,3.84e-07,4.813955231
84,-4.31e-07,4.826595864
85,1.18e-06,4.893410788
86,-5.22e-07,4.884941194
87,-3.63e-07,4.890263791
88,-2.04e-06,4.941993733
89,4.68e-07,4.948604903
90,-3.53e-07,4.937077445
91,3.39e-07,4.955947921
92,2.44e-08,4.95887355
93,1.3e-07,4.991645386
94,4.58e-07,5.038328318
95,9.74e-07,5.07095968
96,-3.02e-07,5.066297928
97,-5.24e-07,5.085106292
98,-2.71e-07,5.12710354
99,1.38e-07,5.231695217
100,9.47e-07,5.205800059
101,8.32e-09,5.239108374
102,-4.48e-07,5.328680713
103,-9.5e-07,5.310788505
104,3.09e-08,5.372351128
105,9.42e-07,5.37163874
106,-1.2e-06,5.423052351
107,-3.78e-07,5.431299495
108,-1.33e-06,5.481166503
109,-9.43e-07,5.470912005
110,1.08e-08,5.537450677
111,-7.6e-08,5.531696841
112,3.26e-07,5.564045864
113,-7.78e-07,5.536788197
114,-4.47e-07,5.605541898
115,3.09e-07,5.620176411
116,-2.82e-07,5.699793588
117,-1.09e-06,5.739122465
118,5.1e-07,5.749168738
119,7.63e-07,5.730084952
120,-7.49e-07,5.721840936
121,7.88e-07,5.775599403
122,6.33e-08,5.793367136
123,6.41e-07,5.818318505
124,4.31e-07,5.844844482
125,8.29e-08,5.840081787
126,1.27e-06,5.85891919
127,-1.26e-07,5.930065682
128,1.54e-07,5.943165421
129,-2.11e-07,5.920894948
130,-4.33e-07,5.991373566
131,9.51e-07,5.963657227
132,1.29e-06,5.971909303
133,-9.51e-08,5.984546122
134,-9.68e-07,6.082479603
135,-6.09e-07,6.111795126
136,-6.69e-07,6.082595708
137,-4.82e-07,6.089541333
138,-2.8e-07,6.09465538
139,4.09e-07,6.11487466
140,-8.89e-07,6.129757543
141,-1.23e-06,6.107364459
142,4.89e-08,6.100996263
143,-7.58e-07,6.126211762
144,5.7e-07,6.242389498
145,9.75e-07,6.185043487
146,7.56e-07,6.184211338
147,8.6e-07,6.223955232
148,-2.96e-07,6.218004413
149,3.4e-07,6.237691152
150,-1.04e-06,6.342697477
151,2.82e-07,6.23775015
152,-2.53e-07,6.416813044
153,-1.3e-07,6.405520155
154,-6.19e-07,6.445487781
155,8.34e-07,6.435456699
156,4.81e-07,6.441579223
157,1.73e-06,6.42571209
158,1.15e-07,6.450686878
159,4.56e-07,6.471191153
160,1.46e-07,6.441485881
161,8.77e-07,6.469356004
162,5.36e-07,6.479691384
163,-3.09e-07,6.592080287
164,6.32e-07,6.532733556
165,-1.88e-07,6.630491676
166,-8.3e-07,6.62648708
167,-2.02e-07,6.684355868
168,-1.94e-07,6.624424314
169,-3.76e-07,6.667943905
170,-3.01e-07,6.660228598
171,3.64e-07,6.645476421
172,4.5e-07,6.58846306
173,-1.25e-07,6.719789989
174,-1.01e-06,6.734179922
175,-7.67e-07,6.749600424
176,-4.25e-07,6.717057181
177,-7.85e-07,6.68910386
178,4.99e-07,6.669136866
179,-2.78e-07,6.759046437
180,-1.12e-06,6.813604783
181,1.21e-07,6.727062864
182,-5.8e-07,6.848799768
183,-1.05e-07,6.835292207
184,3.24e-07,6.852782181
185,-2.69e-07,6.90252265
186,1.15e-07,6.974623426
187,-6.81e-07,6.99758414
188,-2.02e-07,7.009952816
189,3.06e-08,6.978146606
190,6.59e-07,6.930636425
191,1.25e-07,7.003762857
192,-1.19e-06,7.06295304
193,1.97e-07,7.00383071
194,-2.12e-07,7.148221962
195,-1.69e-07,7.23458905
196,-5.19e-07,7.225390748
197,7.35e-07,7.063822253
198,-5.65e-07,7.260682094
199,-9.44e-08,7.251194384
200,-7.39e-07,7.291417796
201,2.99e-07,7.277318676
202,-6.76e-07,7.382337259
203,-1.43e-06,7.403218552
204,7.19e-08,7.410784159
205,-9.51e-08,7.451121871
206,-3.79e-08,7.499247557
207,2.44e-08,7.4621027
208,9.76e-07,7.445347105
209,-1.07e-07,7.573881801
210,4.18e-07,7.534660191
211,1.68e-06,7.559727926
212,-5.45e-07,7.640835311
213,-2.11e-07,7.680006313
214,-7.26e-07,7.75655295
215,5.7e-09,7.764614271
216,4.88e-07,7.818788095
217,1.28e-07,7.925390275
218,-2.01e-07,8.09091698
219,1.88e-07,8.063577079
220,3.75e-07,8.155846011
221,-6.31e-07,8.296226621
222,-5.45e-07,8.320175069
223,9.95e-07,8.268476758
224,-7.78e-08,8.479093467
225,1.61e-08,8.406313811
226,-4.7e-07,8.543352414
227,3.59e-08,8.398998636
228,-6.16e-07,8.587742259
229,-2.03e-07,8.589775518
230,-2.15e-07,8.653379095
231,-1.7e-08,8.725484264
232,4.35e-07,8.567233164
233,3.55e-08,8.620414834
234,-1.06e-06,8.755381311
235,6.94e-07,8.663036441
236,-1.41e-06,8.755978676
237,-7.04e-07,8.765822293
238,-1.09e-06,8.849428209
239,-3.79e-07,8.857943999
240,-7.71e-08,8.861007313
241,3.93e-07,8.752733208
242,-8.77e-11,8.838436159
243,3.2e-07,8.744097428
244,-7.04e-07,8.795394143
245,5.21e-07,8.721583236
246,3.47e-07,8.736863552
247,3.69e-07,8.78504147
248,-7.79e-08,8.906085925
249,-6.75e-07,8.847872519
250,-7.34e-07,8.896745773
251,1.56e-07,8.730562908
252,-2.3e-07,8.929273488
253,2.43e-07,8.869862783
254,2.34e-07,8.858021396
255,5.34e-07,8.903163935
256,5.03e-07,8.857906979
257,-2.88e-07,9.020792325
258,1.22e-06,8.836518526
259,-9.97e-07,8.985963198
260,-5.45e-07,8.982032254
261,-6.83e-07,8.957484736
262,4.84e-08,8.827666336
263,2.78e-07,8.90045578
264,-1.16e-06,8.930597845
265,-1.67e-06,9.022341836
266,-1.63e-07,8.965864688
267,-5.71e-07,9.025979563
268,3.49e-07,8.875963659
269,8.32e-08,8.911505295
270,1.4e-07,8.922013191
271,-7.08e-07,9.048952943
272,-1.44e-07,9.018168496
273,-1.01e-07,9.081588415
274,1.76e-07,8.882158657
275,-7.87e-08,8.975444019
276,3.06e-08,8.816181754
277,7.74e-07,8.846825831
278,-5.88e-07,8.966086245
279,4.86e-08,8.883445575
280,-1.39e-07,9.034086757
281,-5.33e-07,8.975882771
282,-8.67e-07,9.04853799
283,4.14e-07,8.883578871
284,-8.79e-07,8.986562877
285,-7.25e-07,9.038488146
286,-8.24e-07,8.941084868
287,4.21e-07,8.840136733
288,2.33e-07,8.838198587
289,-1.24e-06,8.941428532
290,-1.07e-06,8.977216499
291,-6.88e-07,8.994654279
292,-4.45e-07,8.907883803
293,1.41e-06,8.821119139
294,-3.06e-07,8.898398929
295,-4.71e-07,8.842866979
296,4.41e-07,8.551721149
297,1.9e-07,8.503152387
298,-1.15e-06,8.49210202
299,1.49e-06,8.242867724
300,6.43e-07,8.081748724
301,-5.67e-07,8.012777009
302,-1.42e-07,7.778441419
303,6.47e-07,7.444473114
304,-6.76e-08,7.42299769
305,7.4e-07,7.052869787
306,1.4e-06,6.933292049
307,-1.46e-07,6.915351799
308,7.96e-07,6.597138869
309,-5.81e-07,6.569380272
310,-2.22e-07,6.41958873
311,7.19e-07,6.192071601
312,6.37e-07,6.116639301
313,-7.84e-07,6.23289735
314,9.06e-07,6.081987305
315,3.65e-07,6.108019881
316,-2.95e-07,6.264590513
317,-3.08e-07,6.237396269
318,1.28e-07,6.141776111
319,5.04e-07,6.103770683
320,-6.35e-07,6.328417128
321,6.19e-07,6.19823791
322,6.78e-08,6.173860868
323,3.99e-07,6.236749403
324,-7.75e-07,6.427081755
325,1.43e-07,6.272123076
326,-5.88e-07,6.436828881
327,-1.14e-07,6.457909323
328,8.68e-07,6.273605488
329,8.7e-07,6.320014552
330,3.74e-07,6.270195071
331,-2.88e-07,6.548046633
332,-5.97e-07,6.512287911
333,-6.76e-07,6.544903691
334,7.4e-07,6.359562435
335,2.97e-07,6.295402032
336,1.88e-08,6.372398704
337,-8.4e-07,6.562990348
338,-9.75e-07,6.521232159
339,6.35e-07,6.41858336
340,-4.01e-07,6.59742263
341,1.87e-07,6.370348706
342,3.34e-08,6.40177773
343,1.2e-06,6.4032856
344,1.11e-07,6.370722845
345,5.37e-07,6.362791589
346,-2.85e-07,6.486728929
347,5.42e-07,6.336264315
348,-9.18e-07,6.467242182
349,-7.47e-07,6.481976164
350,-1.07e-06,6.505756213
351,-9.28e-09,6.543796668
352,-1.87e-07,6.48441907
353,4.55e-08,6.348642961
354,-2.45e-07,6.50579012
355,1.37e-06,6.354689515
356,-2.01e-07,6.530943601
357,1.02e-07,6.349494413
358,-8.1e-07,6.481622223
359,-7.52e-07,6.502840003
360,-6.3e-07,6.469069984
361,2.71e-08,6.257980025
362,1.65e-07,6.330945177
363,-1.83e-07,6.508287089
364,2.32e-07,6.281427707
365,-2.95e-07,6.511135497
366,-1.06e-07,6.559507843
367,6.16e-08,6.334901761
368,9.73e-07,6.333396017
369,-9.06e-07,6.581160946
370,-1.15e-06,6.575091219
371,7.93e-07,6.450330753
372,-7.45e-08,6.567547868
373,7.88e-07,6.48201462
374,7.95e-07,6.370176515
375,9.44e-07,6.443158336
376,6.12e-07,6.390960804
377,3.86e-07,6.411568146
378,-1.7e-06,6.555924479
379,6.89e-07,6.402149029
380,-9.35e-07,6.607798076
381,-9.44e-07,6.670415665
382,-3.13e-07,6.554082463
383,8.39e-07,6.355201434
384,5.29e-07,6.289952229
385,5.93e-07,6.368451929
386,-3.81e-07,6.536574657
387,4.61e-07,6.396406826
388,-2.71e-07,6.642318835
389,7.34e-07,6.458624978
390,4.05e-08,6.425216355
391,1.45e-06,6.391860126
392,4.52e-07,6.385041651
393,6.33e-07,6.392243376
394,-4.51e-07,6.548042334
395,-2.8e-07,6.584397884
396,9.16e-07,6.342210794
397,-5.8e-07,6.62996966
398,6.79e-08,6.390691334
399,4.86e-07,6.411057018
400,-3.12e-07,6.601231433
401,-9.36e-07,6.687326523
402,-1.01e-06,6.635687176
403,1.67e-07,6.480635186
404,-6.62e-08,6.662624632
405,1.45e-07,6.45719245
406,-2.33e-07,6.694018046
407,-9.46e-07,6.713598502
408,-2.75e-07,6.703820396
409,5.6e-07,6.531525207
410,1.06e-06,6.46815802
411,1.35e-06,6.56672816
412,-9.25e-08,6.758147656
413,-2.46e-07,6.845657014
414,-2.11e-07,6.788675568
415,1.69e-06,6.611208046
416,8.46e-07,6.582315713
417,-2.43e-07,6.775843616
418,-1.43e-08,6.818712493
419,-1.05e-06,6.871394254
420,-6.14e-07,6.825249804
421,9.8e-08,6.64432666
422,1.3e-07,6.546670783
423,7.83e-07,6.622615095
424,4.39e-07,6.616820383
425,1.14e-06,6.622135887
426,-2.33e-08,6.83767914
427,-3.82e-07,6.834123027
428,-7.61e-07,6.891641456
429,-2.28e-07,6.855258668
430,-1.87e-07,6.859679086
431,1.42e-07,6.566286001
432,6.91e-07,6.610353606
433,5.79e-07,6.678095466
434,-1.7e-07,6.811863832
435,4.29e-07,6.679509564
436,-1.88e-06,6.901521581
437,-3.28e-07,6.912308416
438,-4.7e-07,6.923325205
439,-1.72e-06,6.913239121
440,3.24e-07,6.667741322
441,-1.35e-07,6.893390308
442,-1.4e-06,6.90760354
443,-3.84e-07,6.979573363
444,-8.12e-07,6.968680845
445,4.01e-07,6.755400638
446,-4.53e-08,6.996871559
447,1.02e-07,6.749281386
448,-6.56e-07,6.965974361
449,-4.42e-07,6.964766394
450,-9.96e-07,7.031756484
451,3.65e-07,6.811483915
452,-5.34e-07,7.135747672
453,4e-07,6.819232312
454,-2.01e-07,7.027079175
455,1.09e-06,6.86873144
456,1.49e-07,6.85461653
457,-2e-07,7.147295386
458,-3.97e-07,7.174347535
459,4.53e-07,6.910636278
460,-7.16e-07,7.129970658
