,Out-of-plane chord rotation [rad],Out-of-plane Moment [kN.m]
0,1.88e-07,26.99489878
1,-3.03e-07,26.97734848
2,-2.01e-07,26.98548807
3,6.37e-07,26.93112027
4,-9.79e-07,26.91629589
5,7.58e-07,26.85757033
6,2.13e-07,26.84244401
7,5.43e-07,26.82710408
8,-8.24e-07,26.81573353
9,6.69e-09,26.75518298
10,-1.5e-07,26.73554941
11,4.92e-08,26.7282883
12,-8.43e-07,26.76407135
13,-1.63e-07,26.70349552
14,1.95e-08,26.69758766
15,-5.42e-07,26.67730523
16,-5.52e-07,26.60727363
17,-1.37e-06,26.5464728
18,9.39e-08,26.4829084
19,-9.25e-07,26.52347672
20,-6.26e-07,26.52896143
21,3.4e-07,26.45764378
22,8.68e-07,26.44362114
23,-1.27e-06,26.4286078
24,-6.74e-07,26.42614248
25,2.3e-07,26.42474998
26,-5.85e-07,26.40720301
27,1.57e-07,26.32910969
28,8.77e-07,26.38566158
29,1.72e-07,26.37248781
30,5.95e-07,26.42837127
31,1.3e-06,26.41537819
32,4.59e-07,26.40547907
33,5.32e-07,26.39035723
34,3.73e-07,26.38132674
35,-3.38e-07,26.37030311
36,-4.89e-07,26.3856686
37,1.31e-07,26.31068015
38,-2.65e-07,26.29610264
39,1.93e-07,26.21876635
40,5.88e-07,26.20754074
41,6.33e-07,26.18775901
42,1.73e-07,26.1667469
43,-2.99e-07,26.23122629
44,-4.38e-07,26.24017713
45,3.14e-07,26.1498597
46,7.99e-07,26.13035586
47,1.65e-06,26.10988182
48,-3.42e-07,26.0923205
49,-6.42e-08,26.00515076
50,1.63e-07,26.00947891
51,9.62e-07,25.98550499
52,-1.12e-07,25.96794517
53,9.53e-07,25.87772345
54,-3.41e-07,25.94079859
55,1.01e-06,25.85541747
56,4.29e-08,25.92409604
57,8.78e-07,25.99367439
58,3.53e-08,26.06170262
59,6.16e-07,26.03661552
60,-1.57e-07,26.10811562
61,3.98e-07,25.99500413
62,2.1e-07,26.07286015
63,2.22e-07,26.14639922
64,1.42e-07,26.2237915
65,4.16e-07,26.19336627
66,6.36e-07,26.27490894
67,-5.21e-07,26.26128925
68,-2.51e-08,26.15300094
69,7.48e-07,26.04657625
70,1.04e-06,26.03326351
71,1.62e-06,26.01520483
72,2.03e-07,26.10262204
73,6.99e-07,26.19778984
74,-3.37e-07,26.28602499
75,7.68e-07,26.17767051
76,4.81e-07,26.16665161
77,4.6e-07,26.15774948
78,-2.84e-07,26.24372071
79,2.75e-07,26.25053993
80,-6.18e-07,26.22866449
81,-2.78e-07,26.12134205
82,-1.58e-08,26.11933504
83,3.84e-07,26.11854882
84,-4.31e-07,26.21669432
85,1.18e-06,26.21341719
86,-5.22e-07,26.20304939
87,-3.63e-07,26.20576048
88,-2.04e-06,26.08766319
89,4.68e-07,26.09234469
90,-3.53e-07,26.19680789
91,3.39e-07,26.07663017
92,2.44e-08,26.17182564
93,1.3e-07,26.27492353
94,4.58e-07,26.25355644
95,9.74e-07,26.23025588
96,-3.02e-07,26.33420682
97,-5.24e-07,26.20590211
98,-2.71e-07,26.07339829
99,1.38e-07,25.95188147
100,9.47e-07,25.92576828
101,8.32e-09,25.90886878
102,-4.48e-07,25.88180295
103,-9.5e-07,25.88186029
104,3.09e-08,25.74971562
105,9.42e-07,25.86149056
106,-1.2e-06,25.96835823
107,-3.78e-07,25.84070147
108,-1.33e-06,25.71232117
109,-9.43e-07,25.71180562
110,1.08e-08,25.71152415
111,-7.6e-08,25.82165433
112,3.26e-07,25.82389254
113,-7.78e-07,25.94284828
114,-4.47e-07,25.93830453
115,3.09e-07,25.80264879
116,-2.82e-07,25.92506372
117,-1.09e-06,25.92669634
118,5.1e-07,25.79355407
119,7.63e-07,25.91942229
120,-7.49e-07,25.89868819
121,7.88e-07,25.75892573
122,6.33e-08,25.7444759
123,6.41e-07,25.7249598
124,4.31e-07,25.84916001
125,8.29e-08,25.83303202
126,1.27e-06,25.95178737
127,-1.26e-07,25.93870112
128,1.54e-07,25.93768803
129,-2.11e-07,26.06174199
130,-4.33e-07,26.05617028
131,9.51e-07,25.90701263
132,1.29e-06,25.8813145
133,-9.51e-08,25.85956281
134,-9.68e-07,25.70726687
135,-6.09e-07,25.5580889
136,-6.69e-07,25.41376791
137,-4.82e-07,25.25996631
138,-2.8e-07,25.10817168
139,4.09e-07,25.10383594
140,-8.89e-07,25.08353968
141,-1.23e-06,25.07876134
142,4.89e-08,25.0748029
143,-7.58e-07,25.20254895
144,5.7e-07,25.20067594
145,9.75e-07,25.33959255
146,7.56e-07,25.47777627
147,8.6e-07,25.45731738
148,-2.96e-07,25.44615229
149,3.4e-07,25.44067697
150,-1.04e-06,25.5849001
151,2.82e-07,25.58605215
152,-2.53e-07,25.73183872
153,-1.3e-07,25.73922389
154,-6.19e-07,25.58771679
155,8.34e-07,25.59162396
156,4.81e-07,25.74257236
157,1.73e-06,25.73589284
158,1.15e-07,25.88723671
159,4.56e-07,26.04550138
160,1.46e-07,26.02978166
161,8.77e-07,26.17892198
162,5.36e-07,26.15878408
163,-3.09e-07,26.30665884
164,6.32e-07,26.31015974
165,-1.88e-07,26.29428578
166,-8.3e-07,26.13252124
167,-2.02e-07,25.96256143
168,-1.94e-07,25.97016255
169,-3.76e-07,25.80100072
170,-3.01e-07,25.80151655
171,3.64e-07,25.79674972
172,4.5e-07,25.94923542
173,-1.25e-07,25.93271534
174,-1.01e-06,25.92868293
175,-7.67e-07,25.92819163
176,-4.25e-07,25.93265314
177,-7.85e-07,25.74348504
178,4.99e-07,25.73726046
179,-2.78e-07,25.88820996
180,-1.12e-06,25.70194261
181,1.21e-07,25.69706726
182,-5.8e-07,25.85114249
183,-1.05e-07,25.66556001
184,3.24e-07,25.47710549
185,-2.69e-07,25.64137664
186,1.15e-07,25.4541296
187,-6.81e-07,25.43823643
188,-2.02e-07,25.44062902
189,3.06e-08,25.44011744
190,6.59e-07,25.61249185
191,1.25e-07,25.58830618
192,-1.19e-06,25.57723996
193,1.97e-07,25.39017402
194,-2.12e-07,25.55932965
195,-1.69e-07,25.37268345
196,-5.19e-07,25.18796043
197,7.35e-07,25.19386639
198,-5.65e-07,25.36881409
199,-9.44e-08,25.18742401
200,-7.39e-07,25.18658432
201,2.99e-07,24.99066392
202,-6.76e-07,25.17070424
203,-1.43e-06,24.98613753
204,7.19e-08,24.98857408
205,-9.51e-08,25.17880033
206,-3.79e-08,25.18040168
207,2.44e-08,25.18067888
208,9.76e-07,25.16844932
209,-1.07e-07,25.14887281
210,4.18e-07,25.15261404
211,1.68e-06,25.13272467
212,-5.45e-07,25.3187835
213,-2.11e-07,25.31664538
214,-7.26e-07,25.30767324
215,5.7e-09,25.2988162
216,4.88e-07,25.4790479
217,1.28e-07,25.45572969
218,-2.01e-07,25.63406303
219,1.88e-07,25.42059094
220,3.75e-07,25.61071953
221,-6.31e-07,25.58980932
222,-5.45e-07,25.37938992
223,9.95e-07,25.16342796
224,-7.78e-08,25.34243454
225,1.61e-08,25.33676403
226,-4.7e-07,25.52069927
227,3.59e-08,25.30556271
228,-6.16e-07,25.48438199
229,-2.03e-07,25.26426173
230,-2.15e-07,25.03585698
231,-1.7e-08,24.81411322
232,4.35e-07,24.59588734
233,3.55e-08,24.78244086
234,-1.06e-06,24.76594985
235,6.94e-07,24.75797791
236,-1.41e-06,24.95690129
237,-7.04e-07,24.94996597
238,-1.09e-06,24.72992305
239,-3.79e-07,24.5086004
240,-7.71e-08,24.51266758
241,3.93e-07,24.50711755
242,-8.77e-11,24.70722314
243,3.2e-07,24.70027746
244,-7.04e-07,24.68149484
245,5.21e-07,24.44249827
246,3.47e-07,24.41267593
247,3.69e-07,24.6123725
248,-7.79e-08,24.81353881
249,-6.75e-07,24.80431482
250,-7.34e-07,24.56894855
251,1.56e-07,24.56509506
252,-2.3e-07,24.54260832
253,2.43e-07,24.3045037
254,2.34e-07,24.51284317
255,5.34e-07,24.48853928
256,5.03e-07,24.6937495
257,-2.88e-07,24.90167539
258,1.22e-06,24.88597838
259,-9.97e-07,24.85247313
260,-5.45e-07,24.83875386
261,-6.83e-07,24.82266411
262,4.84e-08,24.81124706
263,2.78e-07,24.77765173
264,-1.16e-06,24.75055496
265,-1.67e-06,24.73420189
266,-1.63e-07,24.72828457
267,-5.71e-07,24.71400847
268,3.49e-07,24.70862257
269,8.32e-08,24.68058248
270,1.4e-07,24.89883282
271,-7.08e-07,25.11787524
272,-1.44e-07,24.86875886
273,-1.01e-07,24.61120676
274,1.76e-07,24.60868036
275,-7.87e-08,24.58089405
276,3.06e-08,24.32418385
277,7.74e-07,24.53967548
278,-5.88e-07,24.76423656
279,4.86e-08,24.50843938
280,-1.39e-07,24.72944822
281,-5.33e-07,24.47604003
282,-8.67e-07,24.22216045
283,4.14e-07,24.22581037
284,-8.79e-07,24.20204713
285,-7.25e-07,24.19760518
286,-8.24e-07,24.19672145
287,4.21e-07,23.93876224
288,2.33e-07,23.91647624
289,-1.24e-06,24.15373428
290,-1.07e-06,23.89105743
291,-6.88e-07,23.62987925
292,-4.45e-07,23.6236614
293,1.41e-06,23.61252067
294,-3.06e-07,23.58470736
295,-4.71e-07,23.31339038
296,4.41e-07,23.30262476
297,1.9e-07,23.26901014
298,-1.15e-06,23.24463937
299,1.49e-06,22.96633358
300,6.43e-07,23.19937143
301,-5.67e-07,23.17005463
302,-1.42e-07,23.15568984
303,6.47e-07,23.1406738
304,-6.76e-08,23.10965707
305,7.4e-07,22.83535642
306,1.4e-06,22.80506239
307,-1.46e-07,23.03365657
308,7.96e-07,23.01745775
309,-5.81e-07,23.25078552
310,-2.22e-07,22.96078729
311,7.19e-07,22.67925211
312,6.37e-07,22.64056515
313,-7.84e-07,22.88018981
314,9.06e-07,22.86138008
315,3.65e-07,22.83072017
316,-2.95e-07,23.06931016
317,-3.08e-07,22.78175288
318,1.28e-07,22.4912035
319,5.04e-07,22.45991989
320,-6.35e-07,22.43393954
321,6.19e-07,22.1474239
322,6.78e-08,22.40090446
323,3.99e-07,22.37007538
324,-7.75e-07,22.62615812
325,1.43e-07,22.62190358
326,-5.88e-07,22.87798789
327,-1.14e-07,22.86924184
328,8.68e-07,22.86059956
329,8.7e-07,22.8298464
330,3.74e-07,23.07817937
331,-2.88e-07,23.04767081
332,-5.97e-07,23.03475411
333,-6.76e-07,22.73833823
334,7.4e-07,22.72774963
335,2.97e-07,22.98989077
336,1.88e-08,23.24637436
337,-8.4e-07,23.22344357
338,-9.75e-07,22.9249809
339,6.35e-07,22.9109374
340,-4.01e-07,22.88466977
341,1.87e-07,22.87218456
342,3.34e-08,23.13200315
343,1.2e-06,23.10836341
344,1.11e-07,23.0812448
345,5.37e-07,23.34099921
346,-2.85e-07,23.60325983
347,5.42e-07,23.2893868
348,-9.18e-07,23.55565226
349,-7.47e-07,23.23810314
350,-1.07e-06,22.926362
351,-9.28e-09,22.61362041
352,-1.87e-07,22.3028875
353,4.55e-08,21.99127149
354,-2.45e-07,22.26528737
355,1.37e-06,21.95936522
356,-2.01e-07,22.23226486
357,1.02e-07,22.22821975
358,-8.1e-07,22.50792615
359,-7.52e-07,22.19637082
360,-6.3e-07,21.89303086
361,2.71e-08,21.58114864
362,1.65e-07,21.8602355
363,-1.83e-07,21.83915147
364,2.32e-07,21.82732434
365,-2.95e-07,21.79480975
366,-1.06e-07,21.48063857
367,6.16e-08,21.16434698
368,9.73e-07,21.13471417
369,-9.06e-07,21.10739074
370,-1.15e-06,21.10391007
371,7.93e-07,21.09824428
372,-7.45e-08,21.07844248
373,7.88e-07,21.06912003
374,7.95e-07,21.04691061
375,9.44e-07,21.0226884
376,6.12e-07,21.3147462
377,3.86e-07,21.60675684
378,-1.7e-06,21.90008678
379,6.89e-07,21.57291074
380,-9.35e-07,21.86539196
381,-9.44e-07,21.52935627
382,-3.13e-07,21.51809728
383,8.39e-07,21.50454722
384,5.29e-07,21.80011933
385,5.93e-07,21.76614276
386,-3.81e-07,21.73261587
387,4.61e-07,21.39389138
388,-2.71e-07,21.68291159
389,7.34e-07,21.67067703
390,4.05e-08,21.96853313
391,1.45e-06,21.93374636
392,4.52e-07,21.90793184
393,6.33e-07,22.20926291
394,-4.51e-07,22.5099271
395,-2.8e-07,22.49712379
396,9.16e-07,22.48569572
397,-5.8e-07,22.45613294
398,6.79e-08,22.11944008
399,4.86e-07,22.09616202
400,-3.12e-07,22.06517251
401,-9.36e-07,21.72262595
402,-1.01e-06,21.71470434
403,1.67e-07,21.70429316
404,-6.62e-08,22.01280352
405,1.45e-07,22.00446682
406,-2.33e-07,22.32153355
407,-9.46e-07,21.98111523
408,-2.75e-07,21.63356777
409,5.6e-07,21.28516251
410,1.06e-06,21.6001623
411,1.35e-06,21.57222018
412,-9.25e-08,21.89080722
413,-2.46e-07,21.88143491
414,-2.11e-07,21.88013674
415,1.69e-06,21.87144503
416,8.46e-07,21.85239891
417,-2.43e-07,22.17473032
418,-1.43e-08,22.1650225
419,-1.05e-06,22.15586657
420,-6.14e-07,22.15074959
421,9.8e-08,21.79296949
422,1.3e-07,22.11345232
423,7.83e-07,22.08346548
424,4.39e-07,22.4090965
425,1.14e-06,22.73703673
426,-2.33e-08,23.05916829
427,-3.82e-07,22.70372869
428,-7.61e-07,22.68726721
429,-2.28e-07,22.32949057
430,-1.87e-07,22.32096748
431,1.42e-07,21.96031472
432,6.91e-07,21.93185104
433,5.79e-07,22.26271107
434,-1.7e-07,22.59464234
435,4.29e-07,22.22453255
436,-1.88e-06,22.56535766
437,-3.28e-07,22.55816554
438,-4.7e-07,22.18779999
439,-1.72e-06,21.81702513
440,3.24e-07,21.81385102
441,-1.35e-07,21.79255563
442,-1.4e-06,21.78653853
443,-3.84e-07,21.78397604
444,-8.12e-07,21.78383147
445,4.01e-07,21.77681717
446,-4.53e-08,21.75401334
447,1.02e-07,21.38711965
448,-6.56e-07,21.36537328
449,-4.42e-07,20.99669644
450,-9.96e-07,20.98998437
451,3.65e-07,20.61599162
452,-5.34e-07,20.95704481
453,4e-07,20.96342931
454,-2.01e-07,21.30822784
455,1.09e-06,20.92855314
456,1.49e-07,21.28466532
457,-2e-07,21.63167241
458,-3.97e-07,21.62717495
459,4.53e-07,21.24419353
460,-7.16e-07,21.59708617
461,-4.86e-07,21.59258856
462,5.55e-07,21.58375328
463,6.56e-07,21.94228208
464,-5.6e-07,22.29814227
465,9.06e-07,21.9102147
466,-2.93e-07,21.88644249
467,-8.82e-07,21.49282248
468,-1.1e-06,21.48302021
469,-3.16e-08,21.08840736
470,1.42e-08,20.69865585
471,3.58e-07,21.05327406
472,1.21e-06,21.41012989
473,8.98e-07,21.3840827
474,-1.23e-06,21.74365767
475,1.02e-07,21.73550517
476,-9.43e-07,22.09914102
477,-2.48e-07,21.70724311
478,-4.15e-07,21.31075856
479,3.47e-07,20.91583431
480,-7.54e-07,21.28277748
481,-2e-07,20.88374476
482,-6.05e-07,20.4870885
483,1.08e-06,20.09350616
484,-2.95e-07,20.46348461
