,Out-of-plane chord rotation [rad],Out-of-plane Moment [kN.m]
0,-3.29e-07,7.991489789
1,-1.17e-06,8.067147423
2,-2.13e-07,8.046935349
3,2.33e-07,8.082360873
4,-3.78e-07,8.234874832
5,7.5e-07,8.271637725
6,-2.91e-07,8.304087443
7,-3.96e-07,8.300654963
8,-9.45e-08,8.34258878
9,1.92e-07,8.378047212
10,-4.67e-07,8.441030493
11,-1.03e-06,8.458229053
12,-1.11e-06,8.474877075
13,-3.85e-07,8.459033667
14,5.99e-07,8.329801203
15,8.7e-08,8.43726213
16,-5.98e-08,8.407104468
17,6.28e-07,8.382235815
18,3.68e-07,8.420517262
19,-1.12e-06,8.517854905
20,-1.11e-06,8.559654681
21,6.31e-07,8.443550531
22,2.82e-07,8.409897004
23,-6.27e-08,8.505163136
24,1.01e-06,8.433631884
25,7.39e-07,8.477199184
26,1.78e-07,8.406128664
27,3.87e-07,8.461166552
28,5.23e-07,8.493624403
29,7.01e-07,8.469167105
30,2.31e-07,8.480496943
31,-3.4e-08,8.504536208
32,1.01e-06,8.484726451
33,4.69e-07,8.459752485
34,-5.81e-07,8.563374391
35,7.1e-07,8.397323935
36,6.78e-07,8.501360648
37,1.88e-07,8.481116061
38,-2.35e-07,8.615084977
39,1.62e-06,8.480132822
40,3.24e-07,8.502531086
41,9.4e-07,8.524776281
42,3.89e-08,8.623597828
43,2.72e-07,8.485232912
44,4.94e-08,8.597897282
45,9.19e-07,8.613346294
46,5.01e-07,8.633006242
47,-9.96e-07,8.744425258
48,9.17e-07,8.629593466
49,9.86e-08,8.649740886
50,9.14e-07,8.64560878
51,-3.66e-07,8.75573113
52,-3.68e-07,8.778907727
53,-6.53e-08,8.800108462
54,3.94e-07,8.64413469
55,5.53e-08,8.68139098
56,6.18e-07,8.675801158
57,-1.65e-07,8.896956531
58,1.52e-06,8.732233453
59,1.68e-07,8.745152559
60,1.12e-06,8.754361202
61,1.06e-06,8.792687515
62,6.32e-07,8.812701936
63,-1.02e-07,8.968729523
64,1.53e-07,8.802016199
65,1.94e-07,8.875762844
66,-5.03e-07,9.046698657
67,5.62e-07,8.881281619
68,-9.15e-08,9.107529511
69,-2.9e-07,9.099119874
70,-1.18e-06,9.146248922
71,9.66e-07,8.983583608
72,-1.46e-07,9.221019879
73,1.06e-06,9.007879876
74,2.15e-08,9.03700354
75,-1.83e-07,9.25136748
76,5.35e-07,9.089787427
77,9.38e-07,9.14520033
78,1.47e-06,9.2287666
79,3.75e-07,9.147989637
80,1.09e-06,9.153724379
81,6.22e-07,9.170230506
82,5.72e-07,9.245792404
83,-1.74e-06,9.511611237
84,4.83e-07,9.235354936
85,5.62e-07,9.228312553
