,Out-of-plane chord rotation [rad],Out-of-plane Moment [kN.m]
0,-1.08e-06,45.79196096
1,1.33e-06,45.83957412
2,-5.65e-07,45.63586622
3,-3.66e-07,45.20036749
4,2.64e-07,44.82157141
5,1.14e-06,44.42057633
6,-1.71e-07,44.22444944
7,-8.17e-07,43.68989121
8,-2.4e-07,43.51265434
9,2.69e-07,43.33867388
10,-1.77e-06,43.54954378
11,1.68e-07,43.3707482
12,-8.42e-07,43.31049668
13,1.04e-06,42.83794971
14,-6.5e-07,42.4772854
15,1.19e-07,42.01470635
16,-1.66e-07,41.88137059
17,-9.39e-08,41.75437612
18,4.38e-09,41.29478042
19,-1.25e-06,40.70345241
20,1.16e-07,40.23605729
21,7.58e-08,39.89889637
22,-2.76e-07,39.52594811
23,-2.27e-07,39.10093447
24,-4.29e-07,38.97011923
25,3.4e-07,39.12674571
26,4.39e-07,39.5587413
27,2.98e-07,39.85302707
28,-3.81e-07,40.00239032
29,-1.16e-06,39.99480365
30,-4.21e-07,40.04312518
31,-9.14e-07,40.14263123
32,-4.98e-07,40.53923241
33,2.08e-07,41.21871057
34,1e-06,41.92125782
35,-5.78e-07,42.67626781
36,5.07e-07,43.21737473
37,-2.78e-07,44.08320089
38,5.21e-07,44.7071021
39,-2.63e-07,45.35622164
40,-2.75e-07,45.74625936
41,-1.42e-07,46.47760121
42,8.83e-09,47.2305206
43,-1.71e-07,48.32314884
44,5.28e-08,49.44178387
45,1.45e-06,50.56882696
46,-7e-07,51.37337006
47,-1.23e-06,52.19774126
48,5.05e-07,53.35431745
49,4.01e-07,54.8086287
50,2.73e-05,56.17139911
51,5.37e-05,57.40895582
52,8.05e-05,58.52800258
53,0.000107,59.53838544
54,0.000132,60.46477526
55,0.000158,61.30997599
56,0.000185,62.09339074
57,0.00021,62.82024455
58,0.000236,63.50157211
59,0.000262,64.12946139
60,0.000287,64.70968326
61,0.000313,65.24829845
62,0.000339,65.75675028
63,0.000364,66.24828398
64,0.000391,66.72454933
65,0.000415,67.18556055
66,0.000441,67.61869307
67,0.000466,68.02594934
68,0.000494,68.40759275
69,0.000519,68.77464576
70,0.000544,69.11919494
71,0.00057,69.44144637
72,0.000596,69.74475626
73,0.000622,70.04033763
74,0.000648,70.33508994
75,0.000673,70.62610906
76,0.000699,70.92232677
77,0.000725,71.22655489
78,0.000749,71.54133442
79,0.000775,71.85516559
80,0.000804,72.16704941
81,0.000828,72.48301402
82,0.000852,72.8030765
83,0.000877,73.12323676
84,0.000903,73.4357038
85,0.000929,73.74932377
86,0.000954,74.06133007
87,0.00098,74.37289838
88,0.00101,74.68041333
89,0.00103,74.99261504
90,0.00106,75.30496585
91,0.00108,75.6125792
92,0.00111,75.91318873
93,0.00113,76.21139526
94,0.00116,76.51016771
95,0.00118,76.80429512
96,0.00121,77.09558025
97,0.00123,77.38451077
98,0.00126,77.6753922
99,0.00129,77.96082217
100,0.00131,78.24604234
101,0.00134,78.53255127
102,0.00136,78.82056816
103,0.00139,79.10481837
104,0.00141,79.38704008
105,0.00144,79.67194236
106,0.00147,79.95562068
107,0.00149,80.22309188
108,0.00152,80.46631219
109,0.00154,80.68500991
110,0.00157,80.8791322
111,0.00159,81.04683174
112,0.00162,81.18341328
113,0.00164,81.28809837
114,0.00167,81.35439025
115,0.0017,81.38383678
116,0.00172,81.37456133
117,0.00175,81.33259248
118,0.00177,81.25765264
119,0.0018,81.1517502
120,0.00182,81.01438604
121,0.00185,80.8443487
122,0.00187,80.64221466
123,0.0019,80.40657414
124,0.00193,80.13927927
125,0.00195,79.83608633
126,0.00198,79.50018213
127,0.002,79.12579594
128,0.00203,78.71813467
129,0.00205,78.27116814
130,0.00208,77.78163677
131,0.0021,77.24711351
132,0.00213,76.67331333
133,0.00215,76.06638541
134,0.00218,75.42794847
135,0.00221,74.75581005
136,0.00223,74.05259308
137,0.00225,73.32892022
138,0.00226,72.59247014
139,0.00226,71.85098635
140,0.00226,71.10429861
141,0.00226,70.35665792
142,0.00226,69.60955314
143,0.00225,68.86800798
144,0.00225,68.13604855
145,0.00225,67.41615618
146,0.00225,66.70773179
147,0.00225,66.01002287
148,0.00225,65.31849142
149,0.00225,64.63489636
150,0.00225,63.95757224
151,0.00224,63.28981682
152,0.00224,62.6281244
153,0.00224,61.97279363
154,0.00224,61.32462042
155,0.00224,60.68805359
156,0.00224,60.06122962
157,0.00223,59.44696433
158,0.00223,58.84557595
159,0.00223,58.26306216
160,0.00222,57.70392443
161,0.00222,57.1644986
162,0.00222,56.64199808
163,0.00222,56.13220606
164,0.00221,55.63455919
165,0.00221,55.14573053
166,0.00221,54.66497741
167,0.0022,54.19333115
168,0.0022,53.73230945
169,0.0022,53.27844516
170,0.0022,52.83174288
171,0.00219,52.3928646
172,0.00219,51.96052544
173,0.00218,51.53393543
174,0.00218,51.11479259
175,0.00217,50.70127206
176,0.00217,50.29370442
177,0.00217,49.89089987
178,0.00216,49.49398511
179,0.00216,49.09859884
180,0.00215,48.69950577
181,0.00215,48.29883049
182,0.00214,47.90136062
183,0.00214,47.50892017
184,0.00213,47.12002782
185,0.00213,46.72979137
186,0.00212,46.34078385
187,0.00212,45.95153164
188,0.00211,45.56271788
189,0.0021,45.17185779
190,0.0021,44.78176165
191,0.00209,44.39087427
192,0.00209,44.00109644
193,0.00208,43.6064665
194,0.00208,43.21365594
195,0.00207,42.82110479
196,0.00206,42.43092539
197,0.00205,42.04098175
198,0.00205,41.6526383
199,0.00204,41.26763043
200,0.00203,40.88072019
201,0.00202,40.48938947
202,0.00202,40.09552599
203,0.00201,39.70210954
204,0.002,39.30518797
205,0.002,38.90593526
206,0.00199,38.50194176
207,0.00198,38.09592084
208,0.00197,37.68532603
209,0.00196,37.2699338
210,0.00195,36.85544443
211,0.00194,36.44075555
212,0.00194,36.02579593
213,0.00193,35.6083504
214,0.00192,35.18631027
215,0.00191,34.76157334
216,0.0019,34.3346414
217,0.00188,33.90468776
218,0.00188,33.47371568
219,0.00187,33.03664756
220,0.00186,32.59676778
221,0.00184,32.15259054
222,0.00183,31.70418283
223,0.00182,31.25373339
