,Out-of-plane chord rotation [rad],Out-of-plane Moment [kN.m]
204,-6.93e-07,15.45528703
205,3.71e-07,14.80989135
206,-1.29e-06,15.51000104
207,-9.75e-07,15.58663173
208,7.2e-07,14.96606897
209,-8.47e-07,15.67533661
210,7.58e-08,15.0082774
211,3.92e-07,15.03305514
212,1.1e-06,15.04239537
213,-5.84e-07,15.75036524
214,-9.08e-07,15.84475623
215,-4.1e-07,15.80925967
216,-5.04e-07,15.81304899
217,-1.16e-07,15.82860946
218,3.07e-07,15.2448124
219,-4.47e-08,15.89502867
220,-2.76e-07,15.88940854
221,-2.55e-07,15.96396798
222,1.41e-07,15.23528231
223,7.08e-07,15.29190782
224,5.97e-07,15.31009445
225,1.03e-06,15.33682343
226,-5.34e-07,15.92304803
227,2.35e-07,15.32255449
228,2.91e-07,15.23135056
229,-3.13e-07,15.9879115
230,-2.27e-07,15.9292099
231,3.57e-07,15.26806228
232,5.97e-07,15.27079423
233,7.96e-07,15.25034346
234,7.29e-07,15.20185512
235,1.32e-06,15.22447148
236,-3.07e-07,15.96281739
237,-1.49e-06,15.86089731
238,-4.05e-07,15.95282934
239,8.21e-07,15.18919163
240,-4.29e-07,15.96156816
241,6.03e-08,15.23643709
242,2.81e-07,15.27986952
243,-8.09e-07,16.00520897
244,-4.2e-07,15.98173171
245,2.85e-07,15.29229364
246,3.14e-07,15.24648386
247,-4.87e-07,15.97633375
248,5.71e-07,15.2131927
249,1.11e-07,15.20904641
250,3.4e-07,15.19571749
251,-3.35e-07,15.94278995
252,3.63e-07,15.20678343
253,4.5e-07,15.20493585
254,-3.13e-07,15.85653903
255,-9.13e-07,15.86161476
256,-3.7e-07,15.83450762
257,4.51e-07,15.01625827
258,-1.51e-06,15.67008364
259,6.56e-07,14.72697177
260,4.39e-07,14.6129658
261,2.6e-07,14.40231174
262,-8.65e-08,14.95626019
263,-4.12e-07,14.81121975
264,-9.8e-07,14.57647622
265,-2.11e-06,14.33834616
266,-4.39e-07,14.27308864
267,-4.7e-07,14.15534008
268,-6.13e-07,14.04719245
269,3.3e-07,13.13437363
270,2.98e-07,13.00116511
271,-1.12e-06,13.68619442
272,-5.45e-07,13.58072139
273,-2.48e-07,13.53887565
274,2.19e-07,12.71116604
275,1.63e-06,12.70184627
276,4.33e-08,12.70413606
277,-5e-07,13.55770606
278,-8.11e-08,13.54175341
279,9.83e-07,12.70494059
280,-3.81e-07,13.61739621
281,-9.4e-07,13.57322177
282,3.64e-07,12.83273202
283,1.14e-06,12.82758986
284,4.01e-08,12.91626696
285,4.07e-08,12.95655232
286,-3.73e-07,13.74446539
287,2.76e-07,12.95854438
288,-6.53e-07,13.77782536
289,4.39e-07,12.85355261
290,-1.16e-06,13.79938208
291,-9.57e-07,13.86828253
292,1.67e-06,12.92311276
293,-3.34e-07,13.82349364
294,6.02e-07,13.02619127
295,2.16e-06,12.92584103
296,-9.1e-07,13.81251151
297,1.36e-06,12.79283531
298,-4.58e-08,13.56872881
299,-4.38e-07,13.60962625
300,-4.21e-07,13.57540579
301,-9.62e-07,13.58428281
302,5.61e-07,12.75147561
303,-1.21e-06,13.64339727
304,1.08e-07,12.77008127
305,5.4e-07,12.79887663
306,8.51e-07,12.76921885
307,-4.62e-07,13.65503866
308,-1.63e-07,13.69287375
309,2.84e-07,12.81245332
310,-9.14e-07,13.81606747
311,-2.87e-07,13.74958947
312,-1.04e-07,13.76920192
313,2.64e-07,12.91577783
314,1.39e-07,12.93156325
315,-1.03e-06,13.82722842
316,-4.88e-07,13.86580531
317,-8.82e-07,13.83537208
318,-2.87e-07,13.86513789
319,5.18e-07,12.92948282
320,-4.98e-07,13.92324834
321,-5.75e-07,13.93167401
322,-1.33e-06,13.92785594
323,-1.17e-06,13.92526522
324,1.61e-07,13.09534377
325,-1.43e-06,14.02121645
326,-1.59e-07,14.01429055
327,2.34e-08,13.12511556
328,1.09e-07,13.137287
329,5e-07,13.06927459
330,2.08e-07,13.09451388
331,-6.63e-07,14.02421344
332,2.49e-07,13.16563497
333,6.19e-07,13.07275498
334,-4.49e-07,14.02943006
335,7.79e-07,13.11083327
336,-5.47e-07,14.04781885
337,-4.42e-07,14.05231518
338,1.71e-07,13.15191445
339,-1.52e-07,14.05643641
340,1e-06,13.15148911
341,-2.05e-07,14.11993601
342,-4.57e-07,14.19597753
343,4.32e-07,13.22773495
344,-3.09e-07,14.20802871
345,7.51e-07,13.20163294
346,3.02e-07,13.22213882
347,7.09e-07,13.20768895
348,-3.86e-07,14.26621256
349,2.77e-07,13.38593835
350,-5.78e-07,14.46980023
351,7.2e-07,13.71689173
352,7.37e-07,13.89240449
353,-1.8e-06,14.93692486
354,6.42e-07,14.01019132
355,-4.98e-07,15.02668186
356,2.82e-07,14.02604535
357,-7.31e-08,15.07281008
358,-3.08e-08,15.11915157
359,5.04e-07,14.16787584
360,5.07e-07,14.15632173
361,3.98e-07,14.18556202
362,3.17e-08,14.1546229
363,1.46e-06,14.18458429
364,-3.18e-07,15.18261304
365,-1.64e-07,15.17851485
366,-2.39e-07,15.28050564
367,5.23e-07,14.22097699
368,-4.35e-07,15.22946733
369,-1.01e-06,15.26654362
370,-2.78e-07,15.2859379
371,5.94e-07,14.27842541
372,-4.16e-08,15.29058289
373,-5.29e-07,15.27536837
374,5.28e-07,14.33911877
375,3.39e-07,14.27288148
376,-8.86e-07,15.35209322
377,-4.49e-07,15.29303686
378,-1.39e-07,15.36005657
379,1.13e-06,14.32044099
380,5.21e-07,14.30040396
381,8.24e-07,14.29740824
382,-9.55e-07,15.44687062
383,1.49e-06,14.39696128
384,9.6e-08,14.33191197
385,-1.86e-07,15.39510789
386,7.29e-07,14.36790325
387,3.62e-07,14.41076969
388,7.22e-07,14.38697647
389,6.79e-07,14.41340095
390,-2.63e-07,15.50347725
391,2.36e-07,14.4502914
392,-4.35e-07,15.49898232
393,1.14e-06,14.48549857
394,-4.18e-07,15.56624699
395,-8.62e-07,15.61515929
396,2.7e-07,14.51442777
397,-5.27e-07,15.55926096
398,6.44e-08,14.48606798
399,1.8e-06,14.51394507
400,-2.75e-07,15.6402271
401,5.01e-07,14.55969658
402,4.22e-08,14.56495345
403,-3.21e-07,15.6188316
404,7e-08,14.53164501
405,-5.47e-07,15.69354479
406,-1.01e-07,15.6486236
407,6.85e-07,14.58089617
408,-3.25e-08,15.74084279
409,2.64e-07,14.61239751
410,-1.42e-07,15.76699573
411,-7.63e-07,15.81822158
412,-1.24e-06,15.77542528
413,-3.78e-07,15.79049332
414,4.7e-07,14.69188545
415,1.06e-07,14.71755228
416,1.91e-07,14.73407353
417,1.1e-06,14.74510226
418,-1.03e-06,15.89965686
419,5.5e-07,14.79940607
420,8.83e-09,14.83038396
421,-1.88e-07,15.92387233
422,9.5e-07,14.8241293
423,7.86e-08,14.88306123
424,-3.56e-07,16.02195711
425,-3.08e-07,16.04452986
426,-9.91e-08,16.01215313
427,-7.3e-07,16.0731879
428,4.22e-07,14.89845052
429,1.5e-06,14.89674944
430,-1.71e-07,16.09562042
431,1.28e-06,14.96329073
432,1.08e-07,14.96359715
433,9.26e-07,14.96395249
434,1.21e-07,14.91130991
435,3.43e-07,14.92706828
436,-6.09e-07,16.182489
437,-1.1e-06,16.12988375
438,-2.16e-07,16.23685179
439,5.35e-07,15.06933831
440,5.28e-08,15.09397282
441,1.32e-06,15.1208517
442,7.19e-07,15.17592921
443,1.59e-07,15.1200364
444,1.59e-07,15.20385894
445,-2.85e-07,16.46408312
446,4.39e-07,15.25457036
