,Rotation,Top moment [kN.m]
0,4.85621352158213e-05,7.87156571176895
1,4.75692496882048e-05,7.43634875312797
2,4.73379478147043e-05,6.67449237652974
3,4.77961467102525e-05,5.84056270662912
4,4.69616015334365e-05,5.37041867317306
5,4.7504933642681e-05,5.52282115400144
6,4.91817982821555e-05,5.513154239967
7,4.83924148035991e-05,5.4892384639199
8,4.80090247904172e-05,5.50335546448873
9,4.79876645733566e-05,5.45568540286364
10,4.77354872484817e-05,5.59021855726412
11,4.80665995015609e-05,5.58375753408557
12,4.83440023272135e-05,5.56395763284759
13,4.75595121887732e-05,5.59324435737902
14,4.75508611628908e-05,5.56208107477638
15,4.91269892870464e-05,5.58887374081323
16,4.75972357701634e-05,5.56827147676696
17,4.81542198981812e-05,5.65746150940359
18,4.83356751349759e-05,5.62418790108393
19,4.7446162532486e-05,5.6232300056115
20,4.74634681945969e-05,5.62835737369756
21,4.91230051311156e-05,5.64459624833338
22,4.75861694443452e-05,5.77089854330271
23,4.79628324960385e-05,5.73546265291609
24,4.71894293834511e-05,5.79708782388711
25,4.87059528332598e-05,5.91132953457193
26,4.739741167757e-05,5.90272990724935
27,4.85426865740972e-05,5.92202959458043
28,4.87177200138891e-05,6.00347992144295
29,4.84664043118876e-05,6.00598263355834
30,4.66086620381019e-05,6.07412232117273
31,4.81253076968872e-05,6.02794717148683
32,4.74095972102449e-05,6.09032153344873
33,4.83923541279112e-05,5.98735557209725
34,4.72603589668503e-05,6.09342874312891
35,4.73811363584901e-05,6.13469221523224
36,4.79561688709721e-05,6.09474025290317
37,4.66630487750695e-05,6.14802215577004
38,4.87935657801079e-05,6.24123944976991
39,4.61686960271675e-05,6.24205480564711
40,4.76024689831315e-05,6.29340607747351
41,4.74255793952775e-05,6.32336356272194
42,4.70449603252429e-05,6.3742717359799
43,4.75302035158856e-05,6.43961159776586
44,4.83775865997542e-05,6.4301721844026
45,4.82909381882461e-05,6.42452962089397
46,4.71428086544904e-05,6.46493050212701
47,4.72156786269866e-05,6.54986697873312
48,4.78810045107659e-05,6.57397611060859
49,4.64095867958378e-05,6.67623339312912
50,4.79483966331846e-05,6.64463492505827
51,4.76419490256444e-05,6.75397119287084
