,Rotation,Top moment [kN.m]
0,3.05e-07,-8.301767673
1,-3.21e-07,-8.248059986
2,3.2e-07,-8.238695715
3,2.77e-07,-8.180495126
4,-6.23e-07,-8.142933219
5,4.23e-07,-8.121918366
6,1.81e-07,-8.09562371
7,-2.25e-07,-8.091416397
8,1.97e-07,-8.081830539
9,-2.94e-07,-8.072886317
10,5.42e-07,-8.066530178
11,3.51e-07,-8.022984394
12,-7.59e-08,-7.987010815
13,1.2e-06,-7.995143884
14,3.93e-07,-7.947263934
15,-4.83e-07,-7.924767391
16,9.37e-07,-7.959537298
17,1.95e-07,-7.951336423
18,-1.27e-08,-7.886001537
19,-4.58e-07,-7.88246591
20,6.57e-07,-7.863445577
21,1.03e-07,-7.833656864
22,-1.29e-07,-7.792332839
23,8.5e-07,-7.796665562
24,4.43e-07,-7.769613965
25,4.61e-08,-7.76748582
26,5.26e-07,-7.737393793
27,5.81e-07,-7.669229334
28,2.77e-07,-7.664188935
29,3.73e-07,-7.636312469
30,1.47e-06,-7.556360713
31,-1.67e-07,-7.486945016
32,1.95e-07,-7.505540632
33,6.24e-08,-7.448670074
34,-1.49e-07,-7.424747078
35,-4.38e-07,-7.441734128
36,7.55e-07,-7.421946655
37,4.1e-08,-7.367333004
38,7.52e-07,-7.334787384
39,3.22e-07,-7.274345499
40,1.7e-07,-7.159503861
41,1.18e-07,-7.103732088
42,3.94e-08,-7.056832341
43,1.09e-06,-6.993987529
44,-4.74e-07,-6.90054694
45,3.86e-08,-6.889429658
46,1.91e-07,-6.804720131
47,6.21e-07,-6.695109078
48,-8e-07,-6.641569767
49,2.99e-07,-6.586893086
50,-4.93e-07,-6.549006181
51,-5.08e-07,-6.494302116
52,2.43e-07,-6.456172667
53,-3.74e-07,-6.39277616
54,7.07e-07,-6.36981324
55,-1.18e-07,-6.318580816
56,-1.7e-07,-6.313339868
57,3.53e-07,-6.272221671
58,3.96e-07,-6.239193475
59,7.03e-08,-6.159912206
60,1.02e-06,-6.054497091
61,-5.24e-07,-6.021280853
62,3.45e-07,-5.961224214
63,-4.53e-07,-5.897869281
64,-1.61e-06,-5.895594563
65,4.13e-07,-5.89124651
66,-4.52e-07,-5.84321214
67,1.09e-06,-5.847739801
68,2.98e-07,-5.841979986
69,2.17e-07,-5.762202318
70,1e-06,-5.708552279
71,7.46e-07,-5.625735128
72,4.63e-07,-5.594672582
73,-7.71e-08,-5.505055586
74,-3.47e-07,-5.466034982
75,-1.66e-07,-5.468481909
76,2.67e-07,-5.497814825
77,-6.95e-07,-5.427334496
78,-1.01e-06,-5.395064367
79,6.23e-08,-5.410531384
80,9.33e-07,-5.314950837
81,-6.53e-08,-5.26303318
82,-6.32e-07,-5.220827936
83,2.58e-07,-5.234517461
84,-1.39e-08,-5.152015688
85,1.15e-06,-5.196268888
86,-1.02e-06,-5.165759829
87,5.14e-07,-5.186895407
88,-1.3e-07,-5.136380811
89,5.57e-09,-5.168120335
90,4.29e-08,-5.072709942
91,2.61e-07,-4.982120712
92,1.46e-07,-4.948294451
93,6.13e-07,-4.931335639
94,-1.66e-07,-4.881683174
95,-1.34e-06,-4.847409319
96,9.82e-08,-4.879063617
97,2.32e-07,-4.780910354
98,6.29e-08,-4.744123305
99,-1.36e-06,-4.711343033
100,1.02e-06,-4.737236062
101,-9.78e-07,-4.70603028
102,3.64e-07,-4.744203599
103,1.31e-06,-4.711019917
104,1.47e-06,-4.637170668
105,5.59e-07,-4.602808551
106,4.47e-07,-4.569922485
107,7.94e-07,-4.522224754
108,-5.56e-07,-4.421012878
109,4.67e-07,-4.427243722
110,9.21e-07,-4.391295288
111,1.5e-07,-4.279983972
112,-1.11e-06,-4.249941135
113,1.65e-07,-4.22011658
114,6.24e-07,-4.115247188
115,-8.53e-08,-4.019380935
116,2.47e-07,-4.054642646
117,-2.79e-07,-4.001008325
118,-1.27e-07,-4.025951126
119,-7.27e-07,-3.995579173
120,1.55e-07,-4.005549546
121,9.77e-07,-3.906782719
122,1.8e-06,-3.82053733
123,-1.54e-07,-3.795181453
124,8.65e-07,-3.864749368
125,-9.77e-08,-4.082943058
126,-3.37e-07,-4.701592405
127,1.77e-07,-5.521781715
128,7.69e-08,-6.345416774
129,7.16e-07,-7.036768415
130,2.62e-07,-7.435828542
131,-7.83e-07,-7.522491039
132,1.05e-06,-7.473282372
133,5.7e-07,-7.341545172
134,1.34e-07,-7.220146365
135,1.11e-06,-7.179425574
136,1.05e-06,-7.09359738
137,5.53e-08,-7.024049202
138,-4.07e-07,-6.972642357
139,-4.23e-07,-6.930466692
140,-8.38e-07,-6.877661595
141,5.58e-07,-6.816932224
142,5.65e-07,-6.712180626
143,-5.2e-07,-6.659029515
144,-6.33e-07,-6.665256017
145,-1.16e-06,-6.640590395
146,-4.55e-07,-6.673961241
147,5.44e-07,-6.624001986
148,2.73e-07,-6.566454604
149,-1.15e-06,-6.533146879
150,8.15e-07,-6.477537622
151,-2.53e-07,-6.464073778
152,2.99e-07,-6.432307998
153,1.42e-08,-6.396568266
154,-1.38e-08,-6.372144958
155,7.74e-07,-6.330961034
156,-1.51e-07,-6.22501179
157,1.51e-07,-6.182449678
158,3e-07,-6.083116669
159,-7.61e-08,-6.039885917
160,-4.56e-08,-6.017860717
161,-6.11e-07,-6.048763723
162,-4.84e-07,-6.096686751
163,7.33e-07,-6.054338113
164,-5.62e-07,-5.950009386
165,6.26e-07,-5.90642357
166,7.58e-08,-5.788301178
167,-1.04e-06,-5.674626429
168,-2.87e-07,-5.643533234
169,-1.24e-07,-5.621622035
170,-6.84e-07,-5.672533243
171,-9.06e-08,-5.717900868
172,-4.71e-07,-5.74900348
173,-2.57e-07,-5.789722056
174,4.64e-07,-5.810273758
175,2.02e-07,-5.774557527
176,7.31e-07,-5.657263706
177,8.93e-07,-5.618401427
178,4.37e-07,-5.556878271
179,8.16e-07,-5.513266781
180,-2.42e-07,-5.367713636
181,7.1e-07,-5.313194267
182,2.01e-07,-5.263957684
183,9.62e-07,-5.15690065
184,-7.62e-07,-5.040635908
185,-9.22e-07,-4.998354038
186,2.61e-07,-5.032982996
187,-4.67e-07,-4.983057096
188,-3.18e-08,-4.928566417
189,-7.5e-07,-4.960092666
190,1.2e-06,-4.986631685
191,1.52e-08,-4.86012941
192,-3.43e-07,-4.783846882
193,4.6e-07,-4.778169186
194,1.7e-06,-4.668091749
195,-9.53e-08,-4.564149097
196,7.06e-07,-4.459372444
197,1.25e-08,-4.35893425
198,1.05e-06,-4.20674132
199,2.93e-07,-4.045851797
200,-1.7e-07,-3.907371818
201,5.04e-07,-3.91979358
202,-7.95e-07,-3.765280209
203,-2.46e-07,-3.750193051
204,-5.37e-07,-3.690472956
205,1.03e-06,-3.60754756
206,-8.32e-07,-3.445413199
207,2.55e-07,-3.485790937
208,-1.29e-07,-3.456256871
209,-9.72e-08,-3.410667294
210,-3.7e-07,-3.392750417
211,7.45e-08,-3.389103404
212,4.05e-07,-3.3874595
213,-3.57e-07,-3.391664726
214,-5.99e-07,-3.398597326
215,-9.37e-07,-3.469800119
216,3.5e-07,-3.550586884
217,4.35e-07,-3.462335382
218,-1.33e-06,-3.364955634
219,3.7e-07,-3.43806914
220,7.64e-07,-3.431848418
221,-3.1e-07,-3.407086083
222,-5.49e-07,-3.35944936
223,5.33e-07,-3.319218677
224,9.83e-07,-3.272678682
225,1.82e-07,-3.220541275
226,-3.56e-07,-3.165818052
227,-6.8e-07,-3.23008086
228,1.01e-06,-3.180808593
229,8.28e-07,-3.136554337
230,1.95e-07,-3.015204517
231,1.19e-07,-2.978088186
232,-7.33e-07,-2.939737808
233,6.27e-07,-2.87906788
234,-3.55e-07,-2.823853389
235,7.48e-08,-2.762287103
236,4.36e-07,-2.611328816
237,-6.86e-07,-2.458303615
238,3.84e-07,-2.522999403
239,-2.68e-07,-2.413216618
240,-3.46e-07,-2.392279972
241,-3.5e-07,-2.491596727
242,4.72e-07,-2.550535643
243,-2.54e-08,-2.433376032
244,-1.86e-08,-2.497790897
245,8.08e-07,-2.552194551
246,3.56e-07,-2.501188507
247,-2.98e-07,-2.380977457
248,1.77e-07,-2.328305367
249,4.25e-07,-2.210147346
250,6.33e-07,-2.103422895
251,-6.47e-07,-2.002900078
252,-2.16e-07,-2.012913087
253,-2.37e-08,-2.064505093
254,-2.84e-07,-2.11107042
255,-1.13e-08,-2.317411259
256,-4.4e-07,-2.442662901
257,-2.63e-07,-2.682186285
258,-6.11e-08,-2.956265425
259,3.6e-07,-3.130905284
260,-3.8e-07,-3.179175649
261,2.36e-07,-3.444436681
262,1.16e-08,-3.528108108
263,-8.27e-07,-3.679784606
264,-7.94e-07,-3.923286472
265,5.95e-07,-4.155840812
266,-6.7e-07,-4.268518974
267,5.88e-07,-4.368489164
268,1.05e-06,-4.366385744
269,1.31e-07,-4.339633551
270,4.22e-07,-4.288770968
271,-4.18e-07,-4.321923863
272,-7.45e-07,-4.422341092
273,-2.09e-08,-4.399004673
274,-6.91e-07,-4.487884949
275,7.18e-07,-4.462061408
276,2.67e-07,-4.437226164
277,-3.05e-07,-4.397952014
278,6.99e-07,-4.354315964
279,-6.53e-07,-4.305821326
280,1.3e-06,-4.37526897
281,2.01e-07,-4.249857476
282,-6.62e-07,-4.116387036
283,4.41e-07,-4.08754335
284,3.37e-07,-4.069388956
285,-2.19e-07,-4.051710482
286,-4.79e-08,-3.997014977
287,-1.76e-07,-3.980415141
288,3.54e-07,-3.953011001
289,1.5e-06,-3.813246671
290,-4.62e-07,-3.68576308
291,-4.05e-07,-3.676456164
292,-2.81e-07,-3.679439268
293,-6.93e-07,-3.8825495
294,-3.1e-07,-4.120118977
295,-1.86e-07,-4.353137457
296,-6.52e-07,-4.620380031
297,7.54e-07,-4.747467765
298,5.48e-07,-4.797758705
299,1.22e-06,-4.798519566
300,4.85e-07,-4.779424171
301,-7.59e-07,-4.724688293
302,1.06e-06,-4.679197015
303,9.64e-07,-4.520069879
304,6.87e-07,-4.509231231
305,5.87e-07,-4.495659843
306,-7.9e-07,-4.380246912
307,-1.3e-06,-4.474562081
308,9.57e-07,-4.574787491
309,9.44e-07,-4.423341293
310,-3.62e-07,-4.409027162
311,1.62e-08,-4.492220657
312,6.79e-07,-4.338796104
313,-4.69e-07,-4.180501539
314,1.25e-06,-4.267480798
315,7.64e-08,-4.092084832
316,-1.94e-08,-3.924078064
317,-2.41e-07,-4.018760997
318,2.96e-07,-4.104701357
319,-1.51e-06,-4.073507392
320,-8.49e-09,-4.180507972
321,4e-07,-4.159845116
322,4.44e-07,-4.020553666
323,7.71e-07,-4.041456061
324,3.42e-07,-4.0320299
325,-4.45e-07,-3.904275045
326,-1.6e-07,-3.899304459
