,Rotation,Top moment [kN.m]
0,3.55e-07,6.620831995
1,-8.5e-08,5.843162043
2,-4.76e-07,5.842627037
3,-5.74e-07,5.854635335
4,-4.1e-08,5.895743655
5,-5.29e-07,5.911144152
6,7.26e-07,5.919575104
7,2.38e-07,5.966644485
8,-4.98e-07,5.998874971
9,1.47e-06,6.016937553
10,8.36e-07,6.087678464
11,1.51e-07,6.152415036
12,1.96e-07,6.182231121
13,-1.09e-06,6.242827886
14,-1.51e-07,6.298297701
15,-9.31e-07,6.306405826
16,6.26e-07,6.331097936
17,-1.18e-07,6.367900918
18,4.39e-07,6.402283978
19,5.76e-07,6.442639168
20,1.35e-07,6.48597318
21,2.76e-07,6.537360924
22,1.35e-07,6.603099872
23,-1.79e-07,6.631576455
24,5.28e-07,6.678476007
25,-7.1e-07,6.707881121
26,-8.92e-07,6.745324219
27,-3.4e-07,6.76114115
28,-6.11e-07,6.787885259
29,4.26e-07,6.823781653
30,-1.22e-06,6.896775538
31,3.59e-08,6.932378997
32,2.83e-07,6.98759525
33,-1.15e-06,7.040079157
34,-1.07e-06,7.071039216
35,-3.27e-08,7.139528109
36,-1.01e-07,7.206473369
37,6.19e-07,7.254741849
38,4.95e-08,7.325705501
39,-3.13e-07,7.391194238
40,-9.31e-08,7.420228765
41,2.17e-07,7.454527021
42,-1.08e-06,7.509675112
43,-2.74e-07,7.592088221
44,7.87e-07,7.672104237
45,1.6e-07,7.737048804
46,4.73e-07,7.799962836
47,-1.48e-06,7.897940923
48,-1.28e-06,7.93592001
49,5.68e-07,7.994014859
50,5.92e-08,8.091235353
51,-8.39e-07,8.183607687
52,3.39e-07,8.233533381
53,-4.39e-07,8.305960077
54,-1.52e-06,8.344537249
55,-8.74e-07,8.376210435
56,4.83e-07,8.422598654
57,-8.71e-07,8.485683158
58,3.58e-07,8.563710925
59,6.25e-07,8.652009415
60,4.05e-07,8.711081919
61,4.88e-07,8.760661013
62,-1.17e-06,8.837606573
63,-5.5e-07,8.868877788
64,1.25e-06,8.922354918
65,7.5e-08,8.989147292
66,-3.5e-07,9.071884841
67,4.11e-08,9.143157359
68,1.73e-07,9.244119881
69,3.92e-07,9.334281406
70,3.83e-07,9.414347116
71,-7.05e-07,9.498632428
72,9.7e-07,9.543745872
73,-2.4e-07,9.625397124
74,9.5e-07,9.694896237
75,-3.97e-07,9.740426104
76,6.96e-07,9.803371172
77,-7.1e-07,9.882032282
78,-2.91e-07,9.902968353
79,1.78e-07,9.926997706
80,-4.55e-07,10.030143
81,-8.26e-07,10.07536756
82,9.24e-07,10.12978021
83,3.7e-07,10.21882701
84,-4.94e-07,10.32536334
85,1.14e-06,10.39784671
86,8.76e-07,10.51100048
87,1.58e-07,10.62224632
88,-9.68e-07,10.70175689
89,-5.46e-07,10.74155494
90,-6.14e-07,10.81392166
91,-6.72e-08,10.86204752
92,2.86e-08,10.90470436
93,2.13e-07,10.98408095
94,-1.34e-07,11.09668554
95,-4.42e-07,11.12568511
96,1.34e-07,11.19646944
97,-4.75e-07,11.25240446
98,-8.7e-07,11.28490364
99,2.9e-07,11.35184843
100,1.31e-07,11.44083408
101,3.73e-07,11.53893483
102,6.56e-07,11.64850867
103,-6.36e-08,11.76361099
104,1.25e-07,11.79430801
105,-1.25e-06,11.86240599
106,-8.95e-07,11.87721047
107,-5.9e-07,11.89278872
108,6.59e-07,11.91739015
109,1.64e-07,12.03805978
110,2.04e-07,12.09615028
111,1.08e-06,12.16901583
112,1.24e-08,12.27640162
113,-6.720000000000001e-09,12.35983449
114,1.62e-07,12.42594342
115,6.51e-07,12.54569979
116,-7.51e-07,12.62958308
117,6.21e-07,12.73257273
118,-6.27e-07,12.85364866
119,-2.81e-07,12.92917768
120,3.53e-07,12.95153543
121,-1.04e-06,13.00258268
122,-5.07e-07,13.01626301
123,-6.4e-07,13.03366589
124,6.13e-07,13.06765605
125,2.61e-07,13.1788844
126,1.12e-07,13.27086709
127,2.44e-07,13.38441339
128,3.75e-07,13.44764889
129,-6.11e-07,13.51604903
130,2.35e-07,13.58617283
131,-7.76e-07,13.70032906
132,4.49e-07,13.75085396
133,3.21e-07,13.79558805
134,-4.12e-08,13.8461061
135,-1.31e-07,13.89742819
136,-2.04e-07,13.94125712
137,4.46e-07,13.93886378
138,8.77e-07,14.04488989
139,-3.63e-07,14.08209029
140,-3.55e-07,14.08256092
141,4.44e-07,14.06930122
142,-1.28e-07,14.12831021
143,4.76e-07,14.12752951
144,1.8100000000000002e-09,14.19183811
145,9.75e-07,14.28788669
146,4.58e-07,14.3441477
147,3.06e-07,14.46720884
148,9.82e-08,14.53433036
149,-3.78e-07,14.65582847
150,5.65e-07,14.72766253
151,-7.49e-07,14.80064993
152,2.79e-07,14.87229928
153,-3.83e-07,14.95496044
154,-3.09e-07,15.01738692
155,8.24e-07,15.03341434
156,-4.46e-07,15.15030497
157,3.67e-07,15.14872981
158,-7.9e-08,15.19989798
159,1.22e-06,15.26604451
160,-2.15e-07,15.36615163
161,8.85e-07,15.3937469
162,1.9e-07,15.47006883
163,-1.43e-07,15.60266028
164,-7.61e-07,15.65839475
165,3.21e-07,15.70870982
166,3.92e-07,15.83962267
167,-4.37e-07,15.97375389
168,-6.89e-07,15.98270922
169,6.01e-07,16.07828666
170,-3.52e-07,16.21465615
171,-2.06e-08,16.23249991
172,7.17e-07,16.28936553
173,-5.71e-07,16.42660767
174,-2.67e-07,16.43223877
175,5.31e-08,16.43282914
176,-4.29e-07,16.48526075
177,-5.72e-08,16.50712602
178,7.35e-07,16.57955125
179,6.29e-07,16.72152553
180,1.22e-07,16.78747382
181,1.82e-07,16.88008727
182,-3.01e-07,16.95657769
183,-7.56e-07,17.04672898
184,2.68e-07,17.13039537
185,5.43e-07,17.28008294
186,7.64e-08,17.35053942
187,-5.59e-08,17.49421424
188,-1.98e-07,17.50173415
189,-8.98e-07,17.49227082
190,5.05e-07,17.55798463
191,-2.73e-07,17.67418415
192,6.99e-07,17.73852571
193,1.45e-07,17.85828851
194,-7.26e-07,17.99303888
195,-2.71e-07,18.06936605
196,-7.48e-07,18.08697807
197,-2.59e-07,18.10355518
198,-3.38e-07,18.1279733
199,-1.34e-06,18.20671966
200,1.68e-07,18.21124535
201,8.37e-07,18.34316228
202,3.82e-07,18.40124988
203,-1.02e-07,18.52974627
204,8.04e-08,18.5785319
205,-6.85e-08,18.71054484
206,3.84e-07,18.70543781
207,-1.54e-06,18.84645182
208,-7.28e-07,18.82939081
209,-3.82e-07,18.85317538
210,6.41e-07,18.92943226
211,-1.22e-06,19.08694899
212,5.84e-07,19.08943125
213,2.44e-07,19.23906048
214,-1e-07,19.37259325
215,-4.08e-07,19.35894237
216,7.67e-07,19.40739049
217,-2.41e-07,19.53747067
218,-2.6e-07,19.53426859
219,3.55e-07,19.59701407
220,-3.76e-07,19.67797683
221,-7.41e-07,19.76578786
222,6.61e-07,19.84210512
223,-8e-08,19.98749278
224,2.31e-07,20.07197658
225,-3.57e-07,20.22576292
226,-7.22e-07,20.22442302
227,-3.42e-07,20.21966936
228,-1.11e-07,20.28493938
229,-1.59e-07,20.34853277
230,1.86e-07,20.41028644
231,5.6e-07,20.45567658
232,-1.55e-07,20.5927197
233,-2.51e-07,20.66850207
234,-4.34e-07,20.65573992
235,1.85e-07,20.712822
236,-7.87e-07,20.88014936
237,-6.17e-07,20.87703801
238,2.15e-08,20.95328035
239,-2.55e-07,21.02114339
240,-6.48e-08,21.03076378
241,5.94e-08,21.0152183
242,-2.9e-08,21.16957566
243,6.42e-07,21.24508055
244,1.22e-08,21.43716852
245,4.06e-07,21.53278357
246,-7.4e-07,21.66123363
247,-5.29e-08,21.80195436
248,-2.07e-07,21.86361905
249,2.07e-07,21.91697439
250,1.17e-06,22.07808264
251,-4.74e-07,22.3192862
252,3e-07,22.47929907
253,2.42e-07,22.62817473
254,1.47e-07,22.73899878
255,-7.97e-07,22.84624058
256,-7.57e-07,22.93894239
257,2.49e-07,22.93245233
258,1.1e-06,23.02039645
259,3.93e-07,23.13170001
260,-1.04e-06,23.30588216
261,3.97e-07,23.30786942
262,4.33e-07,23.40970073
263,3.52e-07,23.48428497
264,-4.68e-07,23.57355319
265,6.21e-07,23.5783181
266,8.68e-07,23.65794948
267,3.32e-07,23.8024547
268,1.25e-07,23.97121113
269,4.89e-07,24.12314344
270,9.45e-07,24.28116814
271,-7.72e-07,24.46069857
272,-5.79e-07,24.47685404
273,-2.83e-07,24.54674599
274,-4.56e-08,24.62684189
275,-2.78e-07,24.70807207
276,2.73e-07,24.67404946
277,-1.1e-07,24.80880092
278,-6.37e-07,24.79922842
279,-2.59e-07,24.78326437
280,3.06e-07,24.8288827
281,-3.9e-07,24.90251146
282,2.91e-07,24.98201619
283,1.21e-08,25.03775608
284,-6.52e-07,25.18135187
285,5.07e-07,25.16198733
286,-4.73e-07,25.30428549
287,8.75e-09,25.35489208
288,-9.87e-08,25.5042795
289,3.94e-07,25.56742526
290,-7.59e-07,25.61466855
291,-6.99e-08,25.57468401
292,-2.61e-07,25.59176786
293,-2.94e-07,25.50092791
294,6.14e-07,25.36136849
295,1.91e-08,25.30527846
296,-4.22e-07,25.26028456
297,1.07e-06,25.0427331
298,1.26e-06,24.88701734
299,4.33e-08,24.74130846
300,-6.28e-07,24.55225676
301,3.08e-07,24.42068249
302,7.53e-08,24.38061979
303,8.7e-07,24.25709502
304,4.46e-07,24.22812046
305,-4.27e-07,24.1389448
306,-6.65e-07,23.95466942
307,4.38e-07,23.86565236
308,-4.67e-07,23.7861149
309,5.74e-07,23.64063525
310,7.8e-07,23.70457927
311,-1.63e-07,23.6859557
312,4.08e-07,23.67326111
313,7.24e-07,23.79438025
314,-2.72e-07,23.94939655
315,1.05e-06,23.87867657
316,-1.23e-07,24.01468913
317,-5.58e-07,23.96182648
318,-1.13e-06,24.00501549
319,1.01e-06,24.02119356
320,-2.03e-07,24.08275689
321,1e-06,24.02945392
322,-3.96e-07,24.07758216
323,-6.5e-07,24.11967695
324,3.12e-07,24.08067319
325,7.13e-07,24.21789171
326,5.5e-07,24.38293825
