,Rotation,Top moment [kN.m]
0,-3.77e-08,-14.14480119
1,1.55e-06,34.55620994
2,-8.48e-08,-14.16421672
3,5.92e-07,31.37586889
4,-1.14e-06,-14.08858161
5,-1.96e-07,-14.1278388
6,-8.47e-07,-14.091454
7,-4.37e-07,-14.09245451
8,-5.32e-08,-14.14632073
9,-1.06e-07,-14.10528109
10,8.03e-07,18.95651878
11,-7.03e-07,-14.14380604
12,-5.58e-07,-14.07636377
13,8.44e-07,13.80002178
14,3.69e-07,12.01530686
15,5.59e-08,10.36673653
16,-4.3e-07,-14.11785758
17,1.26e-06,7.206281069
18,-5.8e-07,-14.24673385
19,-2.89e-07,-14.17538773
20,-2.81e-07,-14.17391932
21,1.35e-07,0.74426338
22,6.01e-07,-0.845489986
23,-1.89e-07,-14.14298625
24,-1.47e-06,-14.14552818
25,-5.33e-09,-14.0565545
26,-3.97e-07,-14.05916935
27,4.02e-07,-8.441969113
28,1.12e-06,-9.912885418
29,-5.87e-07,-14.06878823
30,-5.73e-07,-14.0018514
31,3.63e-07,-13.58741384
32,9.23e-07,-13.53089868
33,1.43e-07,-13.56825855
34,1.69e-07,-13.50589344
35,1.45e-07,-13.49043947
36,-8.51e-08,-13.94251634
37,-8.48e-07,-13.97662745
38,1.44e-06,-13.63417179
39,1.39e-07,-13.5736801
40,-2.59e-07,-14.05234063
41,-2.79e-07,-14.02098787
42,-1.19e-07,-14.04913989
43,8.81e-07,-13.53602832
44,2.5e-07,-13.5285003
45,1.54e-07,-13.57078539
46,7.06e-07,-13.46218453
47,1.08e-06,-13.47375571
48,-2.65e-07,-13.84769354
49,-3.98e-07,-13.82284599
50,-3.91e-07,-13.76670953
51,-4.1e-08,-13.83882683
52,2.66e-07,-13.35997727
53,1.3e-07,-13.35274193
54,-1.03e-07,-13.83060279
55,-5.31e-07,-13.74330785
56,-9.79e-07,-13.67679135
57,3.93e-07,-13.2629653
58,1.09e-07,-13.33250943
59,-3.03e-07,-13.63565228
60,-5.09e-08,-13.69259961
61,4.32e-07,-13.23403601
62,2.17e-06,-13.22273131
63,-6.23e-07,-13.67821351
64,8.12e-07,-13.21805784
65,4.64e-07,-13.18737327
66,1.23e-07,-13.1702678
67,-1.48e-07,-13.5950082
68,7.61e-07,-13.06627238
69,3.41e-07,-13.14724162
70,-1.87e-07,-13.64667071
71,1.2e-07,-13.44675979
72,-1.81e-07,-14.11325787
73,6.79e-07,-13.87346288
74,-8.26e-07,-14.62784247
75,1.05e-06,-14.48924993
76,-1.7e-07,-15.17263796
77,1.3e-06,-15.05401002
78,-1.81e-07,-15.7710146
79,-5.94e-07,-15.95360197
80,1.15e-06,-16.03572696
81,-5.73e-07,-16.84712139
82,2.12e-07,-16.79435809
83,2e-07,-17.05757337
84,-6.36e-07,-17.57288857
85,7.77e-07,-17.42668394
86,3.18e-07,-17.52469132
87,-4.36e-07,-18.09061836
88,1.66e-07,-17.74445819
89,-8.88e-07,-18.17233742
90,2.6e-07,-17.86702953
91,5.17e-07,-17.85785185
92,1.99e-07,-17.81564763
93,-8.33e-07,-18.22481951
94,-9.49e-08,-18.26666029
95,4.66e-07,-17.88296493
96,2.95e-07,-17.83251771
97,7.64e-07,-17.86583025
98,9.33e-07,-17.8642656
99,-6.7e-07,-18.20045708
100,-2.7e-07,-18.2249458
101,-2.94e-07,-18.10191677
102,2.74e-07,-17.69054975
103,-2.8e-07,-18.12198934
104,4.78e-07,-17.72656504
105,-1.91e-07,-18.10817896
106,-7.29e-07,-18.03397901
107,1.11e-06,-17.65081048
108,2.82e-07,-17.68390178
109,7.06e-07,-17.62112767
110,-2.41e-07,-17.97543506
111,-1.08e-07,-17.94296964
112,-4.93e-07,-17.86098073
113,-1.1e-06,-17.87433001
114,6.04e-07,-17.43593733
115,3e-07,-17.36968395
116,7.13e-07,-17.41286203
117,-1.04e-06,-17.83308833
118,5.66e-07,-17.40330741
119,-1.02e-06,-17.75598844
120,-5.12e-07,-17.65263196
121,2.5e-07,-17.27413752
122,6.05e-07,-17.26188808
123,3.99e-07,-17.31754127
124,1.08e-06,-17.21533134
125,2.13e-07,-17.16226504
126,6.92e-07,-17.19941262
127,4.39e-07,-17.12340361
128,1.83e-07,-17.12626635
129,3.59e-07,-17.08598333
130,2.46e-07,-17.11768055
131,4.1e-07,-17.13404671
132,-1.56e-08,-17.49011812
133,7.26e-07,-17.03994565
134,-3.11e-07,-17.49460423
135,-3.52e-07,-17.36067235
136,-8.11e-07,-17.26133331
137,-4.71e-07,-17.21395783
138,6.56e-07,-16.90329934
139,1.18e-06,-16.83162234
140,1.71e-07,-16.86980328
141,6e-07,-16.90893251
142,3.94e-07,-16.85871863
143,1.44e-07,-16.787666
144,-5.17e-08,-17.19205055
145,-8.33e-07,-17.1522812
146,2.06e-07,-16.68407519
147,-4.82e-08,-17.08424735
148,-7.45e-08,-17.12271881
149,-1.16e-06,-17.05976535
150,-3.03e-07,-17.05354167
151,-4.03e-07,-16.97607744
152,1.32e-06,-16.58219123
153,3.57e-07,-16.51730155
154,-2.77e-07,-16.87488326
155,-1.19e-06,-16.88687096
156,-4.74e-07,-16.8855634
157,-5.03e-07,-16.85802695
158,6.79e-07,-16.34763756
159,5.07e-07,-16.45119388
160,1.41e-07,-16.45931377
161,6.2e-07,-16.43105316
162,-5.78e-07,-16.65907022
163,-1.04e-07,-16.69094509
164,1.11e-06,-16.25621356
165,-1.14e-08,-16.63040731
166,-5.03e-08,-16.58966463
167,4.06e-07,-16.20019236
168,4.15e-08,-16.16745675
169,-1.26e-07,-16.59087766
170,-5.61e-07,-16.52307732
171,1.13e-07,-16.09365304
172,3.31e-07,-16.11842813
173,-8.25e-07,-16.52663172
174,3.47e-08,-16.11178936
175,-2.44e-08,-16.43283744
176,-1.36e-06,-16.44464725
177,8.670000000000001e-09,-16.07184855
178,-6.09e-07,-16.37036066
179,4.59e-07,-15.93621767
180,-2.38e-07,-16.26875821
181,-6.07e-07,-16.27062367
182,8.75e-07,-15.86545809
183,-2.67e-07,-16.11011721
184,1.13e-06,-15.80133672
185,-6.04e-07,-16.07453652
186,-9.39e-07,-16.0146981
187,-4.28e-07,-16.02274341
188,5.92e-08,-15.62390108
189,5.09e-07,-15.48143907
190,6.01e-07,-15.55553319
191,7.93e-07,-15.49887687
192,-1e-06,-15.83738092
193,4.18e-07,-15.41113137
194,6.4e-07,-15.36421627
195,7.79e-07,-15.29716298
196,7.22e-07,-15.25788401
197,-1.22e-07,-15.59282996
198,-9.53e-08,-15.50495981
199,6.85e-08,-15.01855025
200,-1.06e-06,-15.41462741
201,7.14e-07,-15.13335461
202,6.31e-07,-15.0630137
203,5.97e-07,-14.97905456
204,1.13e-06,-14.92863157
205,-2.07e-07,-15.28611284
206,1.19e-06,-14.89255524
207,-4.92e-07,-15.32587107
208,3.33e-07,-14.82697574
209,-3.93e-07,-15.13955607
210,-6.19e-07,-15.21430463
211,-3.45e-07,-15.07481737
212,-1.66e-07,-15.15295184
213,-1.86e-08,-15.12847197
214,-2.55e-07,-15.0890949
215,-2.1e-07,-15.00989598
216,3.63e-07,-14.62002613
217,3.18e-07,-14.55136899
218,9.51e-07,-14.62131883
219,-1.65e-08,-14.89503571
220,-1.14e-07,-14.93626688
221,3.62e-07,-14.4642546
222,-6.96e-08,-14.88508029
223,6.35e-07,-14.4767928
224,-6.77e-07,-14.78571088
225,6.24e-07,-14.34831953
226,-1.75e-07,-14.66023739
227,-4.99e-07,-14.67865071
228,-1.38e-07,-14.64904225
229,3.53e-07,-14.21168115
230,7.72e-07,-14.32567539
231,-2.9900000000000002e-09,-14.54322788
232,2.36e-07,-14.07290706
233,-7.46e-07,-14.42715071
234,3.63e-07,-14.02838226
235,-1.31e-06,-14.35239364
236,2.33e-07,-13.96750329
237,1.28e-07,-13.90899019
238,5.93e-07,-13.92547461
239,4.01e-07,-13.92202968
240,1.15e-07,-13.80699653
241,6.71e-07,-13.74963494
242,-8.22e-07,-14.03960705
243,-4.1600000000000005e-09,-14.08676678
244,-2.3e-07,-13.93426174
245,3.14e-07,-13.51616161
246,6.35e-07,-13.40542049
247,5.19e-07,-13.45788793
248,-3.94e-07,-13.82141157
249,-4.6e-08,-13.70475921
250,-3.85e-07,-13.54984935
251,-2.21e-07,-13.64030903
252,2.62e-07,-13.1686558
253,7.38e-07,-13.06830626
254,-4.59e-07,-13.47701999
255,1.61e-07,-12.98757874
256,-1.25e-06,-13.37280507
257,-1.46e-07,-13.26646838
258,-5.8e-07,-13.09030756
259,1.16e-06,-12.57969698
260,-9.19e-07,-12.85031407
261,-6.29e-07,-12.68485326
262,7.58e-07,-12.16778457
263,7.44e-07,-12.07067543
264,3.53e-07,-11.91400051
265,3.45e-07,-11.79489142
266,-1.35e-06,-12.05723449
267,8.52e-07,-11.65277916
268,1.35e-07,-11.51676677
269,-2.65e-07,-11.76869118
270,-3.4e-07,-11.79094284
271,2.85e-07,-11.38417263
272,-2.45e-07,-11.5713087
273,-7.73e-07,-11.56229597
274,-1.44e-07,-11.50136987
275,3.07e-07,-10.97830012
276,-3.87e-07,-11.41392238
277,4.87e-07,-11.04926639
278,-2.54e-08,-11.27119566
279,6.61e-08,-10.92721502
280,1.44e-06,-10.77825846
281,1.13e-06,-10.75606031
282,1.77e-07,-10.67295145
283,1.88e-07,-10.68030987
284,1.13e-06,-10.71589505
285,2.83e-07,-10.57352969
286,4.05e-07,-10.41268382
287,2.37e-07,-10.51246728
288,1.04e-06,-10.44315877
289,-4.61e-07,-10.8252302
290,-1.24e-06,-10.68683496
291,7.69e-08,-10.28086576
292,-3.87e-08,-10.6286068
293,5.53e-08,-10.19841568
294,-2.28e-07,-10.50137775
295,-8.36e-07,-10.51001163
296,-5.99e-07,-10.52216249
297,9.85e-08,-10.0771613
298,-6.69e-07,-10.51984784
299,1.06e-06,-10.02533744
300,-1.16e-07,-10.3097771
301,2.2e-08,-9.971598104
302,2.03e-07,-9.80837171
303,3.75e-07,-9.912117336
304,-9.760000000000001e-09,-10.1313184
305,5.94e-08,-9.859427027
306,4.87e-07,-9.901337359
307,-9.36e-07,-10.22391628
308,3.8e-07,-9.888427483
309,-9.38e-07,-10.13075645
310,-6.82e-08,-10.08395159
311,1.17e-07,-9.655891728
312,-1.84e-07,-9.959494008
313,-9.01e-07,-9.886175623
314,-7.61e-07,-9.91777241
315,-6.94e-07,-9.83943156
316,-2.96e-07,-9.883178537
317,2.21e-07,-9.489110321
318,-1.64e-06,-9.650705378
