,Rotation,Base moment [kN.m],Axial_Disp. [mm]
0,1.117e-05,21.7113,0.010914
1,8.24e-06,22.1988,0.009095
2,4.15e-06,22.9335,0.005457
3,1.09e-06,23.6761,0.003638
4,-8.5e-07,24.2956,0.001819
5,-2.36e-06,24.7496,0.001819
6,-3.32e-06,25.0484,0.0
7,-3.47e-06,25.2227,-0.003638
8,-2.7e-06,25.3066,-0.005457
9,-1.27e-06,25.3279,-0.007276
10,1.2e-07,25.3112,-0.005457
11,4.9e-07,25.2823,-0.003638
12,-8.4e-07,25.2563,-0.001819
13,-2.53e-06,25.2339,0.0
14,-3.15e-06,25.2126,0.0
15,-3.28e-06,25.193,0.0
16,-3.44e-06,25.1798,0.0
17,-3.39e-06,25.1766,0.001819
18,-2.05e-06,25.1838,0.001819
19,-7e-08,25.1997,0.0
20,5.3e-07,25.2152,0.0
21,8.5e-07,25.2164,-0.001819
22,1.77e-06,25.2031,-0.001819
23,1.95e-06,25.1892,0.0
24,1.16e-06,25.1796,0.0
25,9e-08,25.1645,0.0
26,-1.44e-06,25.1491,0.001819
27,-3.83e-06,25.143,0.001819
28,-6.04e-06,25.1403,0.001819
29,-6.85e-06,25.1421,0.001819
30,-5.97e-06,25.1506,0.0
31,-4.38e-06,25.1633,-0.001819
32,-3.37e-06,25.1785,-0.003638
33,-2.65e-06,25.1877,-0.003638
34,-1.77e-06,25.1925,-0.003638
35,-8.4e-07,25.2034,-0.001819
36,5.3e-07,25.211,-0.003638
37,2.34e-06,25.1997,-0.003638
38,3.31e-06,25.1758,-0.003638
39,3.13e-06,25.1562,-0.001819
40,4.14e-06,25.1515,0.0
41,6.59e-06,25.1574,0.0
42,7.16e-06,25.1609,-0.001819
43,5.58e-06,25.1602,0.0
44,3.53e-06,25.1622,0.0
45,1.67e-06,25.1675,0.001819
46,5.7e-07,25.1782,0.001819
47,2.1e-07,25.1943,0.003638
48,1.2e-07,25.2037,0.003638
49,-6.5e-07,25.1989,0.003638
50,-2.55e-06,25.1854,0.003638
51,-4.2e-06,25.1719,0.001819
52,-4.58e-06,25.1677,0.001819
53,-4.02e-06,25.1758,0.001819
54,-3.23e-06,25.1889,0.0
55,-2.36e-06,25.2025,-0.001819
56,-1.85e-06,25.2185,-0.003638
57,-2.14e-06,25.231,-0.003638
58,-2.4e-06,25.2371,-0.001819
59,-2.49e-06,25.2458,0.0
60,-2.9e-06,25.2589,0.0
61,-3.74e-06,25.2721,0.0
62,-4.81e-06,25.2878,-0.001819
63,-5.49e-06,25.3137,0.0
64,-5.62e-06,25.3544,0.001819
65,-5.54e-06,25.4052,0.0
66,-4.73e-06,25.4599,-0.001819
67,-2.96e-06,25.519,-0.003638
68,-1.71e-06,25.5798,-0.003638
69,-1.71e-06,25.6406,-0.003638
70,-1.53e-06,25.7028,-0.003638
71,-9.6e-07,25.7647,-0.001819
72,-8.9e-07,25.8278,0.0
73,-7.4e-07,25.8925,0.001819
74,-4.7e-07,25.9542,0.001819
75,-2.8e-07,26.0111,0.003638
76,1.24e-06,26.0678,0.003638
77,3.81e-06,26.1242,0.001819
78,5.56e-06,26.1712,0.0
79,6.11e-06,26.2031,0.0
80,5.48e-06,26.2266,0.0
81,3.66e-06,26.2464,0.0
82,1.57e-06,26.2634,0.0
83,-8.1e-07,26.2784,0.0
84,-2.88e-06,26.2832,-0.001819
85,-2.87e-06,26.2727,-0.003638
86,-1.67e-06,26.2583,-0.003638
87,-4.2e-07,26.2535,-0.003638
88,1.03e-06,26.2568,-0.003638
89,2.06e-06,26.2568,-0.001819
90,2.48e-06,26.2482,-0.001819
91,2.68e-06,26.2343,-0.003638
92,2.52e-06,26.2222,-0.007276
93,2.64e-06,26.213,-0.007276
94,3.9e-06,26.2,-0.005457
95,5.13e-06,26.1826,-0.003638
96,4.51e-06,26.168,-0.005457
97,2.69e-06,26.1618,-0.005457
98,2.06e-06,26.1588,-0.007276
99,2.75e-06,26.1509,-0.007276
100,2.85e-06,26.1441,-0.005457
101,2.2e-06,26.146,-0.003638
102,1.55e-06,26.152,-0.003638
103,1.61e-06,26.1546,-0.001819
104,2.62e-06,26.1528,-0.001819
105,3.82e-06,26.1491,-0.001819
106,5.37e-06,26.1426,-0.003638
107,7.38e-06,26.1359,-0.003638
108,8.19e-06,26.1324,-0.005457
109,7.22e-06,26.1265,-0.005457
110,5.69e-06,26.1157,-0.005457
111,4.22e-06,26.1017,-0.003638
112,2.85e-06,26.0862,-0.003638
113,2.78e-06,26.0724,-0.005457
114,4.95e-06,26.0595,-0.005457
115,7.02e-06,26.0423,-0.005457
116,6.8e-06,26.0211,-0.005457
117,5.16e-06,26.006,-0.005457
118,3.38e-06,25.9964,-0.005457
119,1.87e-06,25.9844,-0.003638
120,2.9e-07,25.9731,0.0
121,-1.55e-06,25.9664,0.0
122,-2.88e-06,25.9632,0.0
123,-3.29e-06,25.9647,0.0
124,-2.79e-06,25.9752,0.0
125,-1.74e-06,25.9932,0.0
126,-1.91e-06,26.0097,-0.001819
127,-3.85e-06,26.018,-0.003638
128,-5.68e-06,26.0162,-0.003638
129,-6.52e-06,26.0094,-0.003638
130,-5.72e-06,26.0059,-0.003638
131,-3.03e-06,26.0071,-0.005457
132,-3.1e-07,26.0058,-0.003638
133,1.13e-06,25.9989,-0.003638
134,9.2e-07,25.9947,-0.003638
135,6.5e-07,25.995,-0.001819
136,1.71e-06,25.9976,-0.003638
137,1.75e-06,26.0078,-0.003638
138,5e-08,26.0225,-0.003638
139,-1.17e-06,26.0302,-0.005457
140,-5.9e-07,26.0262,-0.005457
141,3.2e-07,26.0145,-0.005457
142,-7.1e-07,26.0029,-0.007276
143,-3.28e-06,26.0002,-0.007276
144,-5.54e-06,26.0048,-0.007276
145,-6.17e-06,26.0056,-0.007276
146,-4.98e-06,25.9998,-0.005457
147,-3.02e-06,25.9916,-0.003638
148,-1.31e-06,25.9855,0.0
149,-3.4e-07,25.9838,0.0
150,-2.23e-06,25.9822,0.0
151,-7.09e-06,25.981,0.0
152,-1.002e-05,25.9804,0.0
153,-9.3e-06,25.9758,0.0
154,-7.27e-06,25.9653,-0.001819
155,-4.68e-06,25.9443,-0.001819
156,-1.84e-06,25.9124,-0.001819
157,1.06e-06,25.88,-0.001819
158,4.24e-06,25.8573,-0.005457
159,6.43e-06,25.8433,-0.007276
160,7.11e-06,25.8314,-0.009095
161,6.9e-06,25.8223,-0.009095
162,5.84e-06,25.8183,-0.007276
163,4.18e-06,25.8131,-0.005457
164,2.18e-06,25.8057,-0.003638
165,-5e-08,25.803,-0.003638
166,-1.86e-06,25.801,-0.003638
167,-2.48e-06,25.7904,-0.003638
168,-1.96e-06,25.7726,-0.005457
169,-1.23e-06,25.7562,-0.007276
170,-1.38e-06,25.7456,-0.007276
171,-2.23e-06,25.7396,-0.009095
172,-2.22e-06,25.7374,-0.009095
173,-1.11e-06,25.7378,-0.010914
174,-3.2e-07,25.7345,-0.012733
175,-2.5e-07,25.723,-0.014552
176,-2.9e-07,25.7092,-0.016371
177,-3e-08,25.6989,-0.016371
178,3.2e-07,25.6896,-0.016371
179,3.3e-07,25.6754,-0.016371
180,5.6e-07,25.6562,-0.016371
181,1.11e-06,25.6447,-0.016371
182,8.1e-07,25.6457,-0.016371
183,-9.1e-07,25.6504,-0.014552
184,-2.93e-06,25.6544,-0.012733
185,-3.53e-06,25.6507,-0.012733
186,-2.36e-06,25.6347,-0.014552
187,-1.23e-06,25.6146,-0.016371
188,-1.52e-06,25.5955,-0.020009
189,-1.88e-06,25.5757,-0.021828
190,-1.45e-06,25.5565,-0.025466
191,-1.3e-06,25.5406,-0.025466
192,-1.76e-06,25.5272,-0.023647
193,-1.99e-06,25.5176,-0.023647
