,Rotation,Base moment [kN.m],Axial_Disp. [mm]
0,0.00063356,29.6775,0.660297
1,0.00053631,28.9555,0.558433
2,0.00039076,27.8728,0.407456
3,0.00024424,26.7813,0.25466
4,0.00012152,25.8635,0.12733
5,3.186e-05,25.184,0.032742
6,-2.629e-05,24.739,-0.027285
7,-5.923e-05,24.488,-0.060027
8,-7.375e-05,24.3781,-0.07276
9,-7.678e-05,24.3587,-0.074579
10,-7.355e-05,24.3892,-0.069122
11,-6.816e-05,24.4404,-0.061846
12,-6.305e-05,24.496,-0.05457
13,-5.722e-05,24.5447,-0.047294
14,-4.961e-05,24.5796,-0.043656
15,-4.225e-05,24.6039,-0.041837
16,-3.802e-05,24.6209,-0.041837
17,-3.653e-05,24.6289,-0.043656
18,-3.566e-05,24.6354,-0.047294
19,-3.517e-05,24.6493,-0.049113
20,-3.589e-05,24.6624,-0.047294
21,-3.699e-05,24.6708,-0.045475
22,-3.734e-05,24.6799,-0.043656
23,-3.808e-05,24.6879,-0.043656
24,-3.982e-05,24.6895,-0.045475
25,-4.223e-05,24.6874,-0.045475
26,-4.497e-05,24.6816,-0.045475
27,-4.684e-05,24.6724,-0.043656
28,-4.682e-05,24.6698,-0.043656
29,-4.561e-05,24.671,-0.045475
30,-4.499e-05,24.6695,-0.047294
31,-4.495e-05,24.6647,-0.047294
32,-4.39e-05,24.6592,-0.047294
33,-4.186e-05,24.6587,-0.043656
34,-4.017e-05,24.6584,-0.041837
35,-3.935e-05,24.6538,-0.040018
36,-3.901e-05,24.6478,-0.040018
37,-3.845e-05,24.6466,-0.041837
38,-3.738e-05,24.6548,-0.045475
39,-3.68e-05,24.6642,-0.045475
40,-3.822e-05,24.666,-0.045475
41,-4.055e-05,24.6633,-0.043656
42,-4.176e-05,24.6634,-0.041837
43,-4.165e-05,24.667,-0.041837
44,-4.095e-05,24.6741,-0.040018
45,-4.023e-05,24.6842,-0.040018
46,-3.993e-05,24.6921,-0.040018
47,-4.019e-05,24.6931,-0.040018
48,-4.004e-05,24.6902,-0.041837
49,-3.872e-05,24.6881,-0.041837
50,-3.718e-05,24.6821,-0.041837
51,-3.643e-05,24.6728,-0.043656
52,-3.501e-05,24.6725,-0.047294
53,-3.276e-05,24.6859,-0.049113
54,-3.183e-05,24.704,-0.049113
55,-3.264e-05,24.7171,-0.047294
56,-3.543e-05,24.7207,-0.045475
57,-3.937e-05,24.7167,-0.041837
58,-4.186e-05,24.7141,-0.040018
59,-4.25e-05,24.7217,-0.040018
60,-4.231e-05,24.7354,-0.041837
61,-4.137e-05,24.7477,-0.041837
62,-3.987e-05,24.7618,-0.041837
63,-3.905e-05,24.779,-0.040018
64,-4.028e-05,24.7951,-0.03638
65,-4.285e-05,24.8103,-0.034561
66,-4.321e-05,24.827,-0.03638
67,-3.992e-05,24.8417,-0.038199
68,-3.524e-05,24.8485,-0.040018
69,-3.238e-05,24.8525,-0.040018
70,-3.334e-05,24.8611,-0.038199
71,-3.69e-05,24.8685,-0.038199
72,-3.956e-05,24.8671,-0.040018
73,-3.908e-05,24.8661,-0.041837
74,-3.746e-05,24.8766,-0.045475
75,-3.73e-05,24.8987,-0.047294
76,-3.753e-05,24.9261,-0.049113
77,-3.695e-05,24.9487,-0.049113
78,-3.669e-05,24.9651,-0.047294
79,-3.756e-05,24.9817,-0.043656
80,-3.818e-05,24.9957,-0.043656
81,-3.73e-05,25.0031,-0.043656
82,-3.598e-05,25.0136,-0.043656
83,-3.51e-05,25.0358,-0.041837
84,-3.497e-05,25.0672,-0.040018
85,-3.551e-05,25.098,-0.040018
86,-3.607e-05,25.1235,-0.040018
87,-3.697e-05,25.1489,-0.041837
88,-3.916e-05,25.1677,-0.043656
89,-4.209e-05,25.1776,-0.041837
90,-4.499e-05,25.1925,-0.041837
91,-4.803e-05,25.2144,-0.041837
92,-4.968e-05,25.234,-0.041837
93,-4.866e-05,25.2471,-0.040018
94,-4.679e-05,25.2638,-0.038199
95,-4.622e-05,25.2908,-0.038199
96,-4.583e-05,25.3231,-0.038199
97,-4.366e-05,25.3573,-0.03638
98,-4.128e-05,25.3912,-0.034561
99,-4.001e-05,25.4239,-0.032742
100,-3.91e-05,25.453,-0.034561
101,-3.876e-05,25.4754,-0.03638
102,-3.989e-05,25.4909,-0.03638
103,-4.1e-05,25.5046,-0.038199
104,-4.109e-05,25.5219,-0.038199
105,-4.097e-05,25.5404,-0.038199
106,-3.986e-05,25.5609,-0.040018
107,-3.763e-05,25.5882,-0.041837
108,-3.563e-05,25.6168,-0.043656
109,-3.442e-05,25.6369,-0.045475
110,-3.43e-05,25.6493,-0.045475
111,-3.601e-05,25.6624,-0.043656
112,-3.903e-05,25.6805,-0.043656
113,-4.137e-05,25.7028,-0.041837
114,-4.267e-05,25.7278,-0.040018
115,-4.43e-05,25.7546,-0.040018
116,-4.564e-05,25.7825,-0.040018
117,-4.512e-05,25.8132,-0.041837
118,-4.25e-05,25.8517,-0.043656
119,-3.804e-05,25.8947,-0.045475
120,-3.41e-05,25.9284,-0.045475
121,-3.376e-05,25.9492,-0.045475
122,-3.601e-05,25.9667,-0.043656
123,-3.787e-05,25.9841,-0.041837
124,-3.852e-05,26.0016,-0.040018
125,-3.808e-05,26.0193,-0.038199
126,-3.736e-05,26.0365,-0.038199
127,-3.779e-05,26.0605,-0.038199
128,-3.839e-05,26.0892,-0.040018
129,-3.809e-05,26.1111,-0.040018
130,-3.815e-05,26.1306,-0.040018
131,-3.849e-05,26.159,-0.038199
132,-3.731e-05,26.1919,-0.038199
133,-3.459e-05,26.2195,-0.038199
134,-3.206e-05,26.2443,-0.041837
135,-3.053e-05,26.2658,-0.045475
136,-2.953e-05,26.2798,-0.049113
137,-2.932e-05,26.2899,-0.052751
138,-2.999e-05,26.3008,-0.05457
139,-3.087e-05,26.3146,-0.056389
140,-3.291e-05,26.33,-0.056389
141,-3.529e-05,26.3436,-0.05457
142,-3.592e-05,26.3565,-0.052751
143,-3.663e-05,26.3693,-0.050932
144,-3.953e-05,26.3798,-0.049113
145,-4.328e-05,26.3918,-0.047294
146,-4.536e-05,26.4115,-0.045475
147,-4.535e-05,26.4365,-0.047294
148,-4.405e-05,26.4602,-0.049113
149,-4.184e-05,26.486,-0.047294
150,-3.987e-05,26.52,-0.045475
151,-3.869e-05,26.555,-0.043656
152,-3.698e-05,26.5825,-0.040018
153,-3.381e-05,26.6039,-0.038199
154,-3.116e-05,26.6231,-0.038199
155,-3.188e-05,26.6424,-0.040018
156,-3.389e-05,26.6584,-0.041837
157,-3.463e-05,26.6657,-0.043656
158,-3.532e-05,26.6672,-0.045475
159,-3.618e-05,26.6678,-0.045475
160,-3.757e-05,26.6701,-0.043656
161,-4.008e-05,26.673,-0.043656
162,-4.296e-05,26.6689,-0.043656
163,-4.532e-05,26.6597,-0.043656
164,-4.536e-05,26.6493,-0.043656
165,-4.314e-05,26.6355,-0.041837
166,-4.077e-05,26.6178,-0.040018
167,-3.946e-05,26.6009,-0.038199
168,-3.956e-05,26.5916,-0.03638
169,-3.99e-05,26.5879,-0.034561
170,-3.874e-05,26.5832,-0.034561
171,-3.696e-05,26.5742,-0.032742
172,-3.604e-05,26.5645,-0.032742
173,-3.554e-05,26.5582,-0.032742
174,-3.575e-05,26.5526,-0.034561
175,-3.751e-05,26.546,-0.034561
176,-4.024e-05,26.5422,-0.034561
177,-4.254e-05,26.5427,-0.03638
178,-4.31e-05,26.5454,-0.040018
179,-4.176e-05,26.551,-0.043656
180,-4.021e-05,26.5617,-0.047294
181,-3.977e-05,26.5732,-0.047294
182,-3.934e-05,26.5786,-0.045475
183,-3.732e-05,26.5756,-0.045475
184,-3.402e-05,26.5688,-0.045475
185,-3.087e-05,26.5701,-0.045475
186,-2.919e-05,26.5777,-0.045475
187,-2.928e-05,26.5784,-0.047294
188,-3.008e-05,26.573,-0.045475
189,-3.109e-05,26.5698,-0.045475
190,-3.314e-05,26.5683,-0.043656
191,-3.636e-05,26.5632,-0.043656
192,-3.901e-05,26.5551,-0.041837
193,-4.047e-05,26.5512,-0.041837
194,-4.198e-05,26.5523,-0.043656
195,-4.328e-05,26.549,-0.045475
196,-4.387e-05,26.5373,-0.047294
197,-4.495e-05,26.5164,-0.049113
198,-4.598e-05,26.4896,-0.049113
199,-4.567e-05,26.462,-0.050932
200,-4.425e-05,26.4295,-0.049113
201,-4.267e-05,26.3886,-0.047294
202,-4.353e-05,26.3387,-0.043656
203,-4.705e-05,26.2714,-0.041837
204,-5.074e-05,26.1778,-0.041837
205,-5.362e-05,26.0627,-0.041837
206,-5.47e-05,25.9419,-0.043656
207,-5.272e-05,25.8269,-0.045475
208,-4.847e-05,25.718,-0.045475
209,-4.461e-05,25.612,-0.045475
210,-4.302e-05,25.5093,-0.043656
211,-4.328e-05,25.4071,-0.043656
212,-4.339e-05,25.2968,-0.041837
213,-4.236e-05,25.1742,-0.041837
214,-4.069e-05,25.0442,-0.040018
215,-3.791e-05,24.916,-0.038199
216,-3.501e-05,24.7963,-0.038199
217,-3.46e-05,24.6872,-0.03638
218,-3.688e-05,24.5902,-0.034561
219,-4.021e-05,24.5065,-0.03638
220,-4.221e-05,24.4323,-0.038199
221,-4.171e-05,24.3662,-0.038199
222,-3.995e-05,24.3174,-0.040018
223,-3.778e-05,24.29,-0.040018
224,-3.682e-05,24.2759,-0.040018
225,-3.961e-05,24.2686,-0.041837
226,-4.395e-05,24.2659,-0.041837
227,-4.552e-05,24.2707,-0.040018
228,-4.508e-05,24.2852,-0.038199
229,-4.485e-05,24.3069,-0.03638
230,-4.537e-05,24.3309,-0.03638
231,-4.69e-05,24.3498,-0.03638
232,-4.922e-05,24.3629,-0.038199
233,-5.115e-05,24.3709,-0.040018
234,-5.13e-05,24.3728,-0.041837
235,-5.05e-05,24.3735,-0.043656
236,-4.954e-05,24.3758,-0.045475
237,-4.747e-05,24.3809,-0.047294
238,-4.453e-05,24.3865,-0.047294
239,-4.194e-05,24.3892,-0.047294
240,-4.019e-05,24.3922,-0.047294
241,-3.951e-05,24.3971,-0.045475
242,-3.994e-05,24.3975,-0.045475
243,-4.063e-05,24.3888,-0.043656
244,-4.123e-05,24.3813,-0.041837
245,-4.218e-05,24.387,-0.041837
246,-4.353e-05,24.4032,-0.043656
247,-4.488e-05,24.4198,-0.045475
248,-4.508e-05,24.434,-0.047294
249,-4.381e-05,24.4492,-0.050932
250,-4.129e-05,24.4646,-0.05457
251,-3.762e-05,24.4777,-0.056389
252,-3.451e-05,24.4875,-0.05457
253,-3.39e-05,24.5006,-0.052751
