,Rotation,Base moment [kN.m],Axial_Disp. [mm]
0,0.00018291,29.4552,0.007276
1,0.000155,28.7201,0.007276
2,0.00011216,27.6221,0.005457
3,6.83e-05,26.5168,0.003638
4,3.211e-05,25.5851,0.001819
5,6.33e-06,24.8965,0.0
6,-9.96e-06,24.4513,-0.001819
7,-1.848e-05,24.2118,-0.003638
8,-2.151e-05,24.1223,-0.003638
9,-2.132e-05,24.1247,-0.001819
10,-1.957e-05,24.1785,0.0
11,-1.767e-05,24.2523,0.0
12,-1.605e-05,24.317,0.001819
13,-1.395e-05,24.3619,0.001819
14,-1.128e-05,24.3916,0.001819
15,-8.62e-06,24.4155,0.001819
16,-6.32e-06,24.4349,0.001819
17,-5.14e-06,24.4509,0.001819
18,-4.65e-06,24.474,0.001819
19,-4.19e-06,24.504,0.003638
20,-4.66e-06,24.5325,0.003638
21,-5.6e-06,24.5603,0.005457
22,-6.08e-06,24.5921,0.005457
23,-6.71e-06,24.6255,0.003638
24,-8.32e-06,24.6586,0.0
25,-1.095e-05,24.6929,-0.001819
26,-1.321e-05,24.7244,-0.005457
27,-1.437e-05,24.7495,-0.005457
28,-1.514e-05,24.7694,-0.007276
29,-1.58e-05,24.7902,-0.007276
30,-1.622e-05,24.8126,-0.009095
31,-1.599e-05,24.8322,-0.007276
32,-1.563e-05,24.847,-0.003638
33,-1.657e-05,24.8546,-0.001819
34,-1.785e-05,24.8595,-0.001819
35,-1.74e-05,24.8693,-0.001819
36,-1.543e-05,24.8776,0.0
37,-1.376e-05,24.8792,0.001819
38,-1.333e-05,24.8792,0.003638
39,-1.34e-05,24.8808,0.003638
40,-1.309e-05,24.8829,0.003638
41,-1.305e-05,24.8848,0.003638
42,-1.327e-05,24.8909,0.003638
43,-1.288e-05,24.9075,0.001819
44,-1.215e-05,24.9291,0.0
45,-1.181e-05,24.9428,-0.001819
46,-1.213e-05,24.9433,-0.003638
47,-1.247e-05,24.9346,-0.005457
48,-1.159e-05,24.9272,-0.003638
49,-9.27e-06,24.9264,-0.001819
50,-7.74e-06,24.9267,0.0
51,-8.75e-06,24.9276,0.0
52,-1.044e-05,24.9264,0.001819
53,-1.079e-05,24.9176,0.001819
54,-1.045e-05,24.9018,0.001819
55,-9.82e-06,24.8802,0.0
56,-8.26e-06,24.8548,-0.003638
57,-6.55e-06,24.8248,-0.003638
58,-6.05e-06,24.7905,-0.003638
59,-6.91e-06,24.7595,-0.003638
60,-8.98e-06,24.7399,-0.005457
61,-1.111e-05,24.7295,-0.007276
62,-1.135e-05,24.7303,-0.007276
63,-1.012e-05,24.7484,-0.005457
64,-9.21e-06,24.7793,-0.003638
65,-9.09e-06,24.8274,0.0
66,-9.47e-06,24.8993,0.001819
67,-1.038e-05,24.9854,0.003638
68,-1.213e-05,25.0692,0.003638
69,-1.495e-05,25.1334,0.005457
70,-1.748e-05,25.1723,0.007276
71,-1.856e-05,25.1896,0.007276
72,-1.897e-05,25.1882,0.005457
73,-1.886e-05,25.1776,0.003638
74,-1.797e-05,25.1662,0.001819
75,-1.712e-05,25.1585,0.001819
76,-1.73e-05,25.1608,0.0
77,-1.817e-05,25.1702,0.0
78,-1.849e-05,25.1773,0.001819
79,-1.727e-05,25.1818,0.003638
80,-1.547e-05,25.1912,0.001819
81,-1.443e-05,25.2085,0.0
82,-1.424e-05,25.2294,-0.001819
83,-1.429e-05,25.2509,-0.001819
84,-1.345e-05,25.2714,-0.001819
85,-1.281e-05,25.2857,-0.001819
86,-1.345e-05,25.2945,-0.001819
87,-1.365e-05,25.3035,0.0
88,-1.275e-05,25.3136,0.001819
89,-1.215e-05,25.3202,0.003638
90,-1.244e-05,25.3217,0.003638
91,-1.294e-05,25.3248,0.003638
92,-1.283e-05,25.3373,0.001819
93,-1.176e-05,25.3573,0.0
94,-1.084e-05,25.3779,0.0
95,-1.091e-05,25.4,0.001819
96,-1.163e-05,25.4305,0.001819
97,-1.291e-05,25.4695,0.0
98,-1.456e-05,25.5088,-0.001819
99,-1.569e-05,25.5487,-0.001819
100,-1.568e-05,25.5939,0.0
101,-1.529e-05,25.6388,0.0
102,-1.571e-05,25.6808,-0.003638
103,-1.646e-05,25.7214,-0.005457
104,-1.634e-05,25.757,-0.005457
105,-1.535e-05,25.7887,-0.003638
106,-1.413e-05,25.8199,-0.005457
107,-1.308e-05,25.8459,-0.005457
108,-1.211e-05,25.8647,-0.001819
109,-1.099e-05,25.886,0.001819
110,-1.017e-05,25.9164,0.003638
111,-1.038e-05,25.9557,0.003638
112,-1.22e-05,25.9977,0.001819
113,-1.487e-05,26.0317,-0.001819
114,-1.645e-05,26.0537,-0.003638
115,-1.71e-05,26.0659,-0.003638
116,-1.811e-05,26.0711,-0.003638
117,-1.933e-05,26.0717,-0.001819
118,-1.963e-05,26.0676,-0.001819
119,-1.884e-05,26.0574,-0.001819
120,-1.845e-05,26.0433,-0.001819
121,-1.875e-05,26.0295,-0.001819
122,-1.833e-05,26.0158,-0.001819
123,-1.69e-05,25.9998,-0.001819
124,-1.586e-05,25.9852,-0.001819
125,-1.577e-05,25.9761,-0.001819
126,-1.571e-05,25.9689,-0.003638
127,-1.466e-05,25.9616,-0.003638
128,-1.321e-05,25.9533,-0.003638
129,-1.274e-05,25.9389,-0.001819
130,-1.27e-05,25.9191,-0.001819
131,-1.219e-05,25.8998,-0.003638
132,-1.183e-05,25.8817,-0.007276
133,-1.233e-05,25.8648,-0.009095
134,-1.312e-05,25.849,-0.009095
135,-1.329e-05,25.8342,-0.007276
136,-1.319e-05,25.8245,-0.005457
137,-1.308e-05,25.8212,-0.003638
138,-1.279e-05,25.822,-0.003638
139,-1.245e-05,25.8246,-0.003638
140,-1.178e-05,25.8257,-0.001819
141,-1.126e-05,25.8256,0.0
142,-1.208e-05,25.8293,0.003638
143,-1.365e-05,25.8344,0.005457
144,-1.471e-05,25.8394,0.005457
145,-1.488e-05,25.8481,0.005457
146,-1.419e-05,25.8597,0.005457
147,-1.389e-05,25.8684,0.007276
148,-1.415e-05,25.8674,0.007276
149,-1.373e-05,25.8571,0.005457
150,-1.384e-05,25.8458,0.003638
151,-1.542e-05,25.8358,0.003638
152,-1.688e-05,25.8257,0.003638
153,-1.725e-05,25.8151,0.001819
154,-1.733e-05,25.7991,0.0
155,-1.812e-05,25.7851,-0.001819
156,-1.909e-05,25.7859,-0.003638
157,-1.898e-05,25.792,-0.007276
158,-1.808e-05,25.7906,-0.007276
159,-1.742e-05,25.7855,-0.007276
160,-1.693e-05,25.7817,-0.005457
