,Rotation,Base moment [kN.m],Axial_Disp. [mm]
0,-6.06e-06,24.3909,0.016371
1,-5.69e-06,24.524,-0.012733
2,-4.78e-06,24.7294,-0.009095
3,-3.81e-06,24.9473,-0.005457
4,-2.77e-06,25.1402,-0.001819
5,-9.1e-07,25.2863,0.003638
6,1.76e-06,25.382,0.007276
7,3.17e-06,25.4336,0.009095
8,2.22e-06,25.447,0.009095
9,9.1e-07,25.434,0.009095
10,1.6e-07,25.4119,0.007276
11,-1.09e-06,25.3886,0.005457
12,-2.45e-06,25.364,0.003638
13,-2.08e-06,25.343,0.001819
14,1e-08,25.3318,0.0
15,1.76e-06,25.3298,0.0
16,2.37e-06,25.3327,0.0
17,2.96e-06,25.3356,-0.001819
18,3.85e-06,25.3335,-0.001819
19,4.29e-06,25.3268,-0.003638
20,3.67e-06,25.3211,-0.003638
21,1.84e-06,25.3191,-0.003638
22,-2e-08,25.3145,-0.003638
23,-1.02e-06,25.3004,-0.001819
24,-1.8e-06,25.2721,0.0
25,-3.18e-06,25.2321,0.003638
26,-4.33e-06,25.1903,0.005457
27,-4.13e-06,25.1431,0.005457
28,-2.81e-06,25.0802,0.003638
29,-1.42e-06,25.0083,0.003638
30,-8.4e-07,24.9342,0.003638
31,-5e-08,24.8599,0.003638
32,1.26e-06,24.7838,0.003638
33,1.47e-06,24.7011,0.003638
34,1.55e-06,24.6147,0.003638
35,2.96e-06,24.5362,0.001819
36,4.06e-06,24.4793,0.001819
37,4.21e-06,24.4496,0.001819
38,4.25e-06,24.4437,0.001819
39,4.7e-06,24.4511,0.001819
40,5.33e-06,24.4618,0.001819
41,4.53e-06,24.4746,0.0
42,2.29e-06,24.4885,-0.001819
43,3.6e-07,24.5076,-0.005457
44,-9.5e-07,24.5353,-0.009095
45,-2.22e-06,24.5559,-0.009095
46,-3.03e-06,24.5627,-0.007276
47,-3.24e-06,24.5706,-0.003638
48,-3.63e-06,24.5868,-0.001819
49,-3.64e-06,24.6092,0.0
50,-3.16e-06,24.6287,0.0
51,-3.04e-06,24.6389,-0.001819
52,-2.88e-06,24.6451,-0.003638
53,-2e-06,24.646,-0.005457
54,-9e-07,24.637,-0.005457
55,4e-08,24.6245,-0.005457
56,8.6e-07,24.6145,-0.005457
57,8.2e-07,24.6053,-0.005457
58,1.3e-07,24.5933,-0.005457
59,-6.1e-07,24.5818,-0.003638
60,-1.36e-06,24.5794,-0.003638
61,-2.7e-07,24.5844,-0.003638
62,2.26e-06,24.5857,-0.001819
63,3.41e-06,24.58,0.0
64,2.99e-06,24.5762,0.0
65,2.19e-06,24.5809,0.001819
66,9.1e-07,24.5916,0.001819
67,-9.8e-07,24.6037,0.001819
68,-2.38e-06,24.619,0.001819
69,-3.24e-06,24.6381,0.001819
70,-3.84e-06,24.6514,0.001819
71,-3.84e-06,24.6549,0.0
72,-3.88e-06,24.6528,-0.003638
73,-4.09e-06,24.6458,-0.005457
74,-3.95e-06,24.6374,-0.005457
75,-2.83e-06,24.6366,-0.005457
76,-9.4e-07,24.6422,-0.005457
77,-9.4e-07,24.6477,-0.005457
78,-3.17e-06,24.6499,-0.005457
79,-5.05e-06,24.6477,-0.003638
80,-6.81e-06,24.6505,-0.003638
81,-8.91e-06,24.6647,-0.001819
82,-9.76e-06,24.6848,-0.001819
83,-8.85e-06,24.7092,-0.001819
84,-7.54e-06,24.7386,0.0
85,-6.78e-06,24.7725,0.0
86,-6.57e-06,24.81,0.0
87,-6.85e-06,24.8433,0.0
88,-6.63e-06,24.8711,0.0
89,-5.94e-06,24.9007,0.001819
90,-5.65e-06,24.9379,0.0
91,-5.44e-06,24.982,0.0
92,-5.17e-06,25.0225,-0.001819
93,-5.46e-06,25.0566,-0.001819
94,-6.56e-06,25.0933,-0.001819
95,-7.85e-06,25.1344,-0.001819
96,-9.23e-06,25.1732,0.0
97,-1.052e-05,25.2113,0.0
98,-1.052e-05,25.2545,0.0
99,-8.82e-06,25.2978,-0.001819
100,-6.6e-06,25.3363,-0.001819
101,-4.32e-06,25.3684,-0.001819
102,-1.64e-06,25.3988,-0.001819
103,4.5e-07,25.4346,-0.001819
104,1.35e-06,25.4696,-0.001819
105,1.8e-06,25.4985,-0.001819
106,1.33e-06,25.5216,0.0
107,-7.7e-07,25.5356,0.003638
108,-3.17e-06,25.5381,0.003638
109,-4.24e-06,25.5296,0.0
110,-4.26e-06,25.5169,-0.005457
111,-4.09e-06,25.5089,-0.007276
112,-3.4e-06,25.5023,-0.009095
113,-1.47e-06,25.4929,-0.007276
114,1.3e-07,25.4883,-0.007276
115,-5.7e-07,25.4914,-0.003638
116,-1.96e-06,25.4979,-0.003638
117,-2.4e-06,25.5007,-0.003638
118,-2.59e-06,25.4941,-0.005457
119,-2.65e-06,25.4813,-0.005457
120,-3.16e-06,25.4653,-0.001819
121,-5.13e-06,25.4456,0.001819
122,-6.57e-06,25.4272,0.001819
123,-5.79e-06,25.4125,0.001819
124,-4.54e-06,25.3978,0.0
125,-4.44e-06,25.3853,-0.001819
126,-5.07e-06,25.3782,-0.001819
127,-4.84e-06,25.3729,-0.003638
128,-3.1e-06,25.3627,-0.003638
129,-6.1e-07,25.3472,-0.005457
130,1.12e-06,25.3315,-0.005457
131,2.2e-06,25.3182,-0.005457
132,2.87e-06,25.3058,-0.003638
133,1.27e-06,25.2933,-0.003638
134,-1.16e-06,25.2831,-0.003638
135,-1.67e-06,25.276,-0.005457
136,-1.32e-06,25.274,-0.007276
137,-9.9e-07,25.2797,-0.009095
138,-1.9e-07,25.2906,-0.009095
139,9.2e-07,25.3001,-0.009095
140,2.14e-06,25.3051,-0.007276
141,3.3e-06,25.3069,-0.005457
142,3.92e-06,25.3089,-0.003638
143,3.75e-06,25.3106,-0.003638
144,2.29e-06,25.3072,-0.001819
145,9.3e-07,25.3019,0.001819
146,5.5e-07,25.3012,0.003638
147,-3e-08,25.305,0.003638
148,6.9e-07,25.3085,0.003638
149,2.61e-06,25.3091,0.001819
150,2.84e-06,25.3078,0.0
151,1.23e-06,25.2986,0.0
152,-5.9e-07,25.2778,0.001819
153,-1.35e-06,25.2567,0.001819
154,-8.5e-07,25.2415,0.0
155,-7.2e-07,25.2295,-0.001819
156,-2.44e-06,25.2209,-0.001819
157,-4.92e-06,25.2131,-0.001819
158,-6.16e-06,25.2002,0.0
159,-6e-06,25.1818,0.001819
160,-5.53e-06,25.166,0.005457
161,-4.9e-06,25.1587,0.009095
162,-3.59e-06,25.1642,0.010914
163,-2.21e-06,25.1783,0.014552
164,-2.49e-06,25.192,0.016371
165,-4.62e-06,25.2051,0.020009
166,-6.78e-06,25.2179,0.021828
167,-8.17e-06,25.2282,0.025466
168,-9.17e-06,25.2329,0.027285
169,-8.69e-06,25.2322,0.029104
170,-5.85e-06,25.2319,0.030923
171,-2.15e-06,25.2365,0.030923
172,8.1e-07,25.2454,0.030923
173,2.02e-06,25.2547,0.030923
174,1.33e-06,25.2576,0.030923
175,-1.2e-07,25.2454,0.030923
176,-1.74e-06,25.2229,0.029104
177,-3.11e-06,25.2011,0.029104
178,-2.94e-06,25.1767,0.029104
179,-2.02e-06,25.1435,0.029104
180,-2.7e-06,25.1014,0.029104
181,-4.47e-06,25.05,0.030923
182,-5.14e-06,24.9912,0.030923
183,-5.26e-06,24.9294,0.032742
184,-6.43e-06,24.8665,0.032742
185,-8.17e-06,24.8044,0.034561
186,-9.47e-06,24.7416,0.034561
187,-1.065e-05,24.6767,0.032742
188,-1.182e-05,24.6171,0.032742
189,-1.179e-05,24.5732,0.030923
190,-1.101e-05,24.5492,0.030923
