,Rotation,Base moment [kN.m],Axial_Disp. [mm]
0,-6.81e-06,-27.3455,-0.001819
1,-6.84e-06,-27.0094,-0.001819
2,-5.91e-06,-26.509,-0.003638
3,-4.13e-06,-26.0069,-0.003638
4,-1.88e-06,-25.5889,-0.003638
5,7.9e-07,-25.2876,-0.003638
6,3.05e-06,-25.0984,-0.003638
7,3.67e-06,-24.9912,-0.003638
8,2.62e-06,-24.9347,-0.003638
9,7.9e-07,-24.9136,-0.005457
10,-4.4e-07,-24.9164,-0.005457
11,-1.3e-07,-24.9287,-0.005457
12,8.7e-07,-24.9392,-0.003638
13,1.21e-06,-24.947,-0.003638
14,8.8e-07,-24.9546,-0.003638
15,7.3e-07,-24.9562,-0.001819
16,1.71e-06,-24.9475,-0.001819
17,3.93e-06,-24.9325,0.0
18,5.41e-06,-24.9192,0.001819
19,5.25e-06,-24.9136,0.001819
20,4.47e-06,-24.9152,0.003638
21,3.14e-06,-24.9202,0.003638
22,1.32e-06,-24.9261,0.005457
23,-9e-08,-24.9292,0.007276
24,-5.8e-07,-24.9257,0.007276
25,-1.5e-07,-24.9194,0.005457
26,5.6e-07,-24.9151,0.003638
27,3.9e-07,-24.908,0.0
28,-9.8e-07,-24.8914,0.0
29,-2.6e-06,-24.8612,-0.001819
30,-3.18e-06,-24.8197,-0.001819
31,-2.24e-06,-24.7722,0.0
32,-9.8e-07,-24.7157,0.0
33,-1.04e-06,-24.6478,0.0
34,-2.02e-06,-24.5762,0.001819
35,-2.41e-06,-24.5144,0.001819
36,-2.24e-06,-24.4655,0.001819
37,-2.02e-06,-24.4245,0.001819
38,-1.36e-06,-24.3943,0.001819
39,-6.6e-07,-24.3817,0.001819
40,-4.8e-07,-24.3893,0.001819
41,-3.1e-07,-24.4153,0.001819
42,-3e-07,-24.4557,0.003638
43,-7.9e-07,-24.5059,0.003638
44,-7.6e-07,-24.5666,0.001819
45,4.7e-07,-24.6365,0.0
46,2.28e-06,-24.7088,-0.001819
47,3.26e-06,-24.7749,-0.001819
48,2.78e-06,-24.8248,0.0
49,1.76e-06,-24.8581,0.001819
50,1.1e-06,-24.8773,0.001819
51,1.26e-06,-24.8838,0.0
52,1.37e-06,-24.8827,-0.001819
53,6.5e-07,-24.8756,0.0
54,6.9e-07,-24.8619,0.0
55,1.96e-06,-24.8447,0.0
56,2.95e-06,-24.831,0.001819
57,2.44e-06,-24.8237,0.003638
58,5.4e-07,-24.8209,0.005457
59,-8.7e-07,-24.8162,0.003638
60,-1.53e-06,-24.8044,0.001819
61,-2.38e-06,-24.7886,0.001819
62,-3.08e-06,-24.7736,0.0
63,-3.34e-06,-24.7613,0.0
64,-3.37e-06,-24.7502,-0.001819
65,-3.68e-06,-24.737,-0.001819
66,-4.07e-06,-24.7225,-0.001819
67,-3.94e-06,-24.7074,-0.001819
68,-3.5e-06,-24.6898,-0.001819
69,-3.29e-06,-24.6693,-0.001819
70,-3.13e-06,-24.6438,-0.001819
71,-1.9e-06,-24.6152,-0.001819
72,3.6e-07,-24.5874,-0.003638
73,2.35e-06,-24.5624,-0.003638
74,3.72e-06,-24.5451,-0.003638
75,4.53e-06,-24.5325,-0.001819
76,4.64e-06,-24.5128,0.001819
77,4.28e-06,-24.4838,0.005457
78,3.34e-06,-24.4591,0.009095
