,Rotation,Base moment [kN.m],Axial_Disp. [mm]
0,7.5e-07,29.6638,-0.010914
1,8e-07,29.2814,-0.010914
2,6.5e-07,28.6459,-0.009095
3,5.1e-07,27.9003,-0.007276
4,8.9e-07,27.1462,-0.005457
5,1.45e-06,26.4495,-0.003638
6,1.76e-06,25.8467,-0.001819
7,1.84e-06,25.3524,-0.001819
8,1.52e-06,24.9676,-0.001819
9,9.5e-07,24.6826,0.0
10,4.7e-07,24.4835,0.0
11,4.1e-07,24.3554,0.0
12,8e-07,24.2833,0.0
13,1.16e-06,24.2527,0.001819
14,1.17e-06,24.2502,0.001819
15,9.8e-07,24.266,0.001819
16,7.5e-07,24.2955,0.0
17,4.8e-07,24.3337,0.0
18,1.6e-07,24.3755,0.0
19,-4.2e-07,24.4162,0.001819
20,-1.25e-06,24.4485,0.001819
21,-1.83e-06,24.4717,0.001819
22,-1.96e-06,24.4916,0.001819
23,-1.77e-06,24.5078,0.001819
24,-1.21e-06,24.5149,0.0
25,-5.4e-07,24.5143,0.0
26,1.7e-07,24.5134,0.0
27,7.9e-07,24.5135,0.0
28,9.2e-07,24.5141,0.0
29,8.3e-07,24.515,0.0
30,7.5e-07,24.5128,0.0
31,9e-08,24.5063,0.0
32,-1.26e-06,24.4977,0.0
33,-2.38e-06,24.4895,0.001819
34,-2.78e-06,24.4868,0.003638
35,-2.8e-06,24.4901,0.003638
36,-2.47e-06,24.4936,0.005457
37,-1.66e-06,24.4947,0.003638
38,-7.4e-07,24.4943,0.005457
39,-2.4e-07,24.4916,0.005457
40,-1.9e-07,24.4867,0.005457
41,-1.9e-07,24.4818,0.005457
42,-6e-08,24.4785,0.003638
43,4.7e-07,24.4764,0.001819
44,1.23e-06,24.4753,0.001819
45,1.6e-06,24.4739,0.0
46,1.42e-06,24.4734,0.0
47,5.9e-07,24.4769,-0.001819
48,-6.8e-07,24.4816,-0.001819
49,-1.92e-06,24.4843,-0.001819
50,-2.91e-06,24.4835,-0.001819
51,-3.38e-06,24.4781,-0.001819
52,-3.41e-06,24.4736,-0.003638
53,-3.28e-06,24.4745,-0.003638
54,-2.91e-06,24.4778,-0.003638
55,-2.46e-06,24.4789,-0.005457
56,-2.08e-06,24.4786,-0.005457
57,-1.69e-06,24.4795,-0.005457
58,-1.28e-06,24.4823,-0.005457
59,-7.7e-07,24.4839,-0.005457
60,-2e-07,24.4802,-0.005457
61,1.2e-07,24.4721,-0.003638
62,4e-08,24.4663,-0.001819
63,8e-08,24.4659,-0.001819
64,7.4e-07,24.4679,-0.003638
65,1.58e-06,24.4713,-0.003638
66,2.33e-06,24.4753,-0.001819
67,2.74e-06,24.4771,0.0
68,2.39e-06,24.4785,0.0
69,1.8e-06,24.4829,0.001819
70,1.42e-06,24.4877,0.001819
71,1.37e-06,24.489,0.001819
72,1.6e-06,24.4869,0.001819
73,1.85e-06,24.4804,0.001819
74,2.29e-06,24.4694,0.001819
75,2.77e-06,24.4599,0.001819
76,3.17e-06,24.4564,0.001819
77,3.55e-06,24.4572,0.003638
78,3.84e-06,24.4597,0.003638
79,4.24e-06,24.464,0.005457
80,4.65e-06,24.4693,0.005457
81,4.9e-06,24.4712,0.005457
82,5.13e-06,24.4676,0.005457
83,5.3e-06,24.4584,0.005457
84,5.14e-06,24.4442,0.003638
85,4.35e-06,24.4256,0.003638
86,2.9e-06,24.4046,0.003638
87,1.04e-06,24.3825,0.001819
88,-7.1e-07,24.3582,0.001819
89,-1.78e-06,24.3312,0.0
90,-2.29e-06,24.3046,0.0
91,-2.79e-06,24.2825,-0.001819
92,-3.5e-06,24.265,-0.001819
