,Rotation,Base moment [kN.m],Axial_Disp. [mm]
0,1.415e-05,25.943,-0.005457
1,1.132e-05,25.796,-0.003638
2,7.07e-06,25.5738,-0.001819
3,3.42e-06,25.3516,0.0
4,1.15e-06,25.1634,-0.001819
5,2.2e-07,25.017,-0.005457
6,7e-07,24.921,-0.007276
7,1.52e-06,24.8737,-0.007276
8,1.39e-06,24.8523,-0.007276
9,7.5e-07,24.8431,-0.005457
10,5.1e-07,24.8462,-0.001819
11,4.8e-07,24.8553,0.0
12,1.3e-07,24.8613,0.0
13,-8e-07,24.867,0.0
14,-2.13e-06,24.8785,0.001819
15,-3.44e-06,24.8866,0.003638
16,-4.53e-06,24.8891,0.003638
17,-5.1e-06,24.9,0.003638
18,-5.07e-06,24.918,0.003638
19,-4.14e-06,24.9344,0.001819
20,-2.34e-06,24.9426,0.0
21,-6.9e-07,24.9361,0.0
22,2.4e-07,24.9253,-0.001819
23,4.9e-07,24.9235,-0.001819
24,-1.3e-07,24.9242,-0.001819
25,-1.63e-06,24.9215,0.0
26,-2.82e-06,24.9196,0.001819
27,-2.59e-06,24.9162,0.001819
28,-1.83e-06,24.9057,0.001819
29,-1.67e-06,24.8955,0.0
30,-2.19e-06,24.8918,0.0
31,-3.05e-06,24.8898,0.0
32,-3.85e-06,24.8868,0.0
33,-4.27e-06,24.8882,0.0
34,-4.41e-06,24.8939,-0.001819
35,-4.25e-06,24.8941,-0.001819
36,-3.4e-06,24.8914,0.0
37,-1.8e-06,24.8877,0.001819
38,-5.5e-07,24.8774,0.005457
39,-3e-07,24.8678,0.005457
40,-2.5e-07,24.8622,0.003638
41,2.9e-07,24.8573,0.003638
42,1.58e-06,24.8582,0.003638
43,3.27e-06,24.8665,0.003638
44,4.75e-06,24.8749,0.003638
45,5.36e-06,24.8799,0.003638
46,4.77e-06,24.8821,0.001819
47,3.51e-06,24.8825,0.001819
48,1.44e-06,24.884,0.001819
49,-1.3e-06,24.8858,0.0
