,Rotation,Base moment [kN.m],Axial_Disp. [mm]
157,-5.96e-06,23.2016,-0.016371
158,-7.05e-06,23.1923,-0.020009
159,-7.91e-06,23.1863,-0.023647
160,-7.52e-06,23.1829,-0.025466
161,-6.52e-06,23.1771,-0.027285
162,-7.07e-06,23.1685,-0.029104
163,-8.95e-06,23.1642,-0.032742
164,-9.27e-06,23.1609,-0.038199
165,-8e-06,23.152,-0.041837
166,-6.64e-06,23.1368,-0.043656
167,-5.19e-06,23.1185,-0.043656
168,-3.95e-06,23.1062,-0.043656
169,-3.29e-06,23.1034,-0.043656
170,-2.97e-06,23.101,-0.043656
171,-3.36e-06,23.0928,-0.045475
172,-4.46e-06,23.0829,-0.047294
173,-5.14e-06,23.0737,-0.050932
174,-4.54e-06,23.0619,-0.050932
175,-3.18e-06,23.051,-0.050932
176,-2.34e-06,23.0423,-0.050932
177,-2.22e-06,23.0332,-0.050932
178,-2.03e-06,23.0253,-0.052751
179,-1.45e-06,23.0196,-0.052751
180,-3.7e-07,23.0163,-0.05457
181,1.53e-06,23.0129,-0.05457
182,4.03e-06,23.0122,-0.056389
183,5.48e-06,23.0178,-0.058208
184,5.09e-06,23.0207,-0.056389
185,3.84e-06,23.0165,-0.05457
186,2.34e-06,23.0096,-0.05457
187,3e-08,23.0002,-0.05457
188,-3.09e-06,22.9884,-0.056389
189,-5.34e-06,22.9748,-0.056389
190,-5.9e-06,22.9582,-0.056389
191,-5.26e-06,22.9457,-0.056389
192,-4.28e-06,22.9421,-0.056389
193,-3.43e-06,22.9433,-0.056389
194,-1.88e-06,22.9492,-0.058208
195,1.1e-07,22.9592,-0.060027
196,1.39e-06,22.9675,-0.061846
197,2.26e-06,22.9763,-0.061846
198,2.99e-06,22.9906,-0.061846
199,3.09e-06,23.0046,-0.060027
200,2.64e-06,23.0183,-0.058208
201,2.16e-06,23.0343,-0.058208
202,1.43e-06,23.0444,-0.058208
203,2.4e-07,23.0447,-0.058208
204,-3.7e-07,23.0398,-0.061846
205,3.1e-07,23.0381,-0.063665
206,1.68e-06,23.0476,-0.065484
207,3.31e-06,23.0594,-0.067303
208,4.72e-06,23.0617,-0.069122
209,4.36e-06,23.0602,-0.067303
210,2.11e-06,23.0628,-0.065484
211,-2.9e-07,23.0676,-0.063665
212,-1.91e-06,23.0684,-0.063665
213,-1.94e-06,23.0647,-0.065484
214,-9.3e-07,23.0617,-0.067303
215,-1.08e-06,23.061,-0.069122
216,-2.09e-06,23.0611,-0.070941
217,-3.25e-06,23.0645,-0.070941
218,-4.76e-06,23.0693,-0.070941
219,-5.52e-06,23.0739,-0.070941
220,-5.65e-06,23.0823,-0.069122
221,-5.69e-06,23.0891,-0.069122
222,-4.88e-06,23.0871,-0.067303
223,-3.15e-06,23.0809,-0.069122
224,-1.01e-06,23.0805,-0.069122
225,1.02e-06,23.0874,-0.070941
226,2.23e-06,23.0944,-0.070941
227,2.51e-06,23.1003,-0.07276
228,2.33e-06,23.107,-0.074579
229,2.07e-06,23.1134,-0.074579
230,2.42e-06,23.1237,-0.074579
231,3.05e-06,23.1358,-0.074579
232,3.24e-06,23.1447,-0.07276
233,3.43e-06,23.1518,-0.07276
234,3.17e-06,23.152,-0.070941
235,2.4e-06,23.1454,-0.070941
236,2.75e-06,23.1439,-0.070941
237,4.68e-06,23.1486,-0.070941
238,6.9e-06,23.1531,-0.074579
239,7.41e-06,23.1612,-0.076398
240,5.64e-06,23.1739,-0.080036
241,3.48e-06,23.184,-0.081855
242,1.98e-06,23.1839,-0.081855
243,7.2e-07,23.1716,-0.081855
244,-8e-08,23.155,-0.081855
245,-2.6e-07,23.1432,-0.081855
246,-3.4e-07,23.1406,-0.080036
247,-5.9e-07,23.1458,-0.080036
248,-5.9e-07,23.1539,-0.078217
249,1.9e-07,23.1624,-0.078217
250,1.46e-06,23.1679,-0.074579
251,1.74e-06,23.1702,-0.07276
252,5.2e-07,23.1748,-0.07276
253,-4.6e-07,23.1779,-0.074579
254,-4.5e-07,23.1803,-0.076398
255,-5e-07,23.1913,-0.078217
256,-9.9e-07,23.2041,-0.080036
257,-1.86e-06,23.2104,-0.081855
258,-2.79e-06,23.2104,-0.083674
259,-3.51e-06,23.2059,-0.085493
260,-3.99e-06,23.1979,-0.083674
261,-4.65e-06,23.1888,-0.083674
262,-5.81e-06,23.1889,-0.081855
263,-6.63e-06,23.2004,-0.081855
264,-6.82e-06,23.2164,-0.081855
265,-6.48e-06,23.2304,-0.083674
266,-5.73e-06,23.2345,-0.085493
267,-4.7e-06,23.2308,-0.087312
268,-3.7e-06,23.2283,-0.087312
269,-3.49e-06,23.2281,-0.087312
270,-3.37e-06,23.2309,-0.083674
271,-2.4e-06,23.2331,-0.083674
272,-9.2e-07,23.2283,-0.081855
273,-4e-08,23.2204,-0.081855
274,-1.9e-07,23.2138,-0.081855
275,-8.7e-07,23.2062,-0.083674
276,-1.78e-06,23.1979,-0.083674
277,-2.65e-06,23.1958,-0.085493
278,-2.62e-06,23.2017,-0.087312
279,-1.07e-06,23.2105,-0.087312
280,1.24e-06,23.2198,-0.087312
281,3.15e-06,23.2283,-0.087312
282,4.29e-06,23.2376,-0.089131
283,4.5e-06,23.2473,-0.09095
284,3.52e-06,23.2572,-0.09095
285,2.27e-06,23.2676,-0.089131
286,1.55e-06,23.2769,-0.089131
287,9.7e-07,23.289,-0.089131
288,4.3e-07,23.3051,-0.089131
289,-3.9e-07,23.318,-0.089131
290,-1.21e-06,23.3224,-0.09095
291,-1.17e-06,23.3198,-0.092769
292,-3.6e-07,23.3177,-0.094588
293,6e-08,23.3186,-0.098226
294,-5.4e-07,23.3178,-0.100045
295,-1e-06,23.3135,-0.100045
296,-6.2e-07,23.3119,-0.100045
297,2.6e-07,23.3138,-0.096407
298,1.45e-06,23.3106,-0.094588
299,2.83e-06,23.3035,-0.09095
300,3.86e-06,23.3031,-0.09095
301,4.2e-06,23.3154,-0.092769
302,3.62e-06,23.3366,-0.094588
303,2.13e-06,23.3562,-0.098226
304,9.6e-07,23.3674,-0.100045
305,5e-07,23.3681,-0.100045
306,-9e-08,23.3585,-0.100045
307,-9.1e-07,23.343,-0.100045
308,-1.29e-06,23.3288,-0.100045
309,-1.38e-06,23.3217,-0.100045
310,-1.76e-06,23.324,-0.098226
311,-1.78e-06,23.3303,-0.096407
312,-9.6e-07,23.3327,-0.094588
313,3.4e-07,23.3359,-0.096407
314,2.01e-06,23.3474,-0.096407
315,3.43e-06,23.36,-0.098226
316,3.57e-06,23.3684,-0.098226
317,2.83e-06,23.3768,-0.100045
318,2.32e-06,23.3811,-0.100045
319,2.55e-06,23.3784,-0.100045
320,3.52e-06,23.3726,-0.098226
321,4.91e-06,23.3663,-0.098226
322,6.26e-06,23.3637,-0.098226
323,6.67e-06,23.3634,-0.100045
