,Rotation,Base moment [kN.m],Axial_Disp. [mm]
155,-3.27e-06,24.115,-0.040018
156,-4.49e-06,24.1116,-0.043656
157,-5.08e-06,24.1125,-0.047294
158,-5.18e-06,24.1152,-0.050932
159,-3.71e-06,24.1163,-0.052751
160,-9.6e-07,24.1163,-0.052751
161,-4e-08,24.1149,-0.05457
162,-1.76e-06,24.1144,-0.05457
163,-4.14e-06,24.1166,-0.052751
164,-5.95e-06,24.1185,-0.050932
165,-7.08e-06,24.1134,-0.050932
166,-7.42e-06,24.1034,-0.052751
167,-6.88e-06,24.1065,-0.056389
168,-5.99e-06,24.1273,-0.056389
169,-5.15e-06,24.1467,-0.058208
170,-4.05e-06,24.1532,-0.058208
171,-2.97e-06,24.1475,-0.060027
172,-2.41e-06,24.1369,-0.058208
173,-1.34e-06,24.1305,-0.056389
174,-5.7e-07,24.1265,-0.058208
175,-1.22e-06,24.1212,-0.058208
176,-2.17e-06,24.116,-0.060027
177,-3e-06,24.1096,-0.061846
178,-3.6e-06,24.1063,-0.061846
179,-4.02e-06,24.1143,-0.061846
180,-4.07e-06,24.1269,-0.063665
181,-3.26e-06,24.1359,-0.065484
182,-2.72e-06,24.1462,-0.067303
183,-3.11e-06,24.1551,-0.070941
184,-3.46e-06,24.1553,-0.070941
185,-3.47e-06,24.1517,-0.07276
186,-3.61e-06,24.1466,-0.07276
187,-4e-06,24.1386,-0.07276
188,-4.31e-06,24.1322,-0.070941
189,-4.28e-06,24.1322,-0.070941
190,-4.25e-06,24.1398,-0.07276
191,-4.99e-06,24.1519,-0.074579
192,-6.24e-06,24.1663,-0.074579
193,-6.39e-06,24.185,-0.074579
194,-5.33e-06,24.2036,-0.074579
195,-4.72e-06,24.219,-0.076398
196,-4.97e-06,24.235,-0.080036
197,-5.1e-06,24.2484,-0.083674
198,-5.11e-06,24.2579,-0.085493
199,-5.69e-06,24.2708,-0.089131
200,-6.23e-06,24.2856,-0.09095
201,-6.14e-06,24.2994,-0.092769
202,-5.65e-06,24.3181,-0.092769
203,-4.58e-06,24.3385,-0.092769
204,-3.05e-06,24.3467,-0.092769
205,-1.7e-06,24.3384,-0.092769
206,-1.39e-06,24.3211,-0.092769
207,-2.38e-06,24.2965,-0.096407
208,-3.45e-06,24.2645,-0.096407
209,-3.92e-06,24.2319,-0.096407
210,-3.95e-06,24.2026,-0.096407
211,-3.22e-06,24.175,-0.098226
212,-2.43e-06,24.1549,-0.098226
213,-2.9e-06,24.144,-0.098226
214,-4.11e-06,24.1332,-0.096407
215,-5.11e-06,24.1196,-0.094588
216,-5.94e-06,24.1041,-0.096407
217,-6.56e-06,24.0836,-0.098226
218,-6.78e-06,24.0548,-0.101864
219,-6.63e-06,24.0195,-0.103683
220,-6.23e-06,23.9841,-0.103683
221,-5.39e-06,23.9572,-0.103683
222,-4.48e-06,23.9374,-0.103683
223,-3.78e-06,23.9127,-0.105502
224,-3.41e-06,23.8819,-0.105502
