,Time[sec],Top_Inplane_Disp[mm]
197,19.6230469,-0.020562577
198,19.7226562,-0.012104808
199,19.8222656,-0.016092787
200,19.921875,-0.018426017
201,20.0214844,-0.011043451
202,20.1210937,-0.019367168
203,20.2207031,-0.010565154
204,20.3203125,-0.020022984
205,20.4199219,-0.011981978
206,20.5195312,-0.012848404
207,20.6191406,-0.012506242
208,20.71875,-0.010463093
209,20.8183594,-0.014503608
210,20.9179687,-0.009630507
211,21.0175781,-0.008906155
212,21.1171875,-0.009017166
213,21.2167969,-0.010894355
214,21.3164062,-0.010446808
215,21.4160156,-0.008691966
216,21.515625,-0.008949504
217,21.6152344,-0.010792945
218,21.7148437,-0.012733845
219,21.8144531,-0.010444838
220,21.9140625,-0.010413899
221,22.0136719,-0.009593487
222,22.1132812,-0.009751274
223,22.2128906,-0.010898288
224,22.3125,-0.002734086
225,22.4121094,-0.010444082
226,22.5117187,-0.005011407
227,22.6113281,-0.008295752
228,22.7109375,-0.002720443
229,22.8105469,-0.007030923
230,22.9101562,-0.007598394
231,23.0097656,-0.005873032
232,23.109375,-0.012050804
233,23.2089844,-0.008673141
234,23.3085937,-0.007953409
235,23.4082031,-0.003586002
236,23.5078125,-0.004771625
237,23.6074219,-0.007051584
238,23.7070312,-0.005768014
239,23.8066406,-0.007381394
240,23.90625,-0.007010261
241,24.0058594,-0.010922023
242,24.1054687,-0.004825994
243,24.2050781,-0.004889826
244,24.3046875,-0.007574007
245,24.4042969,-0.003755993
246,24.5039062,-0.004536706
247,24.6035156,-0.003322522
248,24.703125,-0.005033456
249,24.8027344,-0.001426883
250,24.9023437,-0.003884022
251,25.0019531,-0.008866279
252,25.1015625,-0.002018133
253,25.2011719,-0.009026839
254,25.3007812,-0.002683295
255,25.4003906,-0.00835542
256,25.5,0.001222131
257,25.5996094,-0.006105302
258,25.6992187,-0.007314062
259,25.7988281,-0.004901016
260,25.8984375,-0.003411286
261,25.9980469,-0.006517587
262,26.0976562,-0.003827733
263,26.1972656,-0.005590911
264,26.296875,-0.008270036
265,26.3964844,-0.005525369
266,26.4960937,0.001276543
267,26.5957031,-0.005958907
268,26.6953125,-0.004214256
269,26.7949219,-0.007409323
270,26.8945312,-0.00146051
271,26.9941406,0.00017862
272,27.09375,-0.004282932
273,27.1933594,4.58e-05
274,27.2929687,-0.002804764
275,27.3925781,-0.00612036
276,27.4921875,-0.003418848
277,27.5917969,0.00145748
278,27.6914062,-0.00588885
279,27.7910156,-0.002505564
280,27.890625,-0.002123879
281,27.9902344,-0.001444411
282,28.0898437,-0.00089914
283,28.1894531,-0.004237366
284,28.2890625,-0.004986317
285,28.3886719,-0.003287267
286,28.4882812,-0.000513902
287,28.5878906,0.001536122
288,28.6875,-0.005617531
289,28.7871094,3.14e-05
290,28.8867187,-0.002138263
291,28.9863281,-0.001747113
292,29.0859375,-0.002543294
293,29.1855469,-0.000166144
294,29.2851562,-0.001365204
295,29.3847656,0.001566022
296,29.484375,-0.002859442
297,29.5839844,-0.004251304
298,29.6835937,0.00108116
299,29.7832031,0.00037201
300,29.8828125,-0.002433969
301,29.9824219,0.000280901
302,30.0820312,-0.000282432
303,30.1816406,-0.005278373
304,30.28125,-0.002693745
305,30.3808594,-0.001354957
306,30.4804687,-0.000579572
307,30.5800781,-0.001764751
308,30.6796875,0.001504126
309,30.7792969,-0.003309292
310,30.8789062,-0.000113909
311,30.9785156,-0.002005984
312,31.078125,-0.003855948
313,31.1777344,-0.002131587
314,31.2773437,-0.003309127
315,31.3769531,4.19e-05
316,31.4765625,-0.003934098
317,31.5761719,-0.002593726
318,31.6757812,0.000261029
319,31.7753906,0.000397376
320,31.875,-0.002603875
321,31.9746094,-0.008895244
322,32.0742187,0.000237762
323,32.1738281,-0.000939024
324,32.2734375,-0.001441153
325,32.3730469,0.000407985
326,32.4726562,-0.001969488
327,32.5722656,-0.002844402
328,32.671875,-0.00182518
329,32.7714844,8.91e-05
330,32.8710937,0.001692906
331,32.9707031,-0.001235802
332,33.0703125,0.00515217
333,33.1699219,-0.006342337
334,33.2695312,-0.000994051
335,33.3691406,-0.001492872
336,33.46875,0.002259881
337,33.5683594,-0.002417903
338,33.6679687,-0.000253471
339,33.7675781,-0.000578122
340,33.8671875,-0.00125419
341,33.9667969,-0.004177746
342,34.0664062,0.001957782
343,34.1660156,-0.000930158
344,34.265625,-0.005152418
345,34.3652344,0.002295888
346,34.4648437,-0.001875383
347,34.5644531,0.001327449
348,34.6640625,0.000640335
349,34.7636719,0.002089164
350,34.8632812,-0.002026306
351,34.9628906,0.001798634
352,35.0625,0.001886151
353,35.1621094,-0.001431651
354,35.2617187,0.000191949
355,35.3613281,-0.00200864
356,35.4609375,-0.000592245
357,35.5605469,-0.000352034
358,35.6601562,-0.003980854
359,35.7597656,0.004283569
360,35.859375,0.003915439
361,35.9589844,0.004016938
362,36.0585937,-0.000237892
363,36.1582031,-0.001855472
364,36.2578125,0.000598756
365,36.3574219,0.003797729
366,36.4570312,0.001396218
367,36.5566406,-0.001821409
368,36.65625,-0.003653431
369,36.7558594,0.00172301
370,36.8554687,0.004600376
371,36.9550781,-0.002998931
372,37.0546875,0.002558729
373,37.1542969,-0.000296254
374,37.2539062,0.002891775
375,37.3535156,-0.001338046
376,37.453125,-0.001519559
377,37.5527344,-0.005874128
378,37.6523437,-0.000332524
379,37.7519531,0.001736447
380,37.8515625,0.000352838
381,37.9511719,-0.00037877
382,38.0507812,-0.002620434
383,38.1503906,0.005112525
384,38.25,-0.003175714
385,38.3496094,-0.003020768
386,38.4492187,-0.001268146
387,38.5488281,0.004107625
388,38.6484375,-0.000515709
389,38.7480469,0.000867251
390,38.8476562,-0.001869022
391,38.9472656,0.000190689
392,39.046875,0.000886147
393,39.1464844,0.001464335
394,39.2460937,-0.001213786
395,39.3457031,-0.004076794
396,39.4453125,-0.001847034
397,39.5449219,-0.00229892
398,39.6445312,0.003518337
399,39.7441406,-0.003039002
400,39.84375,0.00217084
401,39.9433594,-0.003836324
402,40.0429687,-0.000760372
403,40.1425781,0.005608098
404,40.2421875,0.000802161
405,40.3417969,0.000205848
406,40.4414062,-0.000155724
407,40.5410156,-0.002497922
408,40.640625,-0.00242048
409,40.7402344,0.004634698
410,40.8398437,0.003154104
411,40.9394531,0.001257815
412,41.0390625,0.002783935
413,41.1386719,-0.001935044
414,41.2382812,0.001205076
415,41.3378906,0.001794348
416,41.4375,-0.000372379
417,41.5371094,0.001470569
418,41.6367187,0.000478115
419,41.7363281,-0.002200391
420,41.8359375,-0.000332362
421,41.9355469,0.002691061
422,42.0351562,-0.001414426
423,42.1347656,-0.002349949
424,42.234375,-0.001550117
425,42.3339844,0.001765437
