,Time[sec],Top_Inplane_Disp[mm],Top_Inplane_Rotation[%rad]
129,12.84960938,-0.002782135,1.99e-05
130,12.94921875,0.001254787,-1.5e-05
131,13.04882813,0.001474398,7.7e-06
132,13.1484375,-0.001682091,6e-06
133,13.24804688,0.006361042,4.06e-05
134,13.34765625,-0.000578939,6.3e-06
135,13.44726563,-0.000351344,3.54e-05
136,13.546875,0.000561054,3.97e-05
137,13.64648438,-0.00569833,2.74e-05
138,13.74609375,0.000286543,3.78e-05
139,13.84570313,0.001282111,5.8e-06
140,13.9453125,0.002808307,3.17e-05
141,14.04492188,-0.000107931,4.8e-05
142,14.14453125,-0.001352213,6.7e-06
143,14.24414063,0.000697849,6.3e-05
144,14.34375,-0.001230776,3e-05
145,14.44335938,0.001738544,6.7e-05
146,14.54296875,-0.00074171,1.02e-05
147,14.64257813,0.003296002,3.01e-05
148,14.7421875,-0.002289349,5.9e-06
149,14.84179688,0.000374476,1.17e-05
150,14.94140625,-0.000752072,1.8e-05
151,15.04101563,-0.001018286,3.94e-05
152,15.140625,0.001007576,6.5e-06
153,15.24023438,0.000776022,1.84e-05
154,15.33984375,-0.00268011,6e-06
155,15.43945313,0.000267334,3.2e-05
156,15.5390625,-0.000636063,6.6e-06
157,15.63867188,0.005534936,6.31e-05
158,15.73828125,0.001302782,4.05e-05
159,15.83789063,0.000115602,2.23e-05
160,15.9375,0.0009233,4.03e-05
161,16.03710938,-0.002859621,6e-06
162,16.13671875,0.001257916,3.78e-05
163,16.23632813,-0.002410299,4.02e-05
164,16.3359375,0.003512899,2.32e-05
165,16.43554688,-0.002409821,1.85e-05
166,16.53515625,0.002120235,4.05e-05
167,16.63476563,-0.002158744,3.86e-05
168,16.734375,-0.005848944,3.77e-05
169,16.83398438,-0.001449449,6.4e-06
170,16.93359375,-0.001267957,1.94e-05
171,17.03320313,-0.002863469,2.03e-05
172,17.1328125,0.002869864,6.07e-05
173,17.23242188,0.000174918,1.98e-05
174,17.33203125,0.001543157,6e-06
175,17.43164063,-0.00038447,-1.8e-05
176,17.53125,0.000637944,9e-06
177,17.63085938,-0.001362401,5.7e-06
178,17.73046875,-0.002451178,7.3e-06
179,17.83007813,-0.003406756,3.94e-05
180,17.9296875,0.002494311,3.58e-05
181,18.02929688,0.002023852,1.9e-05
182,18.12890625,-0.001346611,1e-05
183,18.22851563,-0.003713656,4.8e-05
184,18.328125,0.002703709,5.8e-06
185,18.42773438,-0.001143407,4.57e-05
186,18.52734375,-0.001669201,2.84e-05
187,18.62695313,0.000903103,5.64e-05
188,18.7265625,0.00036778,3.92e-05
189,18.82617188,0.001309835,5.1e-06
190,18.92578125,0.001811223,4.82e-05
191,19.02539063,-0.00231287,5.6e-06
192,19.125,-0.00041539,8e-07
193,19.22460938,0.00054462,1.91e-05
194,19.32421875,0.000452903,3.98e-05
195,19.42382813,0.000800204,6.25e-05
196,19.5234375,0.002458126,1.63e-05
197,19.62304688,-1.56e-05,1.38e-05
198,19.72265625,0.00478267,3.6e-05
199,19.82226563,-0.000969288,5.92e-05
200,19.921875,0.002053439,1.49e-05
201,20.02148438,-0.000113754,1.71e-05
202,20.12109375,0.00107059,3.92e-05
203,20.22070313,0.001003747,8.9e-06
204,20.3203125,0.002441582,3.9e-05
205,20.41992188,-0.000666132,5.5e-06
206,20.51953125,0.0019887,1.46e-05
207,20.61914063,-0.004642533,3.56e-05
208,20.71875,0.00399219,5.96e-05
209,20.81835938,-0.002071439,5.1e-06
210,20.91796875,0.00098564,3.78e-05
211,21.01757813,0.001187168,5.3e-06
212,21.1171875,-0.001313584,7.11e-05
213,21.21679688,0.002934737,3.84e-05
214,21.31640625,0.000296707,5.8e-06
215,21.41601563,-0.004150638,6.52e-05
216,21.515625,0.003244018,5.2e-06
217,21.61523438,0.000652189,8e-06
218,21.71484375,-0.001808656,3e-05
219,21.81445313,0.001106001,4.9e-06
220,21.9140625,0.003226676,2.6e-05
221,22.01367188,0.001463601,6.8e-06
222,22.11328125,-0.00184763,3.72e-05
223,22.21289063,0.002890758,5.77e-05
224,22.3125,0.001241223,2.9e-05
225,22.41210938,0.002311049,6.02e-05
226,22.51171875,0.002012887,1.96e-05
227,22.61132813,-0.001715285,3.81e-05
228,22.7109375,0.003278764,3.05e-05
229,22.81054688,0.00409484,4.18e-05
230,22.91015625,0.001656047,2.61e-05
231,23.00976563,-0.001548342,5.1e-06
232,23.109375,-0.00133371,5.7e-06
233,23.20898438,-0.000432048,4.86e-05
234,23.30859375,-0.000181219,9.8e-06
235,23.40820313,-0.004269502,2.94e-05
236,23.5078125,0.002532837,6.84e-05
237,23.60742188,0.002222768,4.8e-06
238,23.70703125,-0.000965641,6.88e-05
239,23.80664063,0.00161235,6.06e-05
240,23.90625,-0.001492427,6e-06
241,24.00585938,0.001874058,1.69e-05
242,24.10546875,0.000775912,3.14e-05
243,24.20507813,0.001319717,3.82e-05
244,24.3046875,0.000616117,4.18e-05
245,24.40429688,0.000807296,4.52e-05
246,24.50390625,0.000642003,5.2e-06
247,24.60351563,0.002047018,6.5e-06
248,24.703125,-3.27e-05,3.07e-05
249,24.80273438,0.001899785,8.1e-06
250,24.90234375,-0.004075349,4.4e-06
251,25.00195313,-0.000866444,4.72e-05
252,25.1015625,0.004203343,4.65e-05
253,25.20117188,-0.001274272,4.05e-05
254,25.30078125,0.000613268,5.86e-05
255,25.40039063,-0.001267124,7.07e-05
256,25.5,-0.00038916,4.81e-05
257,25.59960938,0.000378106,4.82e-05
258,25.69921875,-0.001777237,3.9e-05
259,25.79882813,-1.23e-05,3.79e-05
260,25.8984375,-0.002735654,3.78e-05
261,25.99804688,0.006068263,4.6e-06
262,26.09765625,0.002359574,4.2e-06
263,26.19726563,0.002311077,3.76e-05
264,26.296875,0.002161326,3.28e-05
265,26.39648438,0.00353507,7.15e-05
266,26.49609375,-0.000740292,3.29e-05
267,26.59570313,-0.002211881,3.72e-05
268,26.6953125,-0.001106425,5e-06
269,26.79492188,-0.001980814,5.87e-05
270,26.89453125,-0.000835436,7.16e-05
271,26.99414063,-0.003904721,3.8e-05
272,27.09375,-0.000433206,3.77e-05
273,27.19335938,-0.000590802,2.85e-05
274,27.29296875,0.002928066,8.3e-06
275,27.39257813,-0.002954523,6.2e-05
276,27.4921875,0.003269642,2.51e-05
277,27.59179688,-0.000108189,5.12e-05
278,27.69140625,0.002355473,1.41e-05
279,27.79101563,-0.00032432,3.82e-05
280,27.890625,0.000331385,1.23e-05
281,27.99023438,-0.001674357,6.1e-05
282,28.08984375,0.000853515,4.54e-05
283,28.18945313,0.003482995,7.7e-06
284,28.2890625,-0.001870899,3.38e-05
285,28.38867188,0.001170722,2.95e-05
286,28.48828125,0.001380924,1.61e-05
287,28.58789063,0.000248599,5.4e-06
288,28.6875,-0.000691125,6.16e-05
289,28.78710938,0.002222837,7.1e-06
290,28.88671875,0.001266126,1.58e-05
291,28.98632813,0.002432061,5.65e-05
292,29.0859375,0.001546994,3.8e-05
293,29.18554688,0.000420579,4.4e-06
294,29.28515625,0.003881732,3.76e-05
295,29.38476563,-0.000485836,1.17e-05
296,29.484375,-0.000766119,3.26e-05
297,29.58398438,0.000598513,3.8e-05
298,29.68359375,0.004255433,1.42e-05
299,29.78320313,0.001935849,2.83e-05
300,29.8828125,-0.001545642,2.68e-05
301,29.98242188,-0.00359342,3.73e-05
302,30.08203125,0.000781663,3.79e-05
303,30.18164063,0.004247812,6.3e-06
304,30.28125,0.001134402,6.41e-05
305,30.38085938,0.003172697,1.46e-05
306,30.48046875,0.000563289,4.3e-05
307,30.58007813,-0.00093069,4.11e-05
308,30.6796875,0.00294338,2.95e-05
309,30.77929688,0.0005273,5.73e-05
310,30.87890625,-0.002281164,7.1e-06
311,30.97851563,0.001200296,7.5e-06
312,31.078125,0.003421593,3.31e-05
313,31.17773438,-2.68e-05,5.73e-05
314,31.27734375,0.000658192,1.61e-05
315,31.37695313,-0.004641979,-6.3e-06
316,31.4765625,0.000176361,1.96e-05
317,31.57617188,-0.001948519,3.34e-05
318,31.67578125,-0.001097739,4.8e-06
319,31.77539063,0.000438659,2.1e-06
320,31.875,-0.005457862,3.7e-06
321,31.97460938,0.001073497,5.4e-05
322,32.07421875,0.000536574,8.6e-06
323,32.17382813,-0.000957795,2.9e-05
324,32.2734375,-0.002940715,3e-06
325,32.37304688,-0.003168456,3.26e-05
326,32.47265625,-0.000880396,6.25e-05
327,32.57226563,-0.002104653,3.81e-05
328,32.671875,-0.000822591,-1.08e-05
329,32.77148438,-0.002415765,3.6e-06
330,32.87109375,0.001128516,1.18e-05
331,32.97070313,-0.001011808,1.69e-05
332,33.0703125,-0.001049197,3.38e-05
333,33.16992188,-0.001319736,1.31e-05
334,33.26953125,-0.003491999,6.7e-05
335,33.36914063,0.002613114,3.22e-05
336,33.46875,0.001096071,4.55e-05
337,33.56835938,-0.003735239,1.59e-05
338,33.66796875,0.00022385,3.1e-06
339,33.76757813,-0.005400464,6.74e-05
340,33.8671875,-0.003923893,3.3e-06
341,33.96679688,-0.003192806,9.2e-06
342,34.06640625,0.001661318,6.79e-05
343,34.16601563,0.002544253,1.16e-05
344,34.265625,0.000926877,4.5e-05
345,34.36523438,-0.002867471,4.6e-06
346,34.46484375,-0.001204498,3.71e-05
347,34.56445313,-0.002913994,5.61e-05
348,34.6640625,0.002954861,3.73e-05
349,34.76367188,0.001531056,2.2e-06
350,34.86328125,-0.00015597,6.64e-05
351,34.96289063,0.002103328,3.43e-05
352,35.0625,-0.002659891,3.72e-05
353,35.16210938,-0.006526461,2.82e-05
354,35.26171875,-0.002460252,4.2e-06
355,35.36132813,0.002692528,1.82e-05
356,35.4609375,0.000189666,4.4e-06
357,35.56054688,-0.000254193,3.69e-05
358,35.66015625,-0.001768742,5.4e-06
359,35.75976563,-0.001251957,3.95e-05
360,35.859375,0.004562295,3.58e-05
361,35.95898438,-0.001699808,1.47e-05
362,36.05859375,0.00068115,1.15e-05
363,36.15820313,0.000680446,4.1e-06
364,36.2578125,-0.003934511,3.72e-05
365,36.35742188,-0.001334107,1.62e-05
366,36.45703125,0.002842748,5.85e-05
367,36.55664063,-0.000291115,3.67e-05
368,36.65625,-0.001667097,1.62e-05
369,36.75585938,-0.001979382,1.35e-05
370,36.85546875,-0.003436876,2.65e-05
371,36.95507813,0.000701007,3.63e-05
372,37.0546875,0.002160871,1.7e-05
373,37.15429688,8.13e-05,3.6e-05
374,37.25390625,0.001704987,4e-06
375,37.35351563,-0.001385338,6.33e-05
376,37.453125,0.003163538,1.23e-05
377,37.55273438,-0.000813116,4.4e-05
378,37.65234375,-0.001065575,6.04e-05
379,37.75195313,0.002498868,3.66e-05
380,37.8515625,-0.002873202,-1.91e-05
381,37.95117188,-0.000792362,3.62e-05
382,38.05078125,5.97e-05,3.65e-05
383,38.15039063,0.001893667,4.55e-05
384,38.25,0.001762157,1.38e-05
385,38.34960938,-0.000722935,1.55e-05
386,38.44921875,-0.001218861,3.59e-05
387,38.54882813,-0.002080839,3.15e-05
388,38.6484375,0.003048393,3.54e-05
389,38.74804688,0.002979714,2.42e-05
390,38.84765625,0.002997078,4.9e-06
391,38.94726563,-0.000534868,6.6e-05
392,39.046875,-0.001909389,5.8e-06
393,39.14648438,-0.002429932,3.66e-05
394,39.24609375,0.000530965,3.84e-05
395,39.34570313,-0.002697797,5.68e-05
396,39.4453125,0.00059531,3.65e-05
397,39.54492188,-0.000824922,2.13e-05
398,39.64453125,0.002199527,3e-06
399,39.74414063,-0.000903674,3.06e-05
400,39.84375,0.000397338,6.43e-05
401,39.94335938,-0.000291835,3.58e-05
402,40.04296875,-0.002395691,3.7e-06
403,40.14257813,0.001584862,4.63e-05
404,40.2421875,-0.00050367,3.7e-06
405,40.34179688,0.001136054,3.62e-05
406,40.44140625,-0.003297718,1.53e-05
407,40.54101563,0.003184289,3.55e-05
408,40.640625,-0.001834547,3.55e-05
409,40.74023438,0.003354491,5.8e-06
410,40.83984375,4.91e-05,3.1e-06
411,40.93945313,5.47e-05,5.59e-05
412,41.0390625,-0.001967991,3.83e-05
413,41.13867188,-0.000260951,2.1e-06
414,41.23828125,-0.00129429,3.6e-05
415,41.33789063,-0.000228332,1.53e-05
416,41.4375,0.000341179,6.75e-05
417,41.53710938,-0.001524207,3.63e-05
418,41.63671875,0.00101379,2.7e-06
419,41.73632813,0.00465171,3.27e-05
420,41.8359375,0.001653181,2.8e-06
421,41.93554688,0.000755012,5.56e-05
422,42.03515625,-0.001426485,1.7e-06
423,42.13476563,0.000773622,1.48e-05
424,42.234375,0.004003673,2.81e-05
425,42.33398438,-0.000422798,2.75e-05
426,42.43359375,-0.000523795,3.54e-05
427,42.53320313,-0.002891781,2.9e-05
428,42.6328125,-0.005350742,3.57e-05
429,42.73242188,-0.000135757,-1.44e-05
430,42.83203125,-0.001098983,3.69e-05
431,42.93164063,0.003088839,2.5e-06
432,43.03125,0.00610338,4.67e-05
433,43.13085938,-0.000110551,3.47e-05
434,43.23046875,0.001448337,3.47e-05
435,43.33007813,-0.000254546,2.33e-05
436,43.4296875,-0.004823768,3.54e-05
437,43.52929688,0.00258347,3.61e-05
438,43.62890625,-0.000974548,1.56e-05
439,43.72851563,-0.00164585,5.62e-05
440,43.828125,-0.000953993,3.44e-05
441,43.92773438,0.004202916,3.59e-05
442,44.02734375,-0.001977209,2.6e-05
443,44.12695313,-0.001134215,3.48e-05
444,44.2265625,-0.00113109,3.11e-05
445,44.32617188,0.000586567,-1.64e-05
446,44.42578125,-0.003242561,3.39e-05
447,44.52539063,0.001235959,2.5e-06
448,44.625,4.74e-05,4.82e-05
449,44.72460938,-0.00226749,1.04e-05
450,44.82421875,0.00412117,3.52e-05
451,44.92382813,-0.004917879,4.58e-05
452,45.0234375,0.001945067,2.2e-06
453,45.12304688,-0.005057204,3.29e-05
454,45.22265625,-0.001005959,6.2e-06
455,45.32226563,0.001961709,2.2e-05
456,45.421875,-0.000184185,5.6e-06
457,45.52148438,-0.001643175,3.25e-05
458,45.62109375,0.000700885,5.58e-05
459,45.72070313,0.004353774,2.21e-05
460,45.8203125,-0.002059827,3.54e-05
461,45.91992188,0.000100219,3.17e-05
462,46.01953125,-0.003284357,3.56e-05
463,46.11914063,0.001546096,-1.62e-05
464,46.21875,0.001803935,3.56e-05
465,46.31835938,-0.001814373,2e-06
466,46.41796875,0.002010591,-1.5e-06
467,46.51757813,0.002313228,1.3e-05
468,46.6171875,-0.003313101,3.4e-06
469,46.71679688,0.00055024,3.54e-05
470,46.81640625,-0.001924587,3.94e-05
471,46.91601563,-0.000108562,6.72e-05
472,47.015625,-0.003014591,3.11e-05
473,47.11523438,-0.001660434,2.65e-05
474,47.21484375,0.002160736,2.81e-05
475,47.31445313,0.000783227,1.1e-06
476,47.4140625,0.001973772,3.54e-05
477,47.51367188,0.001521553,1.39e-05
478,47.61328125,0.003059824,3.6e-05
479,47.71289063,-0.00335649,2.72e-05
480,47.8125,0.00088835,3.13e-05
481,47.91210938,0.000440486,-3.91e-05
482,48.01171875,0.03521387,-0.0004803
483,48.11132813,0.075135482,-0.0012034
484,48.2109375,0.12001775,-0.0020729
485,48.31054688,0.154643451,-0.0030261
486,48.41015625,0.190181876,-0.0039053
487,48.50976563,0.233653132,-0.0048204
488,48.609375,0.269783195,-0.0058021
489,48.70898438,0.314369361,-0.0067291
490,48.80859375,0.349401729,-0.0076519
491,48.90820313,0.397367461,-0.0085426
492,49.0078125,0.432268338,-0.0095034
493,49.10742188,0.474197441,-0.0103834
494,49.20703125,0.517112028,-0.0113234
495,49.30664063,0.553219463,-0.0122534
496,49.40625,0.598044659,-0.0131834
497,49.50585938,0.634993077,-0.0141234
498,49.60546875,0.678319426,-0.0150434
499,49.70507813,0.71537745,-0.0159334
500,49.8046875,0.75926003,-0.0168734
501,49.90429688,0.796914857,-0.0177934
502,50.00390625,0.830355391,-0.0187274
503,50.10351563,0.876354228,-0.0196904
504,50.203125,0.913270225,-0.0205634
505,50.30273438,0.953644456,-0.0214634
506,50.40234375,0.997164752,-0.0223834
507,50.50195313,1.029672218,-0.0233334
508,50.6015625,1.074612024,-0.0242634
509,50.70117188,1.109618228,-0.0251434
510,50.80078125,1.151882694,-0.0260834
511,50.90039063,1.193102798,-0.0270034
512,51.0,1.232497511,-0.0279334
513,51.09960938,1.275978517,-0.0288834
514,51.19921875,1.318177325,-0.0297934
515,51.29882813,1.349026221,-0.0307254
516,51.3984375,1.39040756,-0.0315864
517,51.49804688,1.438869047,-0.0325275
518,51.59765625,1.469716546,-0.033461
519,51.69726563,1.516538672,-0.0343684
520,51.796875,1.55238458,-0.0353182
521,51.89648438,1.592694083,-0.0362489
522,51.99609375,1.636168687,-0.03713
523,52.09570313,1.674547675,-0.0380647
524,52.1953125,1.713428181,-0.0389647
525,52.29492188,1.755335019,-0.039899
526,52.39453125,1.798400073,-0.0408326
527,52.49414063,1.836827258,-0.0417382
528,52.59375,1.875989255,-0.0426826
529,52.69335938,1.912205014,-0.043602
530,52.79296875,1.959658461,-0.0445629
531,52.89257813,1.995675266,-0.0454592
532,52.9921875,2.037930069,-0.0463865
533,53.09179688,2.077570884,-0.0473086
534,53.19140625,2.115032636,-0.0482287
535,53.29101563,2.153730253,-0.0491334
536,53.390625,2.196463523,-0.0500666
537,53.49023438,2.23488803,-0.0510001
538,53.58984375,2.268485492,-0.051907
539,53.68945313,2.312791534,-0.0527992
540,53.7890625,2.352571348,-0.0536993
541,53.88867188,2.394516254,-0.054667
542,53.98828125,2.439046046,-0.0555777
543,54.08789063,2.478203503,-0.0565421
544,54.1875,2.51755421,-0.0574462
545,54.28710938,2.555397805,-0.0583652
546,54.38671875,2.597939456,-0.0592663
547,54.48632813,2.634832868,-0.0602022
548,54.5859375,2.672760515,-0.0611108
549,54.68554688,2.717627212,-0.0620354
550,54.78515625,2.753703389,-0.0629367
551,54.88476563,2.793716267,-0.0638988
552,54.984375,2.837315435,-0.0647984
553,55.08398438,2.873458201,-0.065732
554,55.18359375,2.915509278,-0.0666279
555,55.28320313,2.953944495,-0.0675747
556,55.3828125,2.993257949,-0.0684703
557,55.48242188,3.032150678,-0.0694254
558,55.58203125,3.079401329,-0.0703082
559,55.68164063,3.113420447,-0.071228
560,55.78125,3.151032142,-0.0721243
561,55.88085938,3.194816178,-0.0730852
562,55.98046875,3.23671801,-0.0739969
563,56.08007813,3.277105978,-0.0749279
564,56.1796875,3.313822672,-0.0758008
565,56.27929688,3.355980618,-0.0767371
566,56.37890625,3.397413762,-0.0776651
567,56.47851563,3.436288564,-0.0786002
568,56.578125,3.475223202,-0.0795332
569,56.67773438,3.513654461,-0.0804644
570,56.77734375,3.555967705,-0.0813997
571,56.87695313,3.592299996,-0.0823056
572,56.9765625,3.635950619,-0.0832047
573,57.07617188,3.674638458,-0.0841404
574,57.17578125,3.715165192,-0.0850084
575,57.27539063,3.759653307,-0.0859535
576,57.375,3.795950674,-0.086866
577,57.47460938,3.839192679,-0.0877986
578,57.57421875,3.87744722,-0.0887188
579,57.67382813,3.916914575,-0.0896206
580,57.7734375,3.95505596,-0.0905518
581,57.87304688,3.996508662,-0.0914656
582,57.97265625,4.038009327,-0.0923992
583,58.07226563,4.076505546,-0.0933327
584,58.171875,4.1176714,-0.0942046
585,58.27148438,4.152600653,-0.0950931
586,58.37109375,4.197109025,-0.0960946
587,58.47070313,4.235882312,-0.0969998
588,58.5703125,4.277640488,-0.0979186
589,58.66992188,4.310324322,-0.0988331
590,58.76953125,4.359384067,-0.0997328
591,58.86914063,4.39379504,-0.100683
592,58.96875,4.435256124,-0.1015892
593,59.06835938,4.473531153,-0.1025225
594,59.16796875,4.514044151,-0.1034438
595,59.26757813,4.554918036,-0.1043657
596,59.3671875,4.593573511,-0.1052696
597,59.46679688,4.636232276,-0.1061658
598,59.56640625,4.671440925,-0.1070992
599,59.66601563,4.714884795,-0.1080321
600,59.765625,4.756001756,-0.1089458
601,59.86523438,4.79425909,-0.1098993
602,59.96484375,4.83486522,-0.1108263
603,60.06445313,4.876375198,-0.1116993
604,60.1640625,4.909512121,-0.1126384
605,60.26367188,4.958854523,-0.1135092
