,Time[sec],Top_Inplane_Disp[mm]
198,39.63867188,3.661169671
199,39.83886719,3.67409247
200,40.0390625,3.701253328
201,40.23925781,3.720237408
202,40.43945313,3.740859451
203,40.63964844,3.764258698
204,40.83984375,3.786849324
205,41.04003906,3.8015428
206,41.24023438,3.823915264
207,41.44042969,3.844309133
208,41.640625,3.858671756
209,41.84082031,3.880017437
210,42.04101563,3.900191747
211,42.24121094,3.922378644
212,42.44140625,3.944222815
213,42.64160156,3.964113072
214,42.84179688,3.979616333
215,43.04199219,4.003786016
216,43.2421875,4.01962921
217,43.44238281,4.044114146
218,43.64257813,4.064151086
219,43.84277344,4.083298147
220,44.04296875,4.100984894
221,44.24316406,4.122805316
222,44.44335938,4.139182158
223,44.64355469,4.163426813
224,44.84375,4.182446282
225,45.04394531,4.202547483
226,45.24414063,4.220832605
227,45.44433594,4.24171146
228,45.64453125,4.262176808
229,45.84472656,4.281068221
230,46.04492188,4.306218121
231,46.24511719,4.320707172
232,46.4453125,4.344590474
233,46.64550781,4.361986648
234,46.84570313,4.38559521
235,47.04589844,4.399240483
236,47.24609375,4.422181286
237,47.44628906,4.441953264
238,47.64648438,4.461828619
239,47.84667969,4.48557036
240,48.046875,4.500521347
241,48.24707031,4.525419325
242,48.44726563,4.542136099
243,48.64746094,4.5577446
244,48.84765625,4.582403693
245,49.04785156,4.598368891
246,49.24804688,4.624627065
247,49.44824219,4.643430933
248,49.6484375,4.662999883
249,49.84863281,4.679802805
250,50.04882813,4.702671431
251,50.24902344,4.72097192
252,50.44921875,4.742452875
253,50.64941406,4.770159256
254,50.84960938,4.784903489
255,51.04980469,4.804499447
256,51.25,4.820368253
257,51.45019531,4.840767477
258,51.65039063,4.866154399
259,51.85058594,4.881640896
260,52.05078125,4.906719085
261,52.25097656,4.921628628
262,52.45117188,4.942891654
263,52.65136719,4.960203543
264,52.8515625,4.982247483
265,53.05175781,5.004481412
266,53.25195313,5.023465026
267,53.45214844,5.047376733
268,53.65234375,5.061699077
269,53.85253906,5.082927179
270,54.05273438,5.100055132
271,54.25292969,5.118554924
272,54.453125,5.142913666
273,54.65332031,5.163720809
274,54.85351563,5.18448418
275,55.05371094,5.204450339
276,55.25390625,5.221858155
277,55.45410156,5.245469045
278,55.65429688,5.269156769
279,55.85449219,5.277833436
280,56.0546875,5.298404023
281,56.25488281,5.323687568
282,56.45507813,5.343531258
283,56.65527344,5.360598676
284,56.85546875,5.381822586
285,57.05566406,5.404404365
286,57.25585938,5.421612412
287,57.45605469,5.44621842
288,57.65625,5.462316331
289,57.85644531,5.479083862
290,58.05664063,5.50322514
291,58.25683594,5.52170258
292,58.45703125,5.542937201
293,58.65722656,5.560466088
294,58.85742188,5.588023458
295,59.05761719,5.60547784
296,59.2578125,5.625597667
297,59.45800781,5.644308403
298,59.65820313,5.664161406
299,59.85839844,5.684559233
300,60.05859375,5.706467666
301,60.25878906,5.723413546
302,60.45898438,5.745306145
303,60.65917969,5.763208028
304,60.859375,5.783531349
305,61.05957031,5.801877938
306,61.25976563,5.821765866
307,61.45996094,5.844260566
308,61.66015625,5.864842795
309,61.86035156,5.878918804
310,62.06054688,5.905366503
311,62.26074219,5.927193444
312,62.4609375,5.940624513
313,62.66113281,5.965520162
314,62.86132813,5.985753145
315,63.06152344,5.999694578
316,63.26171875,6.024034694
317,63.46191406,6.038809661
318,63.66210938,6.06438471
319,63.86230469,6.085744593
320,64.0625,6.101245992
321,64.26269531,6.123632658
322,64.46289063,6.141206715
323,64.66308594,6.159503944
324,64.86328125,6.182443351
325,65.06347656,6.200432777
326,65.26367188,6.225298624
327,65.46386719,6.240785122
328,65.6640625,6.263003219
329,65.86425781,6.284725387
330,66.06445313,6.303466391
331,66.26464844,6.32176362
332,66.46484375,6.341934204
333,66.66503906,6.363211665
334,66.86523438,6.382988766
335,67.06542969,6.405028049
336,67.265625,6.426330656
337,67.46582031,6.445295643
338,67.66601563,6.46658428
339,67.86621094,6.480309181
340,68.06640625,6.504887249
341,68.26660156,6.527177524
342,68.46679688,6.539641414
343,68.66699219,6.560831331
344,68.8671875,6.585163064
345,69.06738281,6.604150403
346,69.26757813,6.623276509
347,69.46777344,6.647834554
348,69.66796875,6.665161811
349,69.86816406,6.683186628
350,70.06835938,6.705639884
351,70.26855469,6.726643071
352,70.46875,6.742757745
353,70.66894531,6.76293252
354,70.86914063,6.783579942
355,71.06933594,6.801954936
356,71.26953125,6.823115516
357,71.46972656,6.842204835
358,71.66992188,6.866567302
359,71.87011719,6.885239854
360,72.0703125,6.905989721
361,72.27050781,6.922231987
362,72.47070313,6.944740657
363,72.67089844,6.960208528
364,72.87109375,6.983570755
365,73.07128906,7.002174389
366,73.27148438,7.026095409
367,73.47167969,7.040041499
368,73.671875,7.066932973
369,73.87207031,7.085806224
370,74.07226563,7.105218247
371,74.27246094,7.126613986
372,74.47265625,7.14472495
373,74.67285156,7.163231261
374,74.87304688,7.182817906
375,75.07324219,7.202733308
376,75.2734375,7.22333882
377,75.47363281,7.243858185
378,75.67382813,7.265345193
379,75.87402344,7.284414489
380,76.07421875,7.307768799
381,76.27441406,7.326390129
382,76.47460938,7.34445313
383,76.67480469,7.366579492
384,76.875,7.38623552
385,77.07519531,7.404902019
386,77.27539063,7.424023002
387,77.47558594,7.445170078
388,77.67578125,7.468783762
389,77.87597656,7.482806686
390,78.07617188,7.500928827
391,78.27636719,7.520728279
392,78.4765625,7.549099624
393,78.67675781,7.565178443
394,78.87695313,7.584634237
395,79.07714844,7.603135426
396,79.27734375,7.630447391
397,79.47753906,7.644999772
398,79.67773438,7.668275852
399,79.87792969,7.688064128
400,80.078125,7.705636788
401,80.27832031,7.722674403
402,80.47851563,7.743760943
403,80.67871094,7.763657719
404,80.87890625,7.783488836
405,81.07910156,7.80496886
406,81.27929688,7.827104069
407,81.47949219,7.848089561
408,81.6796875,7.86781311
409,81.87988281,7.889951579
410,82.08007813,7.906347513
411,82.28027344,7.927353494
412,82.48046875,7.94103276
413,82.68066406,7.96623528
414,82.88085938,7.983004674
415,83.08105469,8.008659817
416,83.28125,8.025995456
417,83.48144531,8.047068492
