,Time[sec],Top_Inplane_Disp[mm],Top_Inplane_Rotation[%rad]
0,0.0,0.189362545,0.0
1,0.099609375,0.185490877,3.28e-05
2,0.19921875,0.184588847,3.34e-05
3,0.298828125,0.186375444,3.39e-05
4,0.3984375,0.183121068,6.41e-05
5,0.498046875,0.185239565,7.6e-05
6,0.59765625,0.191778163,6.62e-05
7,0.697265625,0.188699909,7.76e-05
8,0.796875,0.187204787,5.68e-05
9,0.896484375,0.187121361,6.31e-05
10,0.99609375,0.186137884,6.6e-05
11,1.095703125,0.187428872,9.1e-05
12,1.1953125,0.188510414,6.62e-05
13,1.294921875,0.185451281,2.08e-05
14,1.39453125,0.18541739,6.61e-05
15,1.494140625,0.191563115,6.5e-05
16,1.59375,0.185597935,6.56e-05
17,1.693359375,0.187769678,2.04e-05
18,1.79296875,0.188477075,6.29e-05
19,1.892578125,0.185008437,2.12e-05
20,1.9921875,0.185075784,3.27e-05
21,2.091796875,0.191546744,6.66e-05
22,2.19140625,0.185553959,2.07e-05
23,2.291015625,0.187022539,3.27e-05
24,2.390625,0.184006654,2.53e-05
25,2.490234375,0.189919927,5.29e-05
26,2.58984375,0.184817356,3e-05
27,2.689453125,0.189283019,6.54e-05
28,2.7890625,0.189965358,3.21e-05
29,2.888671875,0.188985272,5.59e-05
30,2.98828125,0.181741212,3.35e-05
31,3.087890625,0.187654936,4.51e-05
32,3.1875,0.184864024,7.01e-05
33,3.287109375,0.188695936,4.09e-05
34,3.38671875,0.184281802,4.72e-05
35,3.486328125,0.184752615,3.67e-05
36,3.5859375,0.186994686,3.05e-05
37,3.685546875,0.181952302,3.1e-05
38,3.78515625,0.190259598,3.55e-05
39,3.884765625,0.180024421,5.33e-05
40,3.984375,0.185614947,1.99e-05
41,4.083984375,0.184925055,3.25e-05
42,4.18359375,0.183440759,5.84e-05
43,4.283203125,0.185332727,3.29e-05
44,4.3828125,0.188636768,5.64e-05
45,4.482421875,0.188298742,3.29e-05
46,4.58203125,0.183821772,6.56e-05
47,4.681640625,0.184105724,6.21e-05
48,4.78125,0.186699865,4.54e-05
49,4.880859375,0.180962321,2.03e-05
50,4.98046875,0.186962367,3.48e-05
51,5.080078125,0.185767291,5.88e-05
52,5.1796875,0.182337273,3.17e-05
53,5.279296875,0.186742982,2.18e-05
54,5.37890625,0.184093151,5.68e-05
55,5.478515625,0.181915224,4.31e-05
56,5.578125,0.182844291,2.91e-05
57,5.677734375,0.187156867,6.36e-05
58,5.77734375,0.18601217,3.17e-05
59,5.876953125,0.185083743,6.56e-05
60,5.9765625,0.186846999,5.35e-05
61,6.076171875,0.188233927,6.8e-05
62,6.17578125,0.184811666,3.22e-05
63,6.275390625,0.187015306,3.21e-05
64,6.375,0.187146172,6.49e-05
65,6.474609375,0.189692699,7.61e-06
66,6.57421875,0.187004072,3.26e-05
67,6.673828125,0.188489386,7.68e-06
68,6.7734375,0.181458076,5.29e-05
69,6.873046875,0.19063105,7.48e-05
70,6.97265625,0.187266036,4.56e-05
71,7.072265625,0.182746444,4.4e-06
72,7.171875,0.186926758,4.3e-05
73,7.271484375,0.191453553,4.25e-05
74,7.37109375,0.187841826,6.5e-05
75,7.470703125,0.190207822,2e-05
76,7.5703125,0.185168989,6.27e-05
77,7.669921875,0.185084151,3.72e-05
78,7.76953125,0.186737263,4.46e-05
79,7.869140625,0.181369775,2e-05
80,7.96875,0.18671577,3.14e-05
81,8.068359375,0.183679571,3.19e-05
82,8.16796875,0.187184341,6.47e-05
83,8.267578125,0.186546415,3.35e-05
84,8.3671875,0.188744467,1.93e-05
85,8.466796875,0.190678926,3.04e-05
86,8.56640625,0.188660211,5.27e-05
87,8.666015625,0.187865488,6.47e-05
88,8.765625,0.185724246,5.58e-05
89,8.865234375,0.182088028,5.26e-05
90,8.96484375,0.183590615,4.48e-05
91,9.064453125,0.187052283,7.67e-05
92,9.1640625,0.187141603,3.12e-05
93,9.263671875,0.18314214,-3.01e-05
94,9.36328125,0.188651829,3.18e-05
95,9.462890625,0.183006239,9.43e-05
96,9.5625,0.18595485,3.18e-05
97,9.662109375,0.187046622,7.7e-05
98,9.76171875,0.187601428,3.17e-05
99,9.861328125,0.180742412,3.28e-05
100,9.9609375,0.187019119,3.43e-05
101,10.06054688,0.187408907,4.41e-05
102,10.16015625,0.185017925,3.16e-05
103,10.25976563,0.183163094,-3.73e-06
104,10.359375,0.188733917,6.5e-05
105,10.45898438,0.186977282,3.17e-05
106,10.55859375,0.186937337,3.26e-05
107,10.65820313,0.183676966,-1.21e-06
108,10.7578125,0.189395505,6.49e-05
109,10.85742188,0.184388453,2.18e-05
110,10.95703125,0.190022198,4.46e-05
111,11.05664063,0.188608392,-1.77e-06
112,11.15625,0.187777536,6.45e-05
113,11.25585938,0.1856374,5.97e-05
114,11.35546875,0.18282955,6.48e-05
115,11.45507813,0.185811106,-1.72e-06
116,11.5546875,0.18400549,5.44e-05
117,11.65429688,0.186008008,3e-05
118,11.75390625,0.18440187,4.08e-05
119,11.85351563,0.184079749,5.12e-05
120,11.953125,0.185214958,5.23e-05
121,12.05273438,0.184111937,6.36e-05
122,12.15234375,0.186518213,3.26e-05
123,12.25195313,0.187701706,5.74e-05
124,12.3515625,0.183867407,4.23e-05
125,12.45117188,0.187487443,6.43e-05
126,12.55078125,0.186207122,2.17e-06
127,12.65039063,0.183871918,6.42e-05
128,12.75,0.184318807,2.25e-05
129,12.84960938,0.181685231,5.48e-05
130,12.94921875,0.192170541,2.51e-05
131,13.04882813,0.186425081,3.14e-05
132,13.1484375,0.189020604,2.19e-05
133,13.24804688,0.189008904,3.5e-05
134,13.34765625,0.189880011,4.43e-05
135,13.44726563,0.18742161,3.14e-05
136,13.546875,0.18773129,6.4e-05
137,13.64648438,0.187720361,5.16e-05
138,13.74609375,0.184478238,6.46e-05
139,13.84570313,0.187138663,8.78e-06
140,13.9453125,0.186971942,1.41e-05
141,14.04492188,0.188445469,3.07e-05
142,14.14453125,0.185743425,2.12e-06
143,14.24414063,0.184006989,3.12e-05
144,14.34375,0.185386685,3.12e-05
145,14.44335938,0.185962665,3.12e-05
146,14.54296875,0.184355245,3.02e-05
147,14.64257813,0.187604135,5.46e-05
148,14.7421875,0.182125252,3.47e-05
149,14.84179688,0.186969017,8.32e-05
150,14.94140625,0.186622565,3.85e-05
151,15.04101563,0.187683981,6.39e-05
152,15.140625,0.186656034,4.21e-05
153,15.24023438,0.183784257,4e-05
154,15.33984375,0.185608835,3.11e-05
155,15.43945313,0.187580226,2.78e-05
156,15.5390625,0.188060978,3.09e-05
157,15.63867188,0.195371278,6.12e-05
158,15.73828125,0.185578057,3.1e-05
159,15.83789063,0.185973724,8.45e-06
160,15.9375,0.186833262,6.21e-05
161,16.03710938,0.189671657,-2.28e-06
162,16.13671875,0.183757409,4.19e-05
163,16.23632813,0.186211371,5.17e-05
164,16.3359375,0.183751254,4.5e-05
165,16.43554688,0.185376004,3.19e-05
166,16.53515625,0.189405284,3.04e-05
167,16.63476563,0.188067759,-3.03e-06
168,16.734375,0.183220633,6.37e-05
169,16.83398438,0.186197693,5.57e-05
170,16.93359375,0.185522847,3.09e-05
171,17.03320313,0.188772305,3.29e-05
172,17.1328125,0.185333163,3.09e-05
173,17.23242188,0.182881369,1.04e-05
174,17.33203125,0.187749494,3.08e-05
175,17.43164063,0.186244346,4.17e-05
176,17.53125,0.183125245,1.86e-05
177,17.63085938,0.187238664,2.98e-05
178,17.73046875,0.185313824,3.38e-05
179,17.83007813,0.186550358,3.08e-05
180,17.9296875,0.187162092,3.02e-05
181,18.02929688,0.186315679,6.35e-05
182,18.12890625,0.184051227,3.59e-05
183,18.22851563,0.190707782,6.35e-05
184,18.328125,0.185256009,3.96e-07
185,18.42773438,0.187419922,3.08e-05
186,18.52734375,0.181421841,5.46e-05
187,18.62695313,0.187035126,3.01e-05
188,18.7265625,0.187344791,6.34e-05
189,18.82617188,0.186131205,3.06e-05
190,18.92578125,0.186850011,2.91e-05
191,19.02539063,0.185042285,-1.3e-06
192,19.125,0.186502657,1.22e-05
193,19.22460938,0.186227087,3.05e-05
194,19.32421875,0.186312609,2.63e-05
195,19.42382813,0.182735253,-2.01e-05
196,19.5234375,0.182719305,3.05e-05
197,19.62304688,0.182844131,2.94e-05
198,19.72265625,0.187605707,8.59e-06
199,19.82226563,0.183067968,2.31e-05
200,19.921875,0.187177895,3.05e-05
201,20.02148438,0.184870107,3.05e-05
202,20.12109375,0.185789366,5.36e-06
203,20.22070313,0.185314464,3.05e-05
204,20.3203125,0.182300981,3.1e-05
205,20.41992188,0.183701646,2.97e-05
206,20.51953125,0.184709526,1.73e-05
207,20.61914063,0.188784208,5.12e-05
208,20.71875,0.185971527,6.33e-06
209,20.81835938,0.184904202,4.33e-05
210,20.91796875,0.185285258,3.35e-05
211,21.01757813,0.19035743,5.07e-05
212,21.1171875,0.183255965,3.18e-05
213,21.21679688,0.185497396,3.03e-05
214,21.31640625,0.184293312,6.32e-05
215,21.41601563,0.184860051,9.69e-05
216,21.515625,0.184226126,7.09e-05
217,21.61523438,0.18986754,2.97e-05
218,21.71484375,0.185446144,4.53e-05
219,21.81445313,0.184866818,5.05e-05
220,21.9140625,0.187859085,5e-05
221,22.01367188,0.184012359,1.24e-05
222,22.11328125,0.190379506,3.02e-05
223,22.21289063,0.185439494,4.74e-05
224,22.3125,0.182144169,4.99e-05
225,22.41210938,0.186685051,2.33e-08
226,22.51171875,0.188676975,3.12e-05
227,22.61132813,0.188301216,4.21e-05
228,22.7109375,0.188328515,3.32e-05
229,22.81054688,0.186122546,4e-05
230,22.91015625,0.187438025,3.01e-05
231,23.00976563,0.184261837,-1.16e-07
232,23.109375,0.185083161,4.1e-05
233,23.20898438,0.187629281,2.94e-05
234,23.30859375,0.183298805,3.89e-05
235,23.40820313,0.18467044,5.34e-05
236,23.5078125,0.189459694,6.03e-06
237,23.60742188,0.188958278,5.3e-05
238,23.70703125,0.185105135,7.15e-06
239,23.80664063,0.184854085,3e-05
240,23.90625,0.187778467,1.68e-05
241,24.00585938,0.188229184,2.99e-05
242,24.10546875,0.188645659,2.78e-05
243,24.20507813,0.184226068,7.2e-05
244,24.3046875,0.190035702,2.78e-05
245,24.40429688,0.186358098,-2.93e-06
246,24.50390625,0.186299701,6.2e-05
247,24.60351563,0.186658959,2.16e-05
248,24.703125,0.187958183,2.98e-05
249,24.80273438,0.186919831,2.97e-05
250,24.90234375,0.187817801,3.86e-05
251,25.00195313,0.185304816,2.66e-05
252,25.1015625,0.183814569,1.93e-05
253,25.20117188,0.181250332,2.98e-05
254,25.30078125,0.186598845,4.9e-05
255,25.40039063,0.192452891,2.97e-05
256,25.5,0.184572782,9.92e-06
257,25.59960938,0.183826851,2.92e-05
258,25.69921875,0.18271232,1.93e-05
259,25.79882813,0.187738537,4.95e-05
260,25.8984375,0.185283643,5.17e-06
261,25.99804688,0.185926692,2.94e-05
262,26.09765625,0.186889258,8.86e-05
263,26.19726563,0.184679855,3.01e-05
264,26.296875,0.19202035,2.01e-05
265,26.39648438,0.186397796,2.95e-05
266,26.49609375,0.183486729,7.33e-05
267,26.59570313,0.186187186,2.95e-05
268,26.6953125,0.186764155,8.17e-06
269,26.79492188,0.187195066,5.4e-05
270,26.89453125,0.191791347,4.31e-05
271,26.99414063,0.187931146,2.64e-05
272,27.09375,0.18721848,3.2e-05
273,27.19335938,0.187494559,1.77e-06
274,27.29296875,0.187823025,2.63e-05
275,27.39257813,0.188318401,5.03e-05
276,27.4921875,0.187828758,2.12e-05
277,27.59179688,0.186713529,8.61e-06
278,27.69140625,0.18269835,5.01e-05
279,27.79101563,0.183521901,4.92e-05
280,27.890625,0.183811906,2.93e-05
281,27.99023438,0.186476289,1.95e-05
282,28.08984375,0.186725214,1.8e-05
283,28.18945313,0.185475161,3.71e-05
284,28.2890625,0.188672857,3.76e-05
285,28.38867188,0.186712001,4.08e-05
286,28.48828125,0.184511911,2.92e-05
287,28.58789063,0.185915254,3.25e-05
288,28.6875,0.186394434,6.26e-05
289,28.78710938,0.185198238,-1e-06
290,28.88671875,0.185252429,2.92e-05
291,28.98632813,0.185779572,3.14e-05
292,29.0859375,0.181576877,4.02e-05
293,29.18554688,0.186855817,4.07e-05
294,29.28515625,0.186740435,4.24e-06
295,29.38476563,0.186340418,2.87e-05
296,29.484375,0.186924983,2.92e-05
297,29.58398438,0.180667397,2.92e-05
298,29.68359375,0.189054394,1.66e-05
299,29.78320313,0.188029851,1.61e-05
300,29.8828125,0.185386089,5.61e-05
301,29.98242188,0.187274825,3.17e-05
302,30.08203125,0.183279059,2.86e-05
303,30.18164063,0.190043647,6.24e-05
304,30.28125,0.189701226,2.9e-05
305,30.38085938,0.183750642,8.63e-05
306,30.48046875,0.187871949,6.5e-05
307,30.58007813,0.186056059,3.83e-05
308,30.6796875,0.184865916,2.53e-05
309,30.77929688,0.185822704,-1.28e-06
310,30.87890625,0.184475211,2.58e-05
311,30.97851563,0.18933363,1.7e-05
312,31.078125,0.189316808,1.65e-05
313,31.17773438,0.188032107,5.29e-05
314,31.27734375,0.183927026,3.62e-05
315,31.37695313,0.185405734,2.89e-05
316,31.4765625,0.185346478,2.1e-05
317,31.57617188,0.185284749,2.89e-05
318,31.67578125,0.187636542,4.84e-06
319,31.77539063,0.190039354,5.84e-05
320,31.875,0.187940066,3.25e-05
321,31.97460938,0.186207981,2.83e-05
322,32.07421875,0.189792016,2.88e-05
323,32.17382813,0.183569224,1.2e-05
324,32.2734375,0.185306752,3.12e-05
325,32.37304688,0.182566466,-2.05e-06
326,32.47265625,0.186162986,3.23e-05
327,32.57226563,0.186312856,6.24e-06
328,32.671875,0.186872727,2.86e-05
329,32.77148438,0.185724843,2.58e-06
330,32.87109375,0.190205494,3.12e-05
331,32.97070313,0.184165299,-1.16e-07
332,33.0703125,0.184749166,2.75e-05
333,33.16992188,0.189848884,2.54e-05
334,33.26953125,0.187036872,3.75e-05
335,33.36914063,0.191981322,8.79e-05
336,33.46875,0.187726619,2.96e-05
337,33.56835938,0.185179073,3.01e-05
338,33.66796875,0.184899225,6.14e-05
339,33.76757813,0.18715694,4.89e-05
340,33.8671875,0.185771336,2.54e-05
341,33.96679688,0.185010096,2.85e-05
342,34.06640625,0.185292942,2.38e-05
343,34.16601563,0.188306454,2.84e-05
344,34.265625,0.188166305,2.85e-05
345,34.36523438,0.190357532,2.85e-05
346,34.46484375,0.188173595,4.04e-05
347,34.56445313,0.187368569,-5.03e-06
348,34.6640625,0.185244309,2.84e-05
349,34.76367188,0.187381083,5.29e-05
