,Time[sec],Top_Inplane_Disp[mm],Top_Inplane_Rotation[%rad]
0,0.0,-0.000146892,0.0
1,0.099609375,0.006054297,1.44e-05
2,0.19921875,-0.000330795,4.71e-05
3,0.298828125,0.002309452,5.69e-05
4,0.3984375,-0.004440253,4.69e-05
5,0.498046875,-0.000763871,4.71e-05
6,0.59765625,-0.003302407,1.91e-05
7,0.697265625,-0.001702265,2.85e-05
8,0.796875,-0.000207567,5.15e-05
9,0.896484375,-0.000414167,7.7e-05
10,0.99609375,0.003130977,3.41e-05
11,1.095703125,-0.002740069,8.11e-05
12,1.1953125,-0.002176545,6.01e-05
13,1.294921875,0.003290206,1.73e-05
14,1.39453125,0.00144017,2.54e-05
15,1.494140625,0.000218007,2.63e-05
16,1.59375,-0.001676889,4.42e-05
17,1.693359375,0.004925813,1.44e-05
18,1.79296875,-0.002262432,2.67e-05
19,1.892578125,-0.001126528,4.48e-05
20,1.9921875,-0.001095069,3.85e-05
21,2.091796875,0.000527437,5.1e-05
22,2.19140625,0.002344466,3.78e-05
23,2.291015625,-0.000738013,2.41e-05
24,2.390625,-0.005747709,1.56e-06
25,2.490234375,-2.08e-05,4.36e-05
26,2.58984375,-0.001547475,6.88e-05
27,2.689453125,0.001568427,1.75e-05
28,2.7890625,0.004356807,5.77e-05
29,2.888671875,-0.002287121,1.47e-05
30,2.98828125,-0.002235492,1.85e-05
31,3.087890625,0.001414781,3.87e-05
32,3.1875,0.003600349,4.67e-05
33,3.287109375,0.000556371,1.43e-05
34,3.38671875,0.00065834,1.48e-05
35,3.486328125,0.000564954,1.38e-05
36,3.5859375,-0.00033181,3.83e-05
37,3.685546875,-0.003307308,1.39e-05
38,3.78515625,0.005617419,3.51e-05
39,3.884765625,0.000543424,1.44e-05
40,3.984375,-0.001010873,1.34e-05
41,4.083984375,-0.001086816,1.72e-05
42,4.18359375,-0.000465367,1.39e-05
43,4.283203125,0.00343674,1.39e-05
44,4.3828125,0.000973846,1.32e-05
45,4.482421875,0.000602085,1.4e-05
46,4.58203125,0.002751058,4.32e-05
47,4.681640625,0.004199412,1.46e-05
48,4.78125,-0.001035197,1.27e-05
49,4.880859375,-0.001550246,1.75e-05
50,4.98046875,-0.001525604,2.25e-05
51,5.080078125,-0.000159789,1.4e-05
52,5.1796875,0.001036174,2.32e-05
53,5.279296875,0.000507337,3.2e-05
54,5.37890625,-0.000400472,4.63e-05
55,5.478515625,-0.002070078,1.04e-05
56,5.578125,-0.00381714,4.01e-05
57,5.677734375,0.001534222,4.75e-05
58,5.77734375,0.00042526,1.78e-05
59,5.876953125,-0.001180469,-1.47e-05
60,5.9765625,-0.000198399,1.23e-05
61,6.076171875,0.001686037,-6.15e-06
62,6.17578125,0.00845363,1.39e-05
63,6.275390625,-0.002428509,3.73e-05
64,6.375,0.003165216,2.2e-05
65,6.474609375,0.001809345,4.68e-05
66,6.57421875,0.000481499,3.85e-05
67,6.673828125,-0.000577608,1.75e-05
68,6.7734375,0.002968933,-6.95e-06
69,6.873046875,0.001329468,5.46e-05
70,6.97265625,-0.00072829,2.3e-05
71,7.072265625,0.000466228,2.38e-05
72,7.171875,-0.000707553,3.48e-05
73,7.271484375,0.002647892,5e-05
74,7.37109375,-0.003221729,3.43e-05
75,7.470703125,0.004102381,1.4e-05
76,7.5703125,-0.000661321,1.33e-05
77,7.669921875,0.005071978,3.58e-05
78,7.76953125,-0.00070485,4.69e-06
79,7.869140625,-0.002316488,2.81e-05
80,7.96875,0.004489321,5.07e-05
81,8.068359375,-0.00223513,1.36e-05
82,8.16796875,0.000827621,1.37e-05
83,8.267578125,0.000778109,5.38e-06
84,8.3671875,-0.002480458,4.7e-05
85,8.466796875,0.003030851,4.29e-05
86,8.56640625,0.001238865,2.5e-05
87,8.666015625,-0.001700644,5.18e-06
88,8.765625,0.000648207,1.32e-05
89,8.865234375,-0.003462729,2.92e-05
90,8.96484375,0.001015099,1.46e-05
91,9.064453125,0.002017577,3.2e-05
92,9.1640625,0.00077583,1.29e-05
93,9.263671875,-0.00324731,1.13e-05
94,9.36328125,-0.00036985,4.08e-05
95,9.462890625,0.00181623,-7.58e-06
96,9.5625,0.001148575,1.68e-05
97,9.662109375,0.002980858,-6.9e-06
98,9.76171875,0.003637017,1.21e-05
99,9.861328125,-0.002614297,1.32e-05
100,9.9609375,-0.001053909,2.4e-05
101,10.06054688,-0.001148203,-7.8e-06
102,10.16015625,0.001069483,1.33e-05
103,10.25976563,-0.00109086,1.24e-05
104,10.359375,0.001865239,8.31e-06
105,10.45898438,-0.000745389,2.53e-05
106,10.55859375,-0.002844296,-6.18e-06
107,10.65820313,0.004339626,1.7e-05
108,10.7578125,0.001098494,1.39e-05
109,10.85742188,0.002751447,1.38e-05
110,10.95703125,-0.00093856,1.82e-05
111,11.05664063,-0.000422913,-1.55e-05
112,11.15625,-0.001920925,1.4e-05
113,11.25585938,-0.004284834,1.33e-05
114,11.35546875,0.002356652,1.41e-05
115,11.45507813,0.00117073,1.27e-05
116,11.5546875,0.002778954,1.43e-05
117,11.65429688,-0.00405147,2.25e-05
118,11.75390625,0.002206529,9.24e-06
119,11.85351563,-0.003962375,1.26e-05
120,11.953125,-0.001996141,1.27e-06
121,12.05273438,0.000975641,2.19e-05
122,12.15234375,0.002357692,4.51e-05
123,12.25195313,0.001557311,4.62e-05
124,12.3515625,0.004192361,1.31e-05
125,12.45117188,0.000829313,5.46e-06
126,12.55078125,0.002699303,1.76e-05
127,12.65039063,0.001712252,4.97e-06
128,12.75,0.000711875,2.21e-05
129,12.84960938,0.001400232,4.21e-05
130,12.94921875,0.000958271,-1.12e-05
131,13.04882813,0.001596994,3.2e-05
132,13.1484375,-6.09e-05,-9.39e-06
133,13.24804688,0.002828903,1.05e-05
134,13.34765625,-0.001211256,2.84e-05
135,13.44726563,-0.001371185,-1.55e-05
136,13.546875,-0.003162071,-7.17e-06
137,13.64648438,-0.001837077,-9.32e-06
138,13.74609375,0.002558572,1.25e-05
139,13.84570313,0.004588686,1.31e-05
140,13.9453125,0.000668579,1.3e-05
141,14.04492188,0.002341143,1.29e-05
142,14.14453125,0.00153593,-1.69e-05
143,14.24414063,0.000562722,1.27e-05
144,14.34375,-0.00020163,1.34e-05
145,14.44335938,-0.003247935,1.31e-05
146,14.54296875,0.000805032,-9.1e-06
147,14.64257813,-0.000187904,-1.78e-05
148,14.7421875,-0.00029054,-1.69e-05
149,14.84179688,-0.004506631,1.8e-06
150,14.94140625,-0.001180393,-4.33e-06
151,15.04101563,-0.00157147,-2.09e-05
152,15.140625,0.005147444,-2.66e-05
153,15.24023438,0.001393093,2.03e-05
154,15.33984375,-0.001078255,2.49e-05
155,15.43945313,-0.004651452,1.87e-06
156,15.5390625,-0.001847341,-3.48e-05
157,15.63867188,-0.001961979,-2.97e-05
158,15.73828125,0.002649413,8.38e-06
159,15.83789063,0.00197671,1.84e-05
160,15.9375,0.000549709,1.22e-05
161,16.03710938,0.002416538,3.25e-06
162,16.13671875,-0.002252242,3.37e-05
163,16.23632813,-0.000404164,1.25e-05
164,16.3359375,0.004340913,1.28e-05
165,16.43554688,-4.43e-05,-8.16e-06
166,16.53515625,-0.00019608,4.25e-05
167,16.63476563,0.00158117,-2.06e-05
168,16.734375,0.000161655,1.24e-05
169,16.83398438,-0.000489476,4.54e-05
170,16.93359375,-0.002187969,9.52e-06
