u1,u2,p1,p2
0.1627671096693584,9.8563886680807,2500000.0000000005,4330127.018922193
0.3255342193387168,19.7127773361614,5000000.000000001,8660254.037844386
0.4883013290080752,29.5691660042421,7500000.000000002,12990381.05676658
0.6510684386774336,39.4255546723228,10000000.000000002,17320508.075688772
0.813835548346792,49.281943340403494,12500000.000000002,21650635.094610967
0.9766026580161503,59.13833200848419,15000000.000000004,25980762.11353316
1.1393697676855088,68.9947206765649,17500000.000000004,30310889.132455356
1.3021368773548672,78.8511093446456,20000000.000000004,34641016.151377544
1.4649039870242255,88.70749801272629,22500000.000000004,38971143.17029974
1.627671096693584,98.56388668080699,25000000.000000004,43301270.18922193
1.7904382063629423,108.42027534888769,27500000.000000007,47631397.20814413
1.9532053160323006,118.27666401696838,30000000.000000007,51961524.22706632
2.115972425701659,128.13305268504908,32500000.000000007,56291651.24598851
2.2787395353710176,137.9894413531298,35000000.00000001,60621778.26491071
2.441506645040376,147.8458300212105,37500000.00000001,64951905.28383289
2.6042737547097348,157.70221868929121,40000000.00000001,69282032.30275509
2.7670408643790934,167.55860735737193,42500000.00000001,73612159.3216773
2.929807974048452,177.41499602545264,45000000.00000001,77942286.34059948
3.0925750837178105,187.27138469353335,47500000.00000001,82272413.35952167
3.255342193387169,197.12777336161406,50000000.00000001,86602540.37844387
