u1,u2,p1,p2
0.5562554640233766,19.530578691089037,5000000.000000001,8660254.037844386
1.5506549214629322,38.71660774498033,10000000.000000002,17320508.075688772
2.9509864090273266,57.58538361516038,15000000.000000004,25980762.11353316
4.727940832856455,76.16148016176312,20000000.000000004,34641016.151377544
6.854599504901515,94.4671675272063,25000000.000000004,43301270.18922193
9.306313484141867,112.52259125937229,30000000.000000007,51961524.22706632
12.05996916066099,130.34627918926802,35000000.00000001,60621778.26491071
15.097391410272117,147.95346985430479,40000000.00000001,69282032.30275509
18.397996908181412,165.360076974696,45000000.00000001,77942286.34059948
21.945588636735724,182.57918997947772,50000000.00000001,86602540.37844387
25.724564576176288,199.623123564009,55000000.000000015,95262794.41628826
29.720487421870995,216.50316709099772,60000000.000000015,103923048.45413265
33.92000815788779,233.22967145961667,65000000.000000015,112583302.49197702
38.310815033129515,249.81212182892568,70000000.00000001,121243556.52982143
42.881568345115916,266.2592152718599,75000000.00000001,129903810.56766579
47.62180490098279,282.5789508868458,80000000.00000001,138564064.60551018
52.52181403697855,298.7787321029152,85000000.00000001,147224318.6433546
57.57343142872027,314.86473349495816,90000000.00000001,155884572.68119895
62.76694152195584,330.84412725412693,95000000.00000001,164544826.71904334
68.09516738953641,346.7223154053706,100000000.00000001,173205080.75688773
