u1,u2,p1,p2
1.551051758752771,38.71638190213414,10000000.000000002,17320508.075688772
4.728273118902328,76.16132525848423,20000000.000000004,34641016.151377544
9.305770315461036,112.52289666797598,30000000.000000007,51961524.22706632
15.097307502947693,147.95347048974816,40000000.00000001,69282032.30275509
21.945642097832955,182.57914598377494,50000000.00000001,86602540.37844387
29.7205136016862,216.5031456599095,60000000.000000015,103923048.45413265
38.310836536391015,249.8121119075783,70000000.00000001,121243556.52982143
47.6216332980182,282.5790587730175,80000000.00000001,138564064.60551018
57.57343317566817,314.86471839924366,90000000.00000001,155884572.68119895
68.0950092210654,346.7225263968336,100000000.00000001,173205080.75688773
79.12635783803132,378.1972258586581,110000000.00000003,190525588.8325765
90.61606875113831,409.32655241350176,120000000.00000003,207846096.9082653
102.51670706804954,440.1455943663522,130000000.00000003,225166604.98395404
114.788683273162,470.68291381072294,140000000.00000003,242487113.05964285
127.39722980124694,500.9634744878816,150000000.00000003,259807621.13533157
140.3110449649673,531.0096891780557,160000000.00000003,277128129.21102035
153.50119994130128,560.8422794980818,170000000.00000003,294448637.2867092
166.94368375886634,590.4781067985207,180000000.00000003,311769145.3623979
180.61644124787958,619.9326707675476,190000000.00000003,329089653.4380867
194.4995006147384,649.2199533672896,200000000.00000003,346410161.51377547
