u1,u2,p1,p2
0.8138355483467734,49.28194334040353,12500000.000000004,21650635.094610967
1.6276710966935468,98.56388668080706,25000000.000000007,43301270.18922193
2.4415066450403202,147.8458300212106,37500000.000000015,64951905.28383289
3.2553421933870936,197.12777336161412,50000000.000000015,86602540.37844387
4.069177741733867,246.40971670201765,62500000.000000015,108253175.47305484
45.970994649445046,263.16229398097596,75000000.00000003,129903810.56766579
53.103880208932225,306.79887115696397,87500000.00000003,151554445.66227674
82.41422182939549,336.21764890487793,100000000.00000003,173205080.75688773
71.26214068683856,389.2714304260993,112500000.00000003,194855715.8514987
96.62114949586726,424.84791000668105,125000000.00000003,216506350.94610968
131.80349064949849,446.3324271093819,137500000.00000003,238156986.0407206
121.30883443612775,502.48982567760805,150000000.00000006,259807621.13533157
146.59058888133205,537.8307547474947,162500000.00000006,281458256.22994256
160.73669023856155,578.0220316543105,175000000.00000006,303108891.3245535
174.83411466472361,617.2267140359663,187500000.00000006,324759526.4191645
189.85092258525475,655.6347108160751,200000000.00000006,346410161.51377547
206.15044475110204,693.5468754161727,212500000.00000006,368060796.6083864
223.59477681604994,731.079733793584,225000000.00000006,389711431.7029974
241.1901521893175,768.6246492147843,237500000.00000006,411362066.7976083
258.90436258490826,805.8800269516628,250000000.00000006,433012701.89221936
