u1,u2,p1,p2
0.01686900679868129,0.9851703433756324,250000.00000000006,433012.7018922193
0.03491854381464581,1.9694068314775521,500000.0000000001,866025.4037844386
0.054143874336751996,2.95271351824262,750000.0000000002,1299038.105676658
0.07454028957055193,3.9350944320942203,1000000.0000000002,1732050.8075688772
0.0961031046071936,4.916553578438475,1250000.0000000002,2165063.5094610965
0.11882765910366717,5.897094939355778,1500000.0000000005,2598076.211353316
0.1427093171797883,6.876722473727264,1750000.0000000005,3031088.913245535
0.1677434673253884,7.855440117376139,2000000.0000000005,3464101.6151377545
0.19392552229400675,8.833251783200904,2250000.0000000005,3897114.317029974
0.22125091900490473,9.810161361317428,2500000.0000000005,4330127.018922193
0.2497151184368437,10.786172719189677,2750000.0000000005,4763139.720814412
0.2793136055265665,11.761289701773817,3000000.000000001,5196152.422706632
0.3100418890573312,12.735516131652862,3250000.000000001,5629165.124598851
0.34189550155676124,13.70885580917958,3500000.000000001,6062177.82649107
0.37486999918314967,14.681312512608363,3750000.000000001,6495190.528383289
0.40896096161840456,15.652889998244682,4000000.000000001,6928203.230275509
0.44416399195093537,16.623592000576124,4250000.000000001,7361215.932167728
0.48047471656965307,17.59342223242163,4500000.000000001,7794228.634059948
0.5178887850428364,18.56238438506088,4750000.000000001,8227241.335952167
0.556401870003679,19.53048212838791,5000000.000000001,8660254.037844386
