u1,u2,p1,p2
1.6276710966935468,98.56388668080706,25000000.000000007,43301270.18922193
3.2553421933870936,197.12777336161412,50000000.000000015,86602540.37844387
4.8830132900806404,295.6916600424212,75000000.00000003,129903810.56766579
6.510684386774187,394.25554672322824,100000000.00000003,173205080.75688773
152.99201840259323,396.4900420990702,125000000.00000003,216506350.94610968
145.98337407448622,502.37789708586143,150000000.00000006,259807621.13533157
181.93658469447314,573.2900786430274,175000000.00000006,303108891.3245535
218.5124802573308,645.4191451116062,200000000.00000006,346410161.51377547
223.1955472917624,731.3757277654084,225000000.00000006,389711431.7029974
262.5730334604144,803.2565387619145,250000000.00000006,433012701.89221936
296.71564688466174,877.8934550506632,275000000.00000006,476313972.0814412
324.61945391692615,954.8205478012816,300000000.0000001,519615242.27066314
421.2305836624728,990.7354832580925,325000000.0000001,562916512.4598851
406.6032773882643,1075.258443421152,350000000.0000001,606217782.649107
420.5583052828188,1164.4961600533345,375000000.0000001,649519052.838329
537.0730175467568,1200.4845381268526,400000000.0000001,692820323.0275509
567.6484470091068,1271.4847587051195,425000000.0000001,736121593.2167728
587.5577268499216,1354.777523454483,450000000.0000001,779422863.4059948
631.3433430628395,1422.2129594296375,475000000.0000001,822724133.5952166
666.6369450437546,1489.5429529303515,500000000.0000001,866025403.7844387
