u1,u2,p1,p2
0.2218811129034982,9.809796862039818,2500000.0000000005,4330127.018922193
0.5563244101734266,19.530537076466167,5000000.000000001,8660254.037844386
1.0009388917955904,29.164790097283294,7500000.000000002,12990381.05676658
1.5509200547817283,38.71645559870244,10000000.000000002,17320508.075688772
2.20232450708793,48.18886127676552,12500000.000000002,21650635.094610967
2.951389956747966,57.585164229925084,15000000.000000004,25980762.11353316
3.7945223471934177,66.90836275339777,17500000.000000004,30310889.132455356
4.728286640935842,76.16130564853155,20000000.000000004,34641016.151377544
5.749400670816488,85.34669961610177,22500000.000000004,38971143.17029974
6.854730560835685,94.46711569955475,25000000.000000004,43301270.18922193
8.041286409431299,103.52499551376745,27500000.000000007,47631397.20814413
9.30621734496764,112.52265768618722,30000000.000000007,51961524.22706632
10.646805541195059,121.46230464632374,32500000.000000007,56291651.24598851
12.060459199691914,130.3460296820368,35000000.00000001,60621778.26491071
13.544704800711752,139.17582405537084,37500000.00000001,64951905.28383289
15.097179074725673,147.95358392988763,40000000.00000001,69282032.30275509
16.71562116791629,156.68111688508318,42500000.00000001,73612159.3216773
18.397865399103765,165.36014785658637,45000000.00000001,77942286.34059948
20.141834872662095,173.99232442010822,47500000.00000001,82272413.35952167
21.945536060660697,182.57922141405223,50000000.00000001,86602540.37844387
