u1,u2,p1,p2
0.5562554640233766,19.530578691089037,5000000.000000001,8660254.037844386
1.5506549214629322,38.71660774498033,10000000.000000002,17320508.075688772
2.9509864090273266,57.58538361516038,15000000.000000004,25980762.11353316
4.727940832856455,76.16148016176312,20000000.000000004,34641016.151377544
6.854599504901515,94.4671675272063,25000000.000000004,43301270.18922193
9.306313484141867,112.52259125937229,30000000.000000007,51961524.22706632
12.0606768136953,130.34590683441763,35000000.00000001,60621778.26491071
15.097389935209058,147.95347048312468,40000000.00000001,69282032.30275509
18.397996909880916,165.36007697405256,45000000.00000001,77942286.34059948
21.945588636734776,182.57918997947863,50000000.00000001,86602540.37844387
25.724564576175165,199.62312356401017,55000000.000000015,95262794.41628826
29.722343286965945,216.50155113222934,60000000.000000015,103923048.45413265
33.920952715956844,233.22905707899963,65000000.000000015,112583302.49197702
38.309136338013055,249.81240222891,70000000.00000001,121243556.52982143
42.881571974281286,266.2592137114533,75000000.00000001,129903810.56766579
47.621804894392234,282.57895088962664,80000000.00000001,138564064.60551018
52.52181403699074,298.77873210290977,85000000.00000001,147224318.6433546
57.57249421399616,314.86547835946027,90000000.00000001,155884572.68119895
62.76519815781722,330.8457441195195,95000000.00000001,164544826.71904334
68.09157222505661,346.7258435711881,100000000.00000001,173205080.75688773
