,Rotation,Base moment [kN.m],Axial_Disp. [mm]
0,4.85545e-05,-37.54056396,-0.613284938
1,4.75618e-05,-36.81607585,-0.613776385
2,4.73305e-05,-36.0785783,-0.61576697
3,4.77886e-05,-35.59375349,-0.617790327
4,4.69541e-05,-35.40192976,-0.621307117
5,4.74973e-05,-35.3636199,-0.624690496
6,4.91739e-05,-35.39791338,-0.627273868
7,4.83846e-05,-35.38226052,-0.630446535
8,4.80012e-05,-35.42987688,-0.633417512
9,4.79798e-05,-35.4383919,-0.636226847
10,4.77277e-05,-35.44049366,-0.639275182
11,4.80587e-05,-35.41655194,-0.642154599
12,4.8336e-05,-35.32107459,-0.645275752
13,4.75516e-05,-35.2678321,-0.64795441
14,4.75429e-05,-35.20858383,-0.651277485
15,4.91188e-05,-35.29038963,-0.654295727
16,4.75892e-05,-35.34083822,-0.657268451
17,4.81461e-05,-35.30431973,-0.659960438
18,4.83275e-05,-35.24580077,-0.663228566
19,4.74381e-05,-35.2093666,-0.665946805
20,4.74553e-05,-35.27395222,-0.668776222
21,4.91146e-05,-35.26424849,-0.671300048
22,4.75779e-05,-35.24381899,-0.674594718
23,4.79545e-05,-35.19840321,-0.677774718
24,4.71812e-05,-35.16697092,-0.680666999
25,4.86974e-05,-35.14032244,-0.683471386
26,4.73891e-05,-35.11812336,-0.686735497
27,4.85341e-05,-35.0926058,-0.689268403
28,4.87091e-05,-35.11973551,-0.69276744
29,4.84578e-05,-35.08579989,-0.695427181
30,4.66003e-05,-35.07749978,-0.698792923
31,4.81167e-05,-34.99992065,-0.701588171
32,4.7401e-05,-34.99302485,-0.704605656
33,4.83836e-05,-35.00447276,-0.707650383
34,4.72518e-05,-35.00782238,-0.71091397
35,4.73725e-05,-34.97290838,-0.713727321
36,4.79474e-05,-34.952743,-0.716742477
37,4.66544e-05,-34.95896869,-0.719798554
38,4.87845e-05,-35.01998224,-0.723636651
39,4.61601e-05,-34.97054434,-0.725462625
40,4.75936e-05,-34.93992702,-0.728586223
41,4.74167e-05,-34.99166216,-0.73177513
42,4.70361e-05,-35.09211743,-0.735165668
43,4.75212e-05,-35.09267047,-0.737784023
44,4.83684e-05,-34.98655638,-0.740417163
45,4.82817e-05,-34.98423701,-0.743767479
46,4.71338e-05,-35.06279118,-0.746275589
47,4.72066e-05,-35.11367276,-0.750235922
48,4.78718e-05,-35.08733464,-0.752971275
49,4.64006e-05,-35.10296617,-0.755611574
50,4.79391e-05,-35.14077908,-0.758738606
51,4.76326e-05,-35.11296632,-0.762157491
52,4.67532e-05,-35.07129116,-0.764784403
53,4.78828e-05,-35.04893699,-0.767633377
54,4.72034e-05,-35.05343206,-0.770408253
55,4.66449e-05,-35.06466214,-0.773828942
56,4.68832e-05,-35.02599874,-0.776729197
57,4.79889e-05,-35.05915739,-0.779304886
58,4.76954e-05,-35.04055896,-0.782781688
59,4.74574e-05,-35.02959436,-0.786006625
60,4.79095e-05,-35.03222799,-0.788472127
61,4.82651e-05,-35.12423654,-0.791362254
62,4.73876e-05,-35.19027568,-0.794776017
63,4.79527e-05,-35.22401326,-0.797776564
64,4.79862e-05,-35.19916241,-0.801283401
65,4.86392e-05,-35.23287608,-0.804143841
66,4.79498e-05,-35.23895935,-0.806785363
67,4.83306e-05,-35.24708212,-0.810142548
68,4.65277e-05,-35.23909543,-0.813087157
69,4.88798e-05,-35.19700001,-0.815791136
70,4.80169e-05,-35.13600476,-0.818977365
71,4.68581e-05,-35.08876888,-0.822188566
72,4.79299e-05,-35.11691322,-0.824940682
73,4.90907e-05,-35.12710148,-0.828587334
74,4.81646e-05,-35.15914392,-0.831280136
75,4.87712e-05,-35.16287729,-0.833953265
76,4.74792e-05,-35.21512386,-0.837238098
77,4.74575e-05,-35.21942559,-0.840649416
78,4.78814e-05,-35.28224819,-0.843586866
79,4.65051e-05,-35.26165788,-0.84657938
80,4.78758e-05,-35.3138142,-0.848783413
81,4.70973e-05,-35.30232337,-0.851776567
82,4.7996e-05,-35.3691057,-0.855284219
83,4.78324e-05,-35.368097,-0.858423533
84,4.8396e-05,-35.35528601,-0.861228211
85,4.8892e-05,-35.39085863,-0.864393136
86,4.83744e-05,-35.41815889,-0.867448689
87,4.81706e-05,-35.50033069,-0.870299526
88,4.76216e-05,-35.48897996,-0.873414217
89,4.66892e-05,-35.55781579,-0.876086589
90,4.70745e-05,-35.60271428,-0.879595289
91,4.79621e-05,-35.68949311,-0.882460736
92,4.7985e-05,-35.68424149,-0.885783345
93,4.69595e-05,-35.72133634,-0.88882877
94,4.83723e-05,-35.75034122,-0.891775708
95,4.69247e-05,-35.80316808,-0.894836965
96,4.76807e-05,-35.80358985,-0.897773949
97,4.79607e-05,-35.79576515,-0.900735962
98,4.81029e-05,-35.80377316,-0.903774751
99,4.63442e-05,-35.81873466,-0.906773203
100,4.79536e-05,-35.87807262,-0.909830211
101,4.80536e-05,-35.91822533,-0.913589669
102,4.74405e-05,-35.92687352,-0.915774901
103,4.69649e-05,-35.93668562,-0.919244078
104,4.83933e-05,-35.96194055,-0.922274136
105,4.79429e-05,-36.02747602,-0.925774279
106,4.79327e-05,-36.02176735,-0.927790301
107,4.70967e-05,-36.01185966,-0.931281131
108,4.8563e-05,-35.99326545,-0.934276322
109,4.72791e-05,-36.05089488,-0.936920464
110,4.87236e-05,-36.10186621,-0.939969905
111,4.83611e-05,-36.13909658,-0.943276391
112,4.81481e-05,-36.12366083,-0.946280314
113,4.75993e-05,-36.11573714,-0.949945592
114,4.68794e-05,-36.14516666,-0.952275528
115,4.76439e-05,-36.13228393,-0.95528923
116,4.71809e-05,-36.17401606,-0.958414283
117,4.76944e-05,-36.16977768,-0.961748709
118,4.72825e-05,-36.27235341,-0.964632956
119,4.71999e-05,-36.32825648,-0.968070875
120,4.7491e-05,-36.37546591,-0.970462395
121,4.72082e-05,-36.3505224,-0.974273717
122,4.78252e-05,-36.37104288,-0.976789626
123,4.81287e-05,-36.38440388,-0.980164856
124,4.71455e-05,-36.43967613,-0.982609228
125,4.80737e-05,-36.46209417,-0.986184576
126,4.77454e-05,-36.43737375,-0.989227323
127,4.71467e-05,-36.41341518,-0.992282992
128,4.72612e-05,-36.39109625,-0.994921196
129,4.6586e-05,-36.48225017,-0.998124131
130,4.92745e-05,-36.51986924,-1.001680735
131,4.78013e-05,-36.54736297,-1.004774822
132,4.84668e-05,-36.52910191,-1.007633749
133,4.84638e-05,-36.55892229,-1.010719454
134,4.86872e-05,-36.56848908,-1.013718662
135,4.80568e-05,-36.61940064,-1.01677468
136,4.81362e-05,-36.64386269,-1.020282973
137,4.81334e-05,-36.67538096,-1.022469602
138,4.73021e-05,-36.66531736,-1.02527393
139,4.79843e-05,-36.69930479,-1.028456027
140,4.79415e-05,-36.75354052,-1.032139757
141,4.83194e-05,-36.82279121,-1.034781802
142,4.76265e-05,-36.82477004,-1.037227223
143,4.71813e-05,-36.86256734,-1.040775212
144,4.75351e-05,-36.92568592,-1.044774312
145,4.76827e-05,-36.99030269,-1.046773861
146,4.72706e-05,-37.03692604,-1.050020684
147,4.81036e-05,-37.008374,-1.053139684
148,4.66988e-05,-37.05320968,-1.056720386
149,4.79408e-05,-37.08305539,-1.059556263
150,4.78519e-05,-37.17533278,-1.061915071
151,4.81241e-05,-37.20317003,-1.065281453
152,4.78605e-05,-37.22851171,-1.068312093
153,4.71242e-05,-37.18097704,-1.071637147
154,4.7592e-05,-37.18776615,-1.074770582
155,4.80975e-05,-37.18557362,-1.076851389
156,4.82208e-05,-37.25430183,-1.080774935
157,5.00952e-05,-37.32126227,-1.084195217
158,4.75841e-05,-37.32780333,-1.086772769
159,4.76856e-05,-37.34645941,-1.089439727
160,4.7906e-05,-37.33701925,-1.092991908
161,4.86338e-05,-37.40875411,-1.096271444
162,4.71173e-05,-37.40937934,-1.099202549
163,4.77465e-05,-37.41630338,-1.102445764
164,4.71157e-05,-37.42778166,-1.104986062
165,4.75323e-05,-37.48629642,-1.108054304
166,4.85655e-05,-37.52881933,-1.111782622
167,4.82225e-05,-37.56892355,-1.114282641
168,4.69797e-05,-37.59921652,-1.117280568
169,4.7743e-05,-37.65237242,-1.12016534
170,4.757e-05,-37.63477119,-1.123775379
171,4.84032e-05,-37.62697671,-1.126805786
172,4.75213e-05,-37.64721483,-1.129772398
173,4.68927e-05,-37.68062311,-1.133095007
174,4.81409e-05,-37.69276929,-1.13578781
175,4.7755e-05,-37.70144341,-1.139610889
176,4.69552e-05,-37.71711192,-1.141970512
177,4.80099e-05,-37.72416229,-1.145756454
178,4.75164e-05,-37.73567433,-1.148727257
179,4.78334e-05,-37.76169739,-1.151771285
180,4.79903e-05,-37.74820771,-1.154780854
181,4.77733e-05,-37.74601475,-1.158266561
182,4.71926e-05,-37.75357669,-1.161583466
183,4.88994e-05,-37.79765915,-1.164264278
184,4.75016e-05,-37.76854226,-1.167226583
185,4.80564e-05,-37.7770985,-1.170773292
186,4.65184e-05,-37.82203189,-1.173132798
187,4.79577e-05,-37.83531764,-1.17678137
188,4.80371e-05,-37.79611546,-1.179283019
189,4.7726e-05,-37.75587952,-1.182773151
190,4.79103e-05,-37.78117514,-1.18512474
191,4.74468e-05,-37.84050679,-1.188298804
192,4.78212e-05,-37.84967552,-1.191407908
193,4.77505e-05,-37.86671671,-1.194774755
194,4.77725e-05,-37.86181069,-1.197837177
195,4.68552e-05,-37.88192219,-1.200906816
196,4.68511e-05,-37.85821986,-1.20377331
197,4.68831e-05,-37.83786483,-1.207398716
198,4.8104e-05,-37.81336278,-1.210194547
199,4.69405e-05,-37.81123748,-1.21366349
200,4.79943e-05,-37.81008614,-1.215787954
201,4.74026e-05,-37.87370051,-1.219771337
202,4.76383e-05,-37.91657822,-1.222240156
203,4.75165e-05,-37.87777527,-1.225772547
204,4.67439e-05,-37.81485086,-1.228762092
205,4.7103e-05,-37.8359145,-1.231783303
206,4.73614e-05,-37.90777724,-1.234967727
207,4.84062e-05,-37.94144722,-1.238461118
208,4.7685e-05,-37.87531264,-1.241147169
209,4.74113e-05,-37.82720916,-1.243983977
210,4.75091e-05,-37.81057521,-1.247726148
211,4.88096e-05,-37.80112185,-1.250468544
212,4.69887e-05,-37.75070998,-1.254060888
213,4.75634e-05,-36.80948219,-1.256772666
214,4.72547e-05,-35.98689605,-1.260280376
215,4.74e-05,-35.10440818,-1.263772487
216,4.72375e-05,-34.87278564,-1.267397311
217,4.8684e-05,-34.20483979,-1.270783017
218,4.75503e-05,-33.57925204,-1.274267212
219,4.74018e-05,-33.20024695,-1.277704141
220,4.8169e-05,-33.27099113,-1.281069941
221,4.71827e-05,-33.50776839,-1.283428632
222,4.88153e-05,-33.78491204,-1.286775689
223,4.75486e-05,-33.91840627,-1.290294807
224,4.67036e-05,-33.89742464,-1.293071662
225,4.7868e-05,-33.81266297,-1.296224189
226,4.83787e-05,-33.76503914,-1.299678697
227,4.82824e-05,-33.80440791,-1.301967539
228,4.82894e-05,-33.86260076,-1.305725775
229,4.77237e-05,-33.92814323,-1.309264218
230,4.8061e-05,-33.96751907,-1.311772037
231,4.72466e-05,-33.97096587,-1.315224101
232,4.74572e-05,-34.0046283,-1.318310155
233,4.81101e-05,-34.02075294,-1.321780728
234,4.69997e-05,-34.00864443,-1.324636512
235,4.73514e-05,-33.96964938,-1.328139915
236,4.85794e-05,-33.92177809,-1.331133768
237,4.84509e-05,-33.91824151,-1.334289089
238,4.74629e-05,-33.91213682,-1.337426249
